_mean_discrew,_mean_obs,Steps,_mean_act,_min_discrew,ValFuncLoss,ExplainedVarOld,_max_obs,_std_obs,_max_act,_min_adv,_min_obs,_Episode,_lr_multiplier,Beta,_min_act,PolicyEntropy,_max_discrew,_std_adv,ExplainedVarNew,_std_discrew,_MeanReward,_std_act,KL,PolicyLoss,_max_adv,_mean_adv
-67.05427251732101,0.5072469733860236,2598,0.13319206,-190.0,5658.609005181355,-0.0016558328864653138,3.8356160895057068,0.29591550220482615,2.2532196,-1.2811695209033624,-0.5884843384224743,20,1.0,0.6666666666666666,-1.9941243,0.9149812,-1.0,0.9999998444955052,-3.395952808049607e-05,1643.9289251636094,-129.9,0.36418578,0.0013511182,-0.0011244955,2.489968532568659,7.794637401525348e-17
-70.6370709382151,0.06696544607597212,2185,0.21594784,-217.0,6660.5402888923845,0.0004415401358219828,0.8038414901805869,0.04442985131912361,1.9817096,-3.1859216994647057,-0.5487584857907133,40,1.0,0.4444444444444444,-2.044803,0.9108673,-1.0,0.9999998968893373,0.00010941003680442485,2357.4943694526332,-124.1,0.33082607,0.00037900914,-0.00038682763,1.9198333036952313,1.8210706271197075e-16
-56.87505577867024,0.031608662797717305,2241,0.22699527,-134.0,3647.7655927776223,0.0008360383334030663,0.5926086833977401,0.04041464252704303,2.223734,-1.3151493742441696,-0.5329287317727412,60,1.0,0.4444444444444444,-1.8532964,0.91057277,-1.0,0.9999998529436683,0.0002948482069342617,1087.0856830067057,-112.05,0.3651923,0.0055227242,-0.002438274,2.3822402588432054,-3.091384057858535e-17
-64.77056827820186,0.015587109530489605,2358,0.15723756,-218.0,4942.445135270346,0.0004919167792905021,0.5966326877379153,0.03832404753058983,2.6148083,-3.897587093891754,-0.5218320936416796,80,1.0,0.4444444444444444,-1.534909,0.91117233,-1.0,0.999999876477055,0.00019708504210613764,1671.8909573530566,-122.85,0.35790604,0.0049579707,-0.0025656817,2.2165778295463867,2.7722617340936904e-16
-58.35961871750433,0.019973270484903487,2308,0.124276966,-131.0,3574.9682972499677,0.0006147136677879805,0.5996992664239768,0.03781944860855977,2.4882271,-1.2606679223631037,-0.5135238248829777,100,1.0,0.2962962962962963,-1.9425973,0.9075016,-1.0,0.9999998600825509,0.00033238690844250574,1128.965128450811,-115.4,0.368893,0.0014623279,-0.0006037433,2.4091790412606406,9.081893719637329e-17
-57.79172170849846,0.023900209679529903,2271,0.1309599,-153.0,3424.163435757888,0.0011788632936168275,0.5996129684178898,0.03712259126584054,2.2181726,-1.37890017466174,-0.5088104040090263,120,1.0,0.4444444444444444,-1.7242929,0.90155244,-1.0,0.9999998631901379,0.000906894321757612,1140.9909662563275,-113.55,0.3642292,0.008037701,-0.0044738324,2.3948883517335062,-2.2527114475881643e-16
-63.00742034046268,0.014772904749823738,2291,0.14742538,-215.0,4283.445689236532,0.00020837554457320273,0.5976515697529622,0.036850396182425145,2.0916822,-3.6070500885979553,-0.5069452646690548,140,1.0,0.4444444444444444,-2.02334,0.89934856,-1.0,0.9999998822144285,0.0002493698418589707,1594.923995571459,-119.5,0.36129233,0.0033775815,-0.00081024284,2.223722121319739,2.8533361715377224e-16
-72.45229681978799,0.014894650139388534,2264,0.18295582,-221.0,5974.312448822641,0.0001433936972512484,0.599464567124114,0.03793767649697481,2.3332934,-2.8160059590845097,-0.5038410350130536,160,1.0,0.2962962962962963,-1.9773029,0.90426594,-1.0,0.9999999008522755,9.124507283531091e-05,2373.5445441945835,-128.05,0.36167347,0.00017786612,-0.00040617652,2.091969684382821,-2.4479829235551156e-16
-57.35512367491166,0.014390167102149557,2264,0.17689905,-126.0,3005.8636227413176,0.00024943729234139234,0.5998858882462714,0.03828724655347308,3.145919,-1.2543125509975839,-0.5010390988197128,180,1.0,0.2962962962962963,-1.7757708,0.9035995,-1.0,0.9999998709096354,0.00022642832514396805,1096.972827104846,-113.2,0.3680752,0.0046482235,-0.0031565172,2.392872864485861,7.68917713167953e-17
-71.76233183856502,0.018996880558628592,2230,0.14077483,-220.0,5628.781149968469,0.00026056096988924526,0.6022438791127991,0.03677285694334712,2.2453024,-2.6971585107562555,-0.49858385760023455,200,1.0,0.2962962962962963,-1.6407369,0.8973888,-1.0,0.9999999030774719,9.524358202395167e-05,2390.6511371634256,-126.35,0.36441085,0.0022861406,-0.0011153112,2.1092719378603135,-1.7843225651374712e-16
