_std_obs,_max_adv,_min_obs,_std_act,PolicyEntropy,_max_discrew,_Episode,_std_adv,_max_act,_mean_adv,_MeanReward,_min_act,PolicyLoss,_std_discrew,_mean_act,_min_adv,_mean_discrew,_mean_obs,_lr_multiplier,ExplainedVarOld,_min_discrew,_max_obs,Steps,KL,ExplainedVarNew,Beta,ValFuncLoss
0.0686239841882645,1.1901078588534026,-0.6867104740538682,0.39156094,0.92296135,-12.146604599939808,20,0.9999996904830315,2.0821836,6.352639568708987e-18,-5110.85,-1.9264224,-0.0037767047,10.20748462681412,0.029154608,-2.543651673378277,-19.270749309799417,-0.004218184477948358,1.0,0.03407112419076763,-25.00000000000002,0.8058865915760977,2237,0.0028518962,0.0012436268338723577,1.0,290.3029200230147
0.07403222478684958,1.130832559611313,-0.8787861693746319,0.39829266,0.9271736,-12.372351455397453,40,0.9999996643353778,2.1100478,-2.792591248153399e-16,-5117.95,-2.322915,-0.0012676576,10.470174156390067,0.02037095,-2.603802214191829,-19.040064180162382,0.0027899055529249763,1.0,0.0008564798772364712,-25.00000000000002,0.8207213025843019,2379,0.0013688032,0.00038488246802614867,0.6666666666666666,233.80716830742026
0.1035550286954218,1.5225927668135057,-0.9627004886231955,0.40460134,0.9313136,-0.0050000000000000044,60,0.9999996495340623,2.2267227,5.4542708257928135e-17,-4892.35,-2.1010737,-0.0008781523,40.41085626504016,0.015649954,-2.8163488719271417,-16.54226213500973,0.027666164633355174,1.0,0.0025772070160462457,-25.00000000000002,2.0504228457943663,2866,0.00070741936,0.09795933114282507,0.4444444444444444,157.77736122630745
0.08718556424914882,1.3540042083798907,-1.1204911334938499,0.39913,0.93203866,-0.0050000000000000044,80,0.9999996230329338,1.98484,1.805126035592506e-17,-4906.5,-1.8168563,-0.0010306697,38.54523148284669,0.01262628,-2.943399228232069,-16.160049821077173,0.020336592528608585,1.0,0.02329743505412729,-25.00000000000002,1.6636896465473152,3149,0.00297153,0.3372651627961083,0.4444444444444444,116.59532076058615
0.11943834837991393,1.4103243108281673,-1.2591310081348233,0.41547298,0.9304404,-0.0050000000000000044,100,0.9999995547048492,2.453138,4.589841274475181e-17,-3450.6,-2.0486808,-0.005322881,82.25355767410802,0.0054072086,-3.77669408730722,-8.785158233091302,0.04445037513666484,1.0,0.09453174007153575,-25.00000000000002,1.4980965369107588,4025,0.0052032825,0.23202846842299163,0.4444444444444444,67.81301343111512
0.09552578323439913,1.6109675412745115,-1.3228628539097285,0.41339678,0.9294268,-0.0050000000000000044,120,0.9999995204484595,2.414702,-6.092853185366314e-17,-3494.25,-2.15425,-0.0059642,69.04438312131131,0.0041392758,-5.179073858664049,-9.017794432475862,0.03568567985624021,1.0,0.16709795852917986,-25.00000000000002,1.1417771183730032,4898,0.012071351,0.4024187132412971,0.6666666666666666,50.75121912512185
0.08448298765105591,3.694144496038065,-1.3716233163502114,0.4072168,0.9277152,-0.0050000000000000044,140,0.999998786592393,2.547393,-4.5106664704656416e-17,-315.05,-2.3439302,-0.0015552454,0.05023577006613483,-0.0010048602,-2.5481994101966206,-0.49861539744205513,0.044962050118051725,1.0,-254.01673840013024,-0.8048698748436184,0.9699249843613382,6301,0.0015694237,-96.2327951208718,0.6666666666666666,9.049541131313983
0.07644557219180917,5.983208327946987,-1.3095067063652182,0.40709496,0.9247607,-0.0050000000000000044,160,0.9999981816641548,2.294465,-1.7549820579255166e-16,-315.8,-2.295548,-0.0034045484,0.05037736824638103,0.0004987101,-3.1825715942032002,-0.49940832923666223,0.07542710742668664,1.0,-77.55418077822007,-0.8087433052710787,0.9357303003367711,6316,0.0038901088,0.33850062899755595,0.6666666666666666,0.033330376814234834
0.07205661676818945,7.865704412037503,-1.4731989159796324,0.37947285,0.9223881,-0.0050000000000000044,180,0.9999841979000909,2.2319224,2.5591110119765587e-17,-319.3,-2.7001886,-0.00050004263,0.05080148080326454,0.0009765672,-6.256057415004509,-0.5026946703526234,0.09420504070134147,1.0,0.5179508493353278,-0.8217047486338622,0.83265000114768,6386,0.0005311976,0.8239907157413504,0.4444444444444444,0.009407422915079944
0.07486576400564054,5.439462504526286,-1.2811933811052711,0.39198706,0.9215199,-0.0050000000000000044,200,0.9999721802898056,2.634099,2.809802023727065e-18,-316.1,-2.00669,-0.0060520326,0.05040533631315979,0.0033178139,-4.542711749986003,-0.49967665402911204,0.12064789541154251,1.0,0.86479860135547,-0.8115978353469947,1.3304178283560115,6322,0.010844948,0.9114551057047726,0.6666666666666666,0.004590588523907603
