PolicyEntropy,_max_adv,ValFuncLoss,_max_obs,_mean_adv,_min_discrew,_std_adv,ExplainedVarNew,_max_act,_Episode,_mean_discrew,KL,PolicyLoss,_std_act,_max_discrew,_min_obs,ExplainedVarOld,_std_discrew,_min_adv,Beta,_lr_multiplier,_mean_obs,Steps,_min_act,_MeanReward,_mean_act,_std_obs
0.9228219,0.5505043838679894,4.332115974335408,2.3492724543018553,-6.2282781805122e-17,-10.000000000000009,0.999998640280052,0.34955907937320574,2.5042305,20,-1.7634312222775668,0.002244283,-0.0017364174,0.37789494,-0.0050000000000000044,-0.8145646409778637,0.008254181217991041,6.636822989271254,-6.652716858012236,1.0,1.0,0.11798151855466903,6845,-2.1886935,-1141.85,0.0048339153,0.1695146766771417
0.92152953,4.121235839664559,1.7429662709436102,0.8227035534216619,2.2339093421606563e-17,-10.000000000000009,0.999997324315251,0.2570618977373962,2.2680485,40,-0.993674584981651,0.004283109,-0.006126532,0.3707645,-0.0050000000000000044,-0.6780203483123595,-0.0008275965242801053,2.3240108235398367,-10.483271870015646,1.0,1.0,0.06213650424526697,8906,-2.430623,-745.15,-0.0028199346,0.07250250283062887
0.92536116,10.335643292794046,0.029361654597814313,0.8371911478428266,3.605508626546358e-17,-0.9678905111894,0.9999876505405213,0.6641075131509975,2.2282605,60,-0.6634391055905342,0.0059544686,-0.0050246585,0.37600532,-0.0050000000000000044,-0.6623393541014114,-0.5811078480671463,0.06569841070982348,-2.4123548000701684,1.0,1.0,0.07299559679080536,11036,-2.482542,-551.8,-0.008908454,0.07127568468985983
0.9247514,2.3297391632139415,0.7373051944782875,0.8742070436342583,0.0,-10.000000000000009,0.9999963982962896,0.53738745045121,2.2402709,80,-0.9232070640736177,0.000427216,-0.00022777636,0.3816415,-0.0050000000000000044,-0.652119832542732,0.15162674370178608,1.580877444648795,-15.880962109810728,0.6666666666666666,1.0,0.054344540938621115,10454,-2.2635117,-722.6,-0.00281256,0.08806793190712088
0.92219645,3.393421049082854,0.10620513264592672,0.84626487135615,-9.865223682889277e-18,-10.000000000000009,0.9999946433891772,0.8711468943956027,2.4154825,100,-0.8245647466235213,9.686957e-05,-0.0006270086,0.37974855,-0.0050000000000000044,-0.6170563044526872,0.47414262656236494,0.8239756156196656,-18.044816232889488,0.4444444444444444,1.0,0.06486296601232214,11524,-2.106535,-676.15,-0.0015559715,0.0870221849086341
0.9173753,6.34641007055412,0.00800514743817441,1.5829999999999365,0.0,-0.9996437458753534,0.9999887037752603,0.8851464872604843,2.2829933,120,-0.7081161354354568,0.0015142991,-0.0005776537,0.36904535,-0.0050000000000000044,-0.5835658964836489,-0.4508711218853232,0.06728568366934023,-2.477135810930822,0.4444444444444444,1.0,0.07793883861448694,12986,-2.2032795,-649.3,-0.012510008,0.1032222132986478
0.91810685,6.0485858828000225,0.0019444816274545756,0.7017370618962223,1.1888263454950602e-17,-0.9552997386488333,0.9999774730993857,0.9736853342171862,2.2381363,140,-0.670076707849648,0.0041902186,-0.0010183151,0.37150365,-0.0050000000000000044,-0.5440813024416066,0.7836657542770502,0.06533648839593607,-2.350728391899934,0.4444444444444444,1.0,0.07822009779639841,11356,-2.5431862,-567.8,-0.0058518713,0.08522903723890757
0.9165039,7.1136092518995335,0.001060643659808411,0.7116964336443382,4.4072704580577226e-17,-0.9510790807655088,0.9999638404518364,0.9838786653126572,2.416923,160,-0.6604334689657951,0.0039926465,-0.0013124201,0.37586868,-0.0050000000000000044,-0.5348204460351238,0.9165904178952131,0.06498929062525938,-2.559509071062824,0.4444444444444444,1.0,0.06634983344427749,10963,-2.3960588,-548.15,0.00051731913,0.09204866845221027
0.91388565,14.938817116264959,0.0008594054812389499,0.7210557566224742,6.936861620229427e-18,-0.9365115959375677,0.9999443247477995,0.9889762522659962,2.1012335,180,-0.6414263082579177,0.0076174326,-0.0024727162,0.38445252,-0.0050000000000000044,-0.5189506960757316,0.9633742041596162,0.0640506254950599,-5.21090474515275,0.6666666666666666,1.0,0.060102395446553734,10243,-2.4952853,-512.15,0.011060231,0.08891327968515066
0.91582185,0.7813558566597986,0.170596217775888,0.7272201126690906,-3.251911834142335e-17,-10.000000000000009,0.9999939886590595,0.8281548972194592,2.486153,200,-0.8086174291069443,0.00012085844,-0.0001932352,0.38208333,-0.0050000000000000044,-0.5347903673464535,0.29564278123005905,0.9924078141773874,-16.18099021264079,0.4444444444444444,1.0,0.04572783522280405,9614,-2.1214151,-580.65,0.025373427,0.08859567160203095
