_min_obs,_mean_discrew,Beta,KL,_std_act,PolicyEntropy,_max_adv,_std_obs,_MeanReward,_min_act,_min_discrew,_mean_act,ExplainedVarOld,_mean_obs,_std_adv,_max_obs,PolicyLoss,_mean_adv,_max_discrew,_Episode,_lr_multiplier,Steps,ValFuncLoss,_max_act,_min_adv,ExplainedVarNew,_std_discrew
-11.902959140738774,-121.29039651615861,1.0,0.0033846046,0.44228387,0.92277515,3.038756984656363,133.7389431262197,-218.15,-2.2303686,-332.0,-0.063225485,-0.004343972235632654,6.269090430072541,0.9999998464735725,90.07807371108191,-0.003867833,-4.999693327489131e-16,-1.0,20,1.0,4363,19590.687869506153,2.4534044,-0.8863545242113682,-8.671936881698983e-06,6256.946382675688
-0.7305432921279913,-76.66046511627907,1.0,0.0058755404,0.42222574,0.92770344,1.5632858622855483,0.03789014208868921,-107.35,-1.8414304,-145.0,0.24428633,-0.0008287048415260845,0.06117693995716896,0.9999999410616567,0.9136116992943544,-0.007626372,-1.9829099602607447e-16,-1.0,40,1.0,860,7124.939180220076,2.329022,-1.3567588053080406,0.013887851601750878,2144.1102974580854
-0.6841252876461623,-92.98183652875883,1.0,0.003778714,0.4955183,0.9327953,1.9767262850542395,0.08095859810388727,-133.75,-2.3054917,-268.0,-0.0057164025,0.0043514242113217305,0.016782602801915316,0.9999999119479943,0.7140824999044533,-0.0022788916,1.5773905334734819e-16,-1.0,60,1.0,1982,11145.0920981907,2.595048,-2.540245453327516,6.411462488853381e-05,3774.4890747300883
-0.6914846029913472,-90.6964415395788,1.0,0.0027141103,0.5429026,0.933149,2.3812190016230375,0.07075906202104443,-142.65,-2.604951,-249.0,-0.110150516,4.3133151723662166e-05,-0.0029775482141452185,0.9999998804279823,0.7240494370074586,-0.0025363427,2.0640311859407414e-16,-1.0,80,1.0,2754,10668.344823738526,2.6318827,-3.541827152565307,2.1289423618564562e-05,3907.98192633518
-0.6925818665691135,-87.49753694581281,0.6666666666666666,0.0010964953,0.5078142,0.9341686,2.202524048255977,0.07402731822956783,-131.7,-2.2840595,-274.0,-0.0710425,4.2274101275663334e-05,0.0013908137828121203,0.999999891560283,0.7570829888171741,-0.00079829583,3.675221047035001e-16,-1.0,100,1.0,2436,10107.639425620595,2.1047983,-3.16680454810308,3.0243847632394072e-05,4053.460174557337
-0.6900315821361861,-61.3876404494382,0.4444444444444444,0.00016930986,0.4676781,0.93610495,1.7171335451754366,0.067238159394688,-94.95,-2.0636032,-193.0,0.087247565,6.181899714052808e-05,0.01878948347905369,0.9999999079147641,0.763190977333459,-0.00030116667,-1.5967252488991015e-16,-1.0,120,1.0,1602,4794.9444940314015,2.3859081,-2.8423960455793273,5.0838171531175647e-05,2196.675577578588
-0.6833066481425702,-80.80486618004866,0.4444444444444444,0.0034965752,0.480995,0.93871725,2.0294144727824324,0.07111605107736961,-122.55,-2.2117784,-258.0,-0.008036776,2.3534809148850755e-05,0.006151231707586981,0.9999999040281252,0.7541338040918776,-0.0030924687,7.606783545850221e-17,-1.0,140,1.0,2055,8201.560161899883,2.7943826,-2.722119938244361,1.887940353284545e-05,3373.2071782667635
-0.6860459295272047,-95.30046367851622,0.4444444444444444,0.0057401718,0.51816255,0.94148886,2.6201203370766324,0.06657364018907429,-166.7,-2.6014209,-283.0,-0.09095973,7.251539752006764e-06,0.001392832651610678,0.9999998814040706,0.8239414471791257,-0.0040642377,2.240351129753639e-16,-1.0,160,1.0,3235,10730.699322122196,2.7721267,-3.2513687630905928,5.858254000679075e-06,3964.2237864928848
-0.6906914155932591,-75.72623574144487,0.6666666666666666,0.010538384,0.4844392,0.93980026,2.249922076916784,0.07363673326578599,-123.3,-2.8589013,-218.0,-0.0600055,2.6904520537884835e-05,0.0017673544072996802,0.999999891097885,0.7839476777555425,-0.006106638,1.320822998455615e-16,-1.0,180,1.0,2367,6571.308453125914,2.4051585,-3.141528437986442,2.3389723296851628e-05,2799.669877803319
-0.6849141390527692,-45.219578518014956,0.6666666666666666,0.0016871215,0.44076663,0.93377024,1.8224034080899612,0.05915501086689792,-78.5,-2.389534,-150.0,-0.031020522,0.00011353878551367824,0.027202892591900986,0.9999998901330348,0.7848183062719908,-0.0014499343,5.796405730197962e-17,-1.0,200,1.0,1471,2053.6242393895436,2.2845945,-3.616431986403578,0.00010845267095271893,1130.6091612091648
