_std_act,Steps,_max_obs,ExplainedVarNew,_mean_obs,_std_discrew,ExplainedVarOld,_min_act,_min_adv,_std_adv,_lr_multiplier,Beta,KL,_mean_discrew,ValFuncLoss,_max_act,_mean_act,_Episode,_MeanReward,_std_obs,PolicyEntropy,_max_discrew,_mean_adv,PolicyLoss,_min_discrew,_min_obs,_max_adv
0.37951228,1118,0.6200431011368709,0.9474217150306304,-0.050530781544166986,0.004985458257676699,0.9000818656080626,-2.0680861,-2.6742057929966974,0.9999004555834087,1.0,1.0,0.002287928,-0.13024491609140332,0.000263223217630526,2.5747626,0.12794426,20,-55.9,0.1312033917664803,0.9229785,-0.0050000000000000044,3.3684047401865213e-16,-0.0028373147,-0.26344034709177905,-2.042565447165671,2.163616117705203
0.38105425,1160,0.5974234512177656,0.9911417011914399,0.005676661718661869,0.00529873441301092,0.9272204902207276,-1.9864409,-3.175308588101435,0.9998791496236292,1.0,1.5,0.012027652,-0.13454214004825618,5.150329132198111e-05,2.2666266,0.09050477,40,-58.0,0.07248567386947005,0.9271036,-0.0050000000000000044,0.0,-0.00875245,-0.27078752962953856,-1.015891366755898,2.9322297581949064
0.40526384,1151,0.5997385620161916,0.23948371226065102,-0.008187615911115501,0.021185935579032145,0.23412289918681173,-2.1042435,-5.347588638870781,0.9999765633886329,1.0,1.0,0.0005387836,-0.17595494174672197,0.01641358093772616,2.0961363,-0.0042992523,60,-67.45,0.06824685505168224,0.9280241,-0.0050000000000000044,-2.4693057715381413e-17,-0.00078807154,-0.6223734454669053,-1.0058535986649446,0.44480954333115424
0.37286493,1139,0.5963201589702974,0.3514948275353651,0.00033240589551007714,0.013977112873811587,0.3332430103893864,-2.638716,-6.363660358446087,0.9999685710915452,1.0,0.6666666666666666,0.0009395608,-0.15425375006911063,0.009171741637067113,1.7230188,0.012356433,80,-61.9,0.0733493082084925,0.93016803,-0.0050000000000000044,7.485963853486569e-17,-0.0006504395,-0.6242615782395708,-1.0612661178090117,0.8448507772822035
0.371247,1137,0.5939462572792492,0.4046909006047259,0.00361639333896383,0.013433548802364364,0.35922013243455075,-2.4398377,-7.1933774190785105,0.999967819311618,1.0,0.4444444444444444,0.0003115067,-0.1531215845411203,0.008016222362415202,1.740642,0.022533644,100,-61.8,0.07307943196171039,0.9344504,-0.0050000000000000044,2.499710591944064e-17,-0.0006636467,-0.6185686679295022,-0.9929507441050197,0.6560474023667153
0.40029672,1134,0.591985202072265,0.9482690431126073,0.0001558489055136508,0.005083592801505805,0.9648490730807935,-1.7548275,-1.8946144825472824,0.9998385191706322,1.0,0.6666666666666666,0.01200461,-0.13180063689553506,0.00037938593290425877,2.2897465,-0.004654861,120,-56.7,0.07066536158002311,0.9397196,-0.0050000000000000044,-1.879742687196032e-17,-0.007386098,-0.25973904230329553,-0.7640912410569363,4.454817686765922
0.3795092,1166,0.7913995829623094,0.23750522711545763,0.014519216048793587,0.02116920763295562,0.24994232191253318,-1.9894559,-4.776506450586881,0.9999764301188039,1.0,0.4444444444444444,0.0014767819,-0.17734815231593554,0.016666644944252042,2.6408682,0.07450697,140,-68.2,0.08175233291037616,0.9437686,-0.0050000000000000044,-3.656309103396742e-17,-0.0020035496,-0.6242615782395708,-1.0659678746347792,1.1477113435511501
0.41664872,1162,0.9008410695955706,0.9811122740577174,0.014579730891467739,0.005319476186474223,0.9888674214081208,-1.8808138,-4.755514007500339,0.9997594485885632,1.0,0.6666666666666666,0.009996353,-0.13476676637226426,0.0006783032912097279,2.2137086,0.04447918,160,-58.1,0.07841329973610682,0.9462554,-0.0050000000000000044,4.891860487160759e-17,-0.0085278,-0.2780614240214839,-1.171307191111998,2.607552414694285
0.40814674,1155,0.5950501010635721,0.9913542923081705,0.005894127059679977,0.00524467523793792,0.9891154876264271,-1.7092172,-2.239214982766211,0.9997902459261406,1.0,0.6666666666666666,0.003388385,-0.13396479692687935,4.892585665432882e-05,2.0435712,0.03426198,180,-57.75,0.07691074247925325,0.94873965,-0.0050000000000000044,1.4764524379430653e-16,-0.0021317955,-0.25973904230329553,-0.8094668441161106,3.58188241483028
0.42089072,1141,0.5945860117787618,0.2354310470583615,-0.0001767383189800682,0.021327483118500395,0.2306389488721996,-1.9980235,-5.015191201622464,0.999976569590222,1.0,0.4444444444444444,0.0013098979,-0.17531899431881956,0.016457914073250524,2.1274095,0.0011756778,200,-66.95,0.07431339112149,0.9465023,-0.0050000000000000044,2.490947364627871e-17,-0.0012588997,-0.6242615782395708,-1.1153927465087872,0.6132726011222498
