_mean_discrew,_min_discrew,_max_adv,Steps,_mean_act,_std_discrew,ExplainedVarOld,_max_obs,_min_obs,KL,_std_obs,_min_adv,ValFuncLoss,_min_act,_Episode,PolicyLoss,_std_act,_max_discrew,_mean_obs,PolicyEntropy,_mean_adv,_MeanReward,_lr_multiplier,ExplainedVarNew,_max_act,_std_adv,Beta
-0.9564146087966673,-0.9999999999939115,9.983076460218454,91315,-0.15155107,0.019838391002988478,-0.5001779336715106,353.4758883206173,-2.74207654569402,0.00012645106,1504.774403090487,-7.008848184830678,0.00474533820780326,-2.881687,20,-0.0001346155,0.3724362,-0.0050000000000000044,32.251625571500114,0.91849613,6.013332160054815e-16,-4565.75,1.0,0.7756676743176948,2.3237488,0.9998953816395054,0.6666666666666666
-21.727934101011215,-25.00000000000002,1.9416744557320094,1191,0.37207487,3.7574808744418844,-0.1395694690724132,3.110788974657579,-0.5972080696413529,0.00010497529,0.018149763066586107,-2.0830990701583176,314.94383612057334,-1.5602427,40,-0.0005237608,0.384737,-15.611548216861737,0.4931766737600759,0.92278373,-9.545494351101262e-17,-5058.55,1.0,0.000472952582832864,2.1715162,0.9999996607915476,0.4444444444444444
-21.80572925224022,-25.00000000000002,1.6499610123173323,1174,0.34850836,3.3603273148739663,0.0010611620030832603,2.157830564769502,-0.5877427026232949,0.00036367672,0.010083617154119102,-2.1063677623062853,202.31533686844742,-1.2673018,60,-0.0006985216,0.35217425,-17.562245463811823,0.2709464874014434,0.9286339,9.381100855435735e-17,-5057.7,1.0,2.4739683102126264e-07,2.7194333,0.9999995871933822,0.2962962962962963
-21.001552137294123,-25.00000000000002,1.7470639180209893,1426,0.26493323,6.415632105459682,6.636725331521376e-07,1.7588143858613225,-0.5787903957610182,0.013417903,0.01319736688171327,-2.159455365600727,117.2133296024784,-1.9574127,80,-0.002918488,0.39973378,-12.544656902753154,0.17621349627633714,0.92967606,2.4913840664800146e-16,-5070.3,1.0,5.627815249376056e-07,2.3691204,0.9999995701287275,0.4444444444444444
-14.647659751000617,-25.00000000000002,2.6888176303489115,2914,0.11244494,65.06617171838398,1.5950769257422337e-05,1.4978133563187193,-0.5697184661971122,0.012142105,0.07489464052384134,-2.734704397864979,36.207246091801935,-2.0735953,100,-0.0026968592,0.3961296,-0.0050000000000000044,0.10635410513618627,0.9296931,1.9507007158822242e-17,-4894.75,1.0,0.7067704704643374,2.1756957,0.9999995660314415,0.6666666666666666
-1.528175599403661,-25.00000000000002,7.451650011206986,22053,-0.07446871,11.218644611501245,0.3269141406226269,3.351999999999742,-0.5595194106686004,0.0075973687,0.2602228450934379,-7.364391532520251,3.236746630618147,-2.3320367,120,-0.0059470814,0.38592565,-0.0050000000000000044,0.23874709125488336,0.929625,-1.2887910683536937e-17,-2602.35,1.0,0.7115199973548896,2.4566166,0.9999987797765667,1.0
-0.919896968497223,-0.9999999947376942,23.16153741743515,49669,-0.09204375,0.03354827671652019,0.5222131338399563,3.8019999999996923,-0.5731561496158765,0.0020215686,0.23283146739927374,-3.005021092444329,0.014876680791215527,-2.6635373,140,-0.0019917248,0.38296416,-0.0050000000000000044,0.28433115005829923,0.9304186,3.2616671113431484e-17,-2483.45,1.0,0.6527016375275643,2.4251392,0.9999747214522926,1.0
-0.9039066539719122,-0.9999996488971045,22.958565304755002,41400,-0.09964302,0.03871308777128942,0.2781174025688139,2.9639999999997846,-0.5655836307086728,0.00091447064,0.14888631949546746,-2.217015923570586,0.005761343941597143,-2.4980521,160,-0.0011750694,0.384689,-0.0050000000000000044,0.18764229138636246,0.9315892,1.2357264969740873e-17,-2070.0,1.0,0.8535635445237297,2.2157755,0.9999848532599264,0.6666666666666666
-0.8774853229731844,-0.9999572512857843,23.672834366137295,32468,-0.10091956,0.046127623211654735,0.8210982868460418,2.00599999999989,-0.5386688638987038,0.012092163,0.11182437667117875,-3.339008785846158,0.0035092013906741887,-2.5577593,180,-0.006839267,0.39094862,-0.0050000000000000044,0.11666970182676067,0.9321815,-1.4006016720662317e-17,-1623.4,1.0,0.9333628590300775,2.3919609,0.999959058874495,1.0
-0.7958289727555944,-0.9976067436612527,7.340081602635951,19322,-0.06085867,0.06103805728299636,0.7849515011205387,1.410396263993698,-0.5137143881036665,0.0030873667,0.11457858769258375,-3.45576255726796,0.00462219553730952,-2.7229462,200,-0.003136725,0.41736194,-0.0050000000000000044,0.04445145681920633,0.935347,4.045114425712194e-18,-966.1,1.0,0.9570970530180454,2.528616,0.9999674380771497,1.0
-0.7601281054331721,-0.9890156927806203,5.080543127398698,16291,-0.049410067,0.06426107350084719,0.926994566618828,1.2960861421946854,-0.49556448556497845,0.0048854053,0.11226335135996394,-8.301529828297944,0.0013757174641771115,-2.5743592,220,-0.0036703292,0.4346288,-0.0050000000000000044,0.03711220263659503,0.93759865,4.361566114787921e-18,-814.55,1.0,0.9828634840146637,2.414246,0.9999465919264302,1.0
-0.8957511160644114,-25.00000000000002,0.23893074679974177,13206,-0.016117265,3.292454508126891,0.03785809871887058,1.2014244761753505,-0.4810330710955642,0.00024694708,0.11057704318591824,-25.355438612860418,1.3721640871302627,-2.4251404,240,-0.00041777044,0.43974996,-0.0050000000000000044,0.044296985298760555,0.9385007,4.3043630819936405e-18,-910.25,1.0,0.5843624220340855,2.4065988,0.9999978745307289,0.6666666666666666
