Steps,_mean_adv,_min_act,_std_adv,PolicyLoss,ValFuncLoss,ExplainedVarOld,ExplainedVarNew,_min_obs,_std_obs,_mean_act,PolicyEntropy,_std_act,_Episode,_max_adv,_max_obs,_min_discrew,_mean_obs,KL,_max_act,_min_adv,_max_discrew,_mean_discrew,Beta,_lr_multiplier,_std_discrew,_MeanReward
2075,2.7394418728100247e-17,-1.744031,0.9999997965190526,-0.00023863956,317.18375466085047,0.00033096983441360806,-1.4280400182142827e-05,-0.5846702429715163,0.23370254634831977,0.46111894,0.9160678,0.38013,20,0.4213981140471819,4.111360812452983,-102.3765183902269,0.5897803458773941,0.00026455117,2.7329495,-9.986110057966807,-0.1023765183902269,-8.167887574236952,0.6666666666666666,1.0,289.58629507466935,-153.7
2426,3.2217518933887476e-17,-1.9902691,0.9999988633758592,-0.0018516353,11.186908241576623,-0.03340777793418792,0.2988321198904259,-0.5537439418720596,0.034221286708569706,0.073211476,0.9119678,0.37794268,40,2.6107109785090876,0.6595623325833448,-12.027937120531094,0.01712394357290684,0.003935247,2.5643504,-1.2262718770417733,-0.11328329909836757,-5.754111417621573,0.6666666666666666,1.0,9.078131721622126,-121.3
9939,-2.0589225062773806e-16,-2.9923203,0.9999987688629993,-0.0005364828,191.56627528756005,-0.37215125426873796,0.0005165023192417184,-2.4567695328464936,0.38711905378287037,-0.44174466,0.911176,0.46383286,60,3.6103367835737608,3.348999999999742,-27.5538042810264,0.40636619885642317,0.00040877558,2.0583189,-1.528362236690297,-0.13776902842731334,-21.603580254293245,0.4444444444444444,1.0,78.21215387518099,-496.95
2250,6.000138657529734e-17,-1.8632405,0.9999994655880133,-0.00025699916,38.94926175232723,-0.0020564963794649227,-0.0015723013511594885,-0.6485800651313234,0.02868643326039874,0.11586937,0.91030216,0.38357052,80,2.5579507803846453,0.6351784311356463,-13.823168563292136,0.006866279078963885,0.0005605649,2.3426619,-1.1458053718014307,-0.1443508050298055,-6.881122467632971,0.2962962962962963,1.0,13.028200877165522,-112.5
2274,1.874782943958048e-17,-1.9845879,0.9999995025364549,-0.0008124863,24.2211683709531,-0.001516150620365142,0.0033167558378406348,-0.6239076543179075,0.027034206675103655,0.075223014,0.9076747,0.3808745,100,2.5679301970073025,0.5621408336748854,-14.510209157897327,-0.00024727220255858106,0.0022719137,2.2493677,-1.1378201333637306,-0.15070510575186125,-7.244904512242308,0.2962962962962963,1.0,14.402948127068818,-113.7
2236,1.4299831444188064e-17,-1.9405465,0.9999994644552798,-0.0012575028,0.48871355420153345,0.020058582330947927,0.9698404843059812,-0.6060510613963779,0.027508192349845993,0.118151315,0.90540004,0.3830844,120,2.6162449789907605,0.5158583874703211,-14.423380566892607,-0.0009251482297054684,0.0044461587,2.6741223,-1.0597545715780161,-0.15671030325802937,-7.420174830647833,0.2962962962962963,1.0,15.060205636597475,-111.8
2138,7.809987974912234e-17,-1.9248662,0.9999956367942177,-0.0054676197,0.420710846175439,0.9777017228017506,0.9787144754796633,-0.5912499218297299,0.02619985857957985,0.12784345,0.904628,0.40045622,140,2.7893459455005916,0.4802872367166919,-14.668979099988743,0.006267944414371093,0.013549196,2.5504487,-4.561555573740108,-0.16226254457668207,-7.3998427220385645,0.4444444444444444,1.0,15.050384480212724,-106.9
2104,2.70168340593194e-17,-2.074054,0.999999832752833,-0.014490739,436.1042944889179,0.005972091416620806,0.028785304065486295,-2.876300532628937,0.033301179407605255,0.19475494,0.9016011,0.402546,160,0.28213787512112415,0.45035723153996804,-123.9411896143347,0.007057674231413188,0.0046792338,2.361764,-10.241269496637655,-0.1239411896143347,-10.255909218530869,0.4444444444444444,1.0,446.15428540124356,-155.15
2125,7.189020620631602e-17,-1.955978,0.9999979167040549,-0.00059750467,8.206747207250173,0.9425380767526894,0.826786302112983,-0.574304619444978,0.02589602088498159,0.13838308,0.9011352,0.41533485,180,1.362028571301357,0.4523248434662165,-11.12315878210146,0.006131451894215013,0.0022658738,2.1605582,-2.6726653333005035,-0.1277694073513925,-5.801704580228038,0.4444444444444444,1.0,9.285448089818887,-106.25
2131,-2.6674527855846088e-17,-2.302562,0.9999985237840573,-0.0024696346,0.3857450972627186,0.7536713430245843,0.9612727168986827,-0.5684783897931643,0.02696138288095919,0.17331211,0.8985248,0.40554827,200,2.885352168826838,0.458863344969627,-12.031349981173094,0.006141231944105169,0.006032157,1.9864846,-2.471770302758598,-0.13149594733497513,-5.9861074476268525,0.6666666666666666,1.0,9.892873180600816,-106.55
