_min_obs,_max_discrew,_max_obs,_min_discrew,_lr_multiplier,ValFuncLoss,_mean_discrew,_mean_adv,_mean_act,_std_discrew,Beta,_min_act,_std_adv,_max_adv,PolicyEntropy,_max_act,KL,_Episode,_mean_obs,_std_obs,ExplainedVarOld,Steps,ExplainedVarNew,_min_adv,PolicyLoss,_MeanReward,_std_act
-0.5709294180201306,-18.067925259753125,0.7369296535892643,-25.00000000000002,1.0,416.3586084653446,-21.83461747957708,-3.643808901333847e-17,0.37593472,3.222096730412071,0.6666666666666666,-1.7034315,0.9999996369776588,1.5627701758569357,0.9229367,2.224715,0.00039035454,20,-0.06745762130750585,0.003996341726434019,-0.03030371858580172,1170,-0.00020583910420657325,-2.1153069244179066,-0.0005523126,-5057.5,0.37664676
-0.4163662838724826,-13.890603617737908,0.4143638168761099,-25.00000000000002,1.0,333.3518271367282,-20.640476615319972,1.6702719963865125e-16,0.26076797,6.9581849044722395,0.6666666666666666,-1.9034451,0.999999669368921,1.5112562453136589,0.9266488,2.3301225,0.0038720567,40,-0.056044625036329815,0.00672085841251697,0.002232404749624939,1574,0.000890995486564572,-2.23389130728395,-0.0048971614,-5077.7,0.40025192
-0.6572948960996605,-0.0050000000000000044,3.3804927385473933,-25.00000000000002,1.0,25.13309055136962,-2.7073865691733148,0.0,-0.08981514,34.715861641744745,0.4444444444444444,-2.507433,0.9999993882224263,0.9729744673868004,0.92727417,2.3167794,0.00027963688,60,0.34845257540897445,0.40797041749032703,0.27420029034690563,9943,0.32702805495655607,-6.495008252600448,-0.0004633976,-3496.55,0.41646144
-0.4131289225858039,-11.76227688306346,0.48133644803961423,-25.00000000000002,1.0,235.25191740944575,-20.495483970631142,-5.2181841059493283e-17,0.20144089,7.679802045671544,0.4444444444444444,-1.9763765,0.9999996278161705,1.5664167465183274,0.9285313,2.295762,0.005363794,80,-0.01770099997597634,0.008650036689526299,-0.013706367099037386,1634,-0.001966567685152132,-2.470326233675201,-0.0025702582,-5080.7,0.38198572
-0.404324641951357,-0.0050000000000000044,1.102653359371201,-25.00000000000002,1.0,58.353511758543604,-8.742088406879304,-2.646957804927032e-17,0.08980063,85.04747111821519,0.4444444444444444,-2.1674576,0.99999959288098,1.062355564100172,0.9292438,2.4736304,0.0027303172,100,0.03588080503189412,0.06294432245710234,0.2646321156359679,4295,0.5601486235728426,-4.455809813570316,-0.0014239704,-4213.95,0.41686305
-0.40686207599793905,-0.0050000000000000044,1.1016051188735816,-25.00000000000002,1.0,11.111067619890763,-2.701369976300608,-2.32179797246229e-17,-0.015027613,31.337113572774467,0.4444444444444444,-2.3537612,0.9999991290064795,3.0994039456223166,0.9279064,2.5256543,0.0050555947,120,0.05827537901535899,0.08143979345702167,0.5649893783145539,9793,0.6676220987158482,-7.409455522363255,-0.004577549,-2489.25,0.4353644
-0.3930180498702108,-0.0050000000000000044,1.0759092775648516,-0.9865095523628346,1.0,0.48095227040593563,-0.7425061280937426,3.765961233656288e-18,-0.05833608,0.06513008587803512,0.2962962962962963,-2.6174064,0.9999981297126939,7.287098579958071,0.9262113,2.5001738,0.0008656345,140,0.07177839794897248,0.08056592160259399,-29.826048243837768,15094,-6.131561080956961,-0.5901464096571576,-0.0010831642,-754.7,0.44778594
-0.36931885502427425,-0.0050000000000000044,1.0546810452530833,-0.984320437585977,1.0,0.004014364814319509,-0.7400891062051103,3.803761968737153e-18,-0.073349535,0.06519648786454912,0.19753086419753085,-2.6937623,0.9999977890072287,8.695821084355465,0.9247439,2.3691409,0.00089860737,160,0.07273381701034445,0.0831820099993603,-18.13487609172109,14944,0.9390081302380977,-0.4329645825841648,-0.0010523875,-747.2,0.458419
-0.394088483231456,-0.0050000000000000044,1.0402538074745111,-0.9830111240083602,1.0,0.002461833644915323,-0.7368216325633734,-1.8322898994899434e-17,-0.077132076,0.06534865233901935,0.19753086419753085,-2.6107504,0.9999701086909228,14.389639809382091,0.9239294,2.2798924,0.0051698033,180,0.07542505644663407,0.08416516309018238,0.8909970672281109,14736,0.9623905397430774,-1.2145013198892858,-0.0023068942,-736.8,0.46724492
-0.42311746127957744,-0.0050000000000000044,1.029347823399039,-0.9789247772157326,1.0,0.0015382477299099107,-0.7212352869997309,-4.008558758085333e-17,-0.07896943,0.0657148750019826,0.19753086419753085,-2.8609698,0.9999566132492649,11.994119104350176,0.92315006,2.6262364,0.004043037,200,0.06836266503956434,0.08424529248416088,0.9520922211842506,13826,0.9781460747032575,-1.1557789412480615,-0.0009983677,-691.3,0.50491905
-0.4432902194642374,-0.0050000000000000044,1.0159827763043996,-0.9691526374668933,1.0,0.0015766361029343353,-0.7040550763560898,2.0634517610937625e-17,-0.07775188,0.06588815184178506,0.1316872427983539,-2.9643788,0.9999687193335305,35.73610481627242,0.92340744,2.627429,0.0009356543,220,0.06365908958000827,0.08346893149308249,0.8881231253619548,12913,0.9779706283648364,-2.715646693696695,-0.00021428395,-645.65,0.5126029
-0.45602481216388,-0.0050000000000000044,1.0015888884602062,-0.9645046243540618,1.0,0.0006003402727787015,-0.6936518893624531,-9.161643784480299e-18,-0.0838176,0.06579088170461489,0.1316872427983539,-2.782625,0.9999181736511729,10.930823439402282,0.9258044,2.4283044,0.003926849,240,0.0608258635911772,0.08194162478230141,0.9839364072169365,12409,0.9921353749589203,-1.4975620598609727,-0.004400166,-620.45,0.5161823
-0.4657423323577027,-0.0050000000000000044,0.9880846225854052,-0.956187061158847,1.0,0.00028847734741716555,-0.6842058659442636,-2.0174073499660464e-17,-0.09733319,0.06562341357554265,0.1316872427983539,-2.749655,0.9998808554879468,10.513207607126025,0.92876244,2.4315293,0.0059356084,260,0.05723402346156699,0.08061057677691608,0.9925894190211081,11975,0.9962915449043229,-1.8158402537613945,-0.005929567,-598.75,0.5229217
-0.4727188043726195,-0.0050000000000000044,0.9763580206456153,-0.9520501854421975,1.0,0.00028952164299949875,-0.6723343063075934,-9.923781225699724e-18,-0.113282606,0.06534373599908867,0.19753086419753085,-2.9211478,0.9998553501167571,8.153195881493437,0.92930675,2.260816,0.006832834,280,0.05416944234800987,0.08043360782021129,0.9946164600456973,11456,0.996420991804151,-2.499801034081134,-0.004003884,-572.8,0.5495961
-0.4773276218817415,-0.0050000000000000044,0.9641318362491251,-0.94314061125923,1.0,0.0003219218562145539,-0.660393906548085,5.182660362947485e-18,-0.10564854,0.06490292218916373,0.19753086419753085,-2.9414206,0.9999003124501747,13.051058102211863,0.92846346,2.1662457,0.0027669873,300,0.049301679008847396,0.07784345655010966,0.9889200057349069,10968,0.9963235154597551,-1.8124296145053294,-0.001551347,-548.4,0.5518745
-0.4790739581763223,-0.0050000000000000044,0.9526105388227385,-0.9355496666561186,1.0,0.00027183869348420777,-0.6473795575706571,3.394528643990542e-17,-0.0958156,0.06431425279553096,0.19753086419753085,-3.1592386,0.9998687285504055,10.024002304878435,0.92901874,2.4312258,0.0053487793,320,0.049150953023911446,0.07676394189358714,0.993837490547058,10466,0.9968632743572496,-4.845534936383747,-0.0025664563,-523.3,0.53513813
-0.4795212259983261,-0.0050000000000000044,0.9415607630438682,-0.9280356525823714,1.0,0.00018878714527063346,-0.6379205179064742,-4.212287732991405e-17,-0.097436115,0.06379152896024473,0.19753086419753085,-3.3682787,0.999837072066675,11.206020723093365,0.92855585,2.3048441,0.005375892,340,0.04781638216911863,0.07441438026241096,0.9962272998374989,10121,0.9976198352217179,-4.091451472070694,-0.0049581556,-506.05,0.5107489
-0.478596161449825,-0.0050000000000000044,0.9306619197251667,-0.9280356525823714,1.0,0.0002648263014149927,-0.633218664032813,2.7125400802575655e-17,-0.09297559,0.06352155823223919,0.2962962962962963,-2.6276512,0.9998254602343595,7.055083355491765,0.9281922,2.2165804,0.012866636,360,0.04806615865213023,0.07205728699145515,0.9949588667060917,9954,0.9959336117757791,-10.75801813277087,-0.0046022544,-497.7,0.4844694
-0.47694152296011044,-0.0050000000000000044,0.9193536366784486,-0.9150906088205967,1.0,0.00019723024275466837,-0.6200825092096821,7.472318180251342e-17,-0.062500305,0.06263324989374235,0.4444444444444444,-2.9282925,0.9998402807235115,9.309179626914695,0.9277947,2.6063967,0.006182072,380,0.04519329465353472,0.0720939221137761,0.9958919999007679,9509,0.9982293076555736,-2.682199907097389,-0.0019158571,-475.45,0.4958118
-0.47439095725515407,-0.0050000000000000044,0.910135725009895,-0.9102774023705346,1.0,9.200529801756723e-05,-0.6123817896637054,-1.534981066666883e-17,-0.06886886,0.06208422342022097,0.6666666666666666,-2.918237,0.9997496587532868,9.243350148792183,0.9280533,2.469249,0.0073040104,400,0.046731999551668235,0.07007966214622907,0.9981739736818598,9258,0.9985307879723353,-3.7512137544886723,-0.004007945,-462.9,0.4721148
