_min_act,_std_adv,_max_obs,PolicyEntropy,_mean_adv,_min_obs,ExplainedVarOld,_max_discrew,_mean_obs,_std_act,_min_adv,_MeanReward,_mean_discrew,_min_discrew,_Episode,_std_obs,_mean_act,_lr_multiplier,PolicyLoss,_std_discrew,Beta,KL,Steps,ValFuncLoss,_max_act,ExplainedVarNew,_max_adv
-1.9960772,0.9999992523731919,4.5593922368413775,0.9211153,1.5847064081630336e-17,-4.37123925900337,-0.13377644288628687,-0.0050000000000000044,0.22585691879752923,0.46931547,-3.07932781576738,-2078.4,-6.31190818089465,-10.000000000000009,20,0.8576010124888391,0.3005904,1.0,-0.0011229245,5.9004022214224205,0.6666666666666666,0.0007696928,3587,14.614829558374689,2.7774806,-0.001136220363997742,0.8513049986538683
-2.5905752,0.9999974572026734,5.004321380523493,0.9170529,-5.608932899323233e-17,-1.2639665940154914,-0.044718467657428373,-0.0050000000000000044,0.5733959950679314,0.51865864,-9.340164581326512,-655.95,-1.0166677336206977,-10.000000000000009,40,0.7060092883775076,0.21345283,1.0,-0.0010756908,1.9513453398933767,0.4444444444444444,0.0006025823,9121,1.16596735731915,2.616836,0.40683777936364474,3.5120617610684417
-2.6317716,0.9999967648297314,10.997999999999344,0.9172189,2.0801763454849464e-17,-0.481066547187924,-27.49440211957584,-0.0050000000000000044,0.8387074944449252,0.48515388,-1.8905454037641325,-1093.05,-0.8282673208090167,-0.999999999999989,60,3.8153044997755687,-0.16366892,1.0,-0.00012491731,0.06097522856667115,0.2962962962962963,5.3121767e-05,21861,0.012736221294496499,2.3506699,0.848306861056174,7.127769830128084
-2.4586384,0.9999933624740903,1.0909999999999906,0.9159327,-1.0444677931182951e-17,-0.3795744594972183,0.2933418182094357,-0.0050000000000000044,0.13636821312327843,0.4377188,-19.208288853901593,-916.3,-0.8200656672822643,-10.000000000000009,80,0.0786649732694448,-0.048317965,1.0,-0.0010585486,0.4218331577446534,0.2962962962962963,0.0015020821,16327,0.125367004682833,2.7305677,0.7033096676293201,8.960990674890846
-2.7810285,0.9999779354054628,1.0243885127632422,0.9096358,-1.1413031551906152e-17,-0.3719573665095426,0.8120347452423193,-0.0050000000000000044,0.12078766078626688,0.4539528,-1.2810339919402793,-871.6,-0.7747270629698473,-0.9930737829077354,100,0.08282216965895764,-0.09512092,1.0,-0.005408577,0.06310133466164987,0.4444444444444444,0.0066870656,17432,0.005032186577622145,2.7518044,0.9206762444662454,16.09118390384362
-2.5635455,0.9999863863035674,1.0375878274944097,0.90801316,7.331061127869886e-18,-0.3496503975195833,0.5942014716721318,-0.0050000000000000044,0.11410489668429634,0.46111593,-2.1847917301943323,-872.3,-0.7748778662321005,-0.9915360542722466,120,0.08541880460198716,-0.13662967,1.0,-0.00017223318,0.06307836728555498,0.2962962962962963,0.0003940241,17446,0.000646390354418545,2.2662838,0.9897616033046356,19.21194902079645
-2.9256449,0.9999205508091911,1.0416770640166673,0.9085418,5.955219289177085e-18,-0.36465783405313024,0.9834845756509639,-0.0050000000000000044,0.10728322849984874,0.45291057,-2.9732346088406763,-835.2,-0.7654261278017955,-0.9894474524658465,140,0.0852468939296713,-0.14122735,1.0,-0.0033609197,0.06377990946271161,0.4444444444444444,0.012097549,16704,0.0003969675900910684,2.774028,0.9939237791333662,27.238908856461943
-2.8960755,0.9999048465836551,1.0414250704458234,0.9120667,3.809369981289909e-18,-0.3930798229030594,0.9865122526340616,-0.0050000000000000044,0.09393643994913965,0.45766085,-4.2610308149475795,-746.1,-0.7397072480942823,-0.9840828724679197,160,0.08287006512235702,-0.11362604,1.0,-0.0045861574,0.06519421830848396,0.4444444444444444,0.0053193886,14922,0.00045857756460717676,2.5475807,0.9938072290081189,14.379756867512038
-2.6187825,0.9998983008032623,1.0346923533758658,0.9131405,6.279473967233442e-17,-0.41155433650984025,0.9890732893498818,-0.0050000000000000044,0.08262573095074699,0.45221585,-4.903675956259189,-701.55,-0.7248350400233009,-0.9762305990619136,180,0.08186210734672753,-0.12854804,1.0,-0.005641278,0.06562870253447751,0.6666666666666666,0.008965603,14031,0.00030540332758232286,2.1165843,0.9958905014760475,13.579971788958053
-2.922703,0.9998803800475234,1.0246759623759922,0.91571146,2.63306194059174e-17,-0.4236940557699334,0.9920461125142817,-0.0050000000000000044,0.07670199969536691,0.4539618,-6.886626527079049,-647.65,-0.7047561904108665,-0.9678905111894,200,0.08068655088892288,-0.12662195,1.0,-0.0021539442,0.06584138929740282,0.6666666666666666,0.005016058,12953,0.0002808290766501692,2.6201665,0.9963349681088742,10.390629662789689
