_MeanReward,_min_obs,_mean_obs,_lr_multiplier,Beta,_min_discrew,_std_adv,_max_discrew,_std_discrew,_Episode,_max_obs,ValFuncLoss,PolicyEntropy,_std_obs,ExplainedVarNew,_mean_adv,_max_adv,_mean_act,_min_act,_std_act,ExplainedVarOld,_max_act,_mean_discrew,PolicyLoss,KL,_min_adv,Steps
-71.25,-1.4965793840355137,0.13739969550889256,1.0,0.6666666666666666,-0.6127895028583509,0.9999864065733666,-0.0050000000000000044,0.03365762704059645,20,1.6208428446099803,0.030316644460285015,0.91733986,0.08604999485482703,0.10703376315007973,1.9334496211159188e-16,1.4405769862419706,0.8927577,-1.408536,0.3770447,0.018916259273588643,2.5974526,-0.2068366769405931,-0.0013348521,0.0010019818,-2.0700342377775818,1029
-91.25,-0.9255432207518968,-0.02445537733022948,1.0,0.6666666666666666,-0.6127895028583509,0.9999868483783437,-0.0050000000000000044,0.048412030254998475,40,0.5108085703596701,0.04624913350673481,0.9204426,0.039964733457868745,0.05959546063590482,0.0,0.806227380382412,0.64797926,-1.23107,0.35111877,0.06115343422119013,2.504082,-0.29415685534944785,-0.002023688,0.0058137807,-2.607858367658916,1033
-86.6,-0.7865273420197136,-0.022763070782766768,1.0,0.6666666666666666,-0.6147255553440591,0.9999858687542684,-0.0050000000000000044,0.04613510179157135,60,0.4321878583087786,0.04308576105430277,0.92453873,0.033234266048811696,0.06644769940409734,2.735486951915689e-17,1.091298745970046,0.6085789,-1.5033617,0.3615723,0.06418529503302717,2.5910199,-0.2730307377035948,-0.0017540138,0.0057972223,-2.4315319847438963,1039
-67.9,-0.7208359905204076,-0.02119403656436425,1.0,0.6666666666666666,-0.6127895028583509,0.9999810303467284,-0.0050000000000000044,0.027353915556952768,80,0.4544404480396129,0.024834417450580213,0.93067527,0.03157937575569115,0.14742295267861605,2.678766204562112e-17,0.9086436524338489,0.5673429,-1.5637913,0.40902904,0.14242933509037992,2.9476347,-0.1876827140286608,-0.0010697064,0.0028194392,-3.8236994770094563,1061
-131.75,-0.6804083524078146,0.2620325918123629,1.0,0.6666666666666666,-0.9994679977836767,0.999988227757295,-0.0050000000000000044,0.15892368101191118,100,3.483307377060783,0.023530389553801045,0.9289863,0.4786677465799377,0.8536220321705026,8.965838937035964e-17,1.3949230440339218,-0.048798148,-2.459875,0.63353646,-1.9781942420161198,2.358924,-0.5753671564211854,-0.0020238545,0.0016975718,-2.622362727188674,2536
