_MeanReward,_std_obs,_min_obs,_std_adv,_max_act,_lr_multiplier,_mean_discrew,_mean_obs,_Episode,PolicyLoss,Beta,_min_act,KL,ExplainedVarOld,_min_discrew,ExplainedVarNew,_max_obs,_max_discrew,_std_discrew,ValFuncLoss,Steps,_min_adv,_std_act,_mean_act,PolicyEntropy,_max_adv,_mean_adv
-63.7,0.12979565420585523,-2.1327385488336854,0.9999918191588771,2.185848,1.0,-0.14727838193493725,-0.03673871609358713,20,-0.0025585024,1.0,-2.1940558,0.0022917925,-15.269859149838357,-0.32020617166734244,0.8192413695840821,1.4290258130245765,-0.0050000000000000044,0.006496945054527335,0.0014145971541627994,1274,-1.468921035817888,0.36391178,0.045696646,0.92024297,3.188056601945158,-4.182943891837324e-18
-65.2,0.07083400115160116,-0.8927973302864091,0.9999359692575839,2.205939,1.0,-0.15034183751855065,0.016075476256981885,40,-0.0078081232,1.5,-1.8808677,0.009071905,0.8472075578221288,-0.3303521795294359,0.9466602772082526,0.925678454745415,-0.0050000000000000044,0.006766768958141055,0.0003866504579533813,1304,-3.741426984309933,0.3925445,0.03343133,0.9247395,2.172131784465272,-2.179578944049387e-17
-61.45,0.0717851978442196,-0.8529358154019225,0.9998973312594812,1.958747,1.0,-0.1425416865248553,0.007101076100328923,60,-0.008698081,2.25,-1.9783965,0.007164329,0.9340322767783132,-0.3029533991645052,0.9572334650831189,0.6152812485488995,-0.0050000000000000044,0.006084332966909862,0.00026141494037727314,1229,-2.173165215490138,0.38267505,0.06551888,0.9263568,2.3187057879366764,2.8907352960134265e-17
-62.8,0.06203059355770372,-1.1125333571945673,0.9999693199430663,1.6002929,1.0,-0.15513120666724564,-0.004975271336167289,80,-0.00022373567,1.5,-1.7488087,0.00018099365,0.3245416548725155,-0.6185686679295022,0.35548067078828627,0.6149376410756963,-0.0050000000000000044,0.013429487456343868,0.008790735229414674,1157,-7.108504036416373,0.34994864,0.079817265,0.9281038,0.8556998565400681,-2.4565003829216948e-17
-65.95,0.06055347766797358,-1.0224710265593169,0.9999771975883168,2.1173012,1.0,-0.17241119917399497,-0.00046087285385552565,100,-0.0003275973,1.0,-1.7834172,0.0003934325,0.1996913637415545,-0.6185686679295022,0.2641875205443033,0.6113058441342054,-0.0050000000000000044,0.020752167945492592,0.015403896123796832,1121,-5.062429821373888,0.38275507,0.089824475,0.92797756,0.7214274787898329,-1.2676944438181984e-17
-61.2,0.0594820298234927,-1.0291421964193233,0.9999686410961003,2.909737,1.0,-0.15181157840647966,0.0026750897749018105,120,-0.002662197,1.0,-2.049612,0.0022917383,0.3469797640352619,-0.6166519275673389,0.3547299838998942,0.6096939946413076,-0.0050000000000000044,0.013300963512671082,0.008582945174110903,1125,-5.93352364432628,0.38583428,0.103458576,0.9232242,1.8793551288176649,0.0
-61.3,0.06612272197875917,-0.9617387070853222,0.999968927400916,1.9461597,1.0,-0.15207337547572503,0.0007796602177827678,140,-0.0005466052,0.6666666666666666,-1.866128,0.0004990344,0.3275024097849487,-0.6166519275673389,0.372597614168227,0.6078106476890892,-0.0050000000000000044,0.013311430405375234,0.008382062919706888,1127,-6.0935758537275895,0.3672743,0.099872366,0.9228991,1.5886102891119067,2.5218908101511986e-17
-61.65,0.06376615091103614,-0.9689765180933404,0.9999673191955821,2.186158,1.0,-0.15260928372166987,0.0017257680625132584,160,-0.0022210942,0.6666666666666666,-1.7591063,0.0029432832,0.385242167993612,-0.6166519275673389,0.4112378549324055,0.6038884143134972,-0.0050000000000000044,0.013274440779185975,0.007859646266126275,1134,-7.320406161699058,0.39110762,0.09207636,0.9217281,0.6400673562571856,-5.0126471658560857e-17
-57.6,0.06604157239815543,-0.7870654264267131,0.9998811211368892,2.1172228,1.0,-0.13388909432294704,0.007167099757872813,180,-0.0010122573,0.4444444444444444,-2.2525742,0.0012188778,0.8936859250242949,-0.28167111690137653,0.9438134389238314,0.6051997080910634,-0.0050000000000000044,0.005279551135259325,0.0003405710352436428,1152,-4.419809411917714,0.36554274,0.07271704,0.9184281,1.9487769367617849,0.0
-57.5,0.05954450775017988,-0.8039580211340043,0.9997797308740048,2.2858539,1.0,-0.1335087046379849,-0.0006542228874622167,200,-0.006808957,0.6666666666666666,-1.9555625,0.0066090985,0.9729898733593695,-0.27078752962953856,0.9861579101675809,0.602593449848793,-0.0050000000000000044,0.005220707140565097,7.238632819001035e-05,1150,-3.7597974403669703,0.38912863,0.054717243,0.91155267,5.250646276148782,3.707179490922262e-17
