_std_act,_std_obs,_std_adv,ExplainedVarNew,KL,_min_discrew,_max_discrew,_min_act,_max_obs,_mean_act,Steps,_mean_adv,_max_adv,PolicyEntropy,_max_act,_MeanReward,ExplainedVarOld,_min_obs,_mean_obs,PolicyLoss,Beta,ValFuncLoss,_lr_multiplier,_mean_discrew,_min_adv,_std_discrew,_Episode
0.3715758,2.4278339365399537,0.9999998024365631,-3.6535930132863825e-05,0.0006240934,-110.31435930780454,-1.0,-1.6863087,14.590485751952981,0.11209564,2468,-8.205213925916879e-17,2.644498877016287,0.9223777,2.2800286,-123.4,-0.0009295379454283825,-0.6065621845712562,1.9788888764432666,-0.00052878057,0.6666666666666666,2993.4756376097853,1.0,-51.47951628904126,-1.1218778132422678,723.6925187788815,20
0.36917043,0.07156554088866397,0.9999999169601665,-1.2000542206402898e-05,0.00022167148,-256.5434920774963,-0.2565434920774963,-2.1559136,2.068602132035956,0.17475615,2176,-2.6122894697062506e-17,0.5384167301995002,0.92664564,2.37246,-158.75,-7.773118088061359e-05,-1.405774349580994,0.20972134487074942,-0.0022688755,0.4444444444444444,2155.0398060576213,1.0,-21.448852173777624,-10.104190897146408,1880.588549304428,40
0.3815085,0.0498404792013633,0.9999994523197995,-0.00018403110793419053,0.00039874992,-23.714647805227134,-0.2607417006667746,-1.8338183,1.4533835831030921,0.20010172,2167,-1.5410940738682376e-16,2.5255538569102436,0.92627466,2.1101983,-108.35,-0.0008458227251981754,-0.5936176365452339,0.11849017346943372,-0.0001128233,0.2962962962962963,84.24289959327221,1.0,-12.034634443470974,-1.1537563393544559,39.86252639400878,60
0.3689328,0.04248151620477097,0.9999994723272733,9.217154763130342e-05,0.0015432218,-23.50414753544503,-0.2648587237362846,-1.7390282,1.1876559330770173,0.21709345,2159,-1.5797152068774807e-16,2.5239680436802336,0.9270967,2.8128483,-107.95,-8.737576238959655e-05,-0.5887994421245801,0.07868315403100871,-0.0005421102,0.2962962962962963,82.93228613741728,1.0,-12.173763949211725,-1.1385600516617618,40.62564063414938,80
0.35821488,0.04039111122540715,0.9999994875043117,0.00019725022135386183,0.00064703467,-24.318441315762957,-0.2690011446016334,-2.0850728,1.0311247801443482,0.22285473,2208,-1.2228543459639405e-16,2.5426308048785677,0.9323548,2.3084245,-110.4,0.00011034740240989382,-0.584401461138488,0.049453095004567245,-0.00038463704,0.19753086419753085,87.4816124369612,1.0,-12.608136931704154,-1.125061242260436,43.60063081858857,100
0.35891074,0.03703937256894715,0.9999995013527573,0.00029102601511832304,0.0060381982,-24.98936548685119,-0.27311983219966485,-1.9395926,0.9273620404616487,0.20290661,2230,2.294129012319606e-16,2.5518896800874082,0.9307963,2.9423728,-111.5,0.00026999248430292777,-0.5798470093650699,0.03459736689570595,-0.0017806708,0.2962962962962963,88.54956974004998,1.0,-12.899159917147383,-1.123525826643427,45.4753710823725,120
0.38085076,0.03802458413290213,0.9999995197035484,0.00020437434777997865,0.0036418026,-30.39780686935058,-0.2778320416418903,-1.9397626,0.852449531492645,0.14966495,2606,8.656842617184644e-17,2.6948416642005193,0.92597234,2.5168242,-130.3,0.00017142510732059968,-0.5756718807000422,0.001030310538918195,-0.0019991123,0.2962962962962963,127.23094299867554,1.0,-14.994186927437498,-1.0594166633550932,61.45895225603656,140
0.37060744,0.04048904101982391,0.9999995382160655,0.00022365114264522035,0.0025183775,-33.5803784963834,-0.28249802020349696,-1.776846,0.8032912508314582,0.19226311,2625,3.789561257387201e-17,2.700347382140617,0.9252727,2.439215,-131.25,0.0001790060993416276,-0.5700477571102963,-0.008716049811505203,-0.00083626824,0.2962962962962963,127.76256651881195,1.0,-15.39619180823606,-1.0809864530967188,65.91770292143083,160
0.371253,0.03674233324047822,0.9999995551493692,0.0004935005148815064,0.00953714,-29.905050363406556,-0.28678870023734904,-1.7261211,0.7621614074080749,0.21909411,2447,-8.7111900583584e-17,2.63543701165473,0.930472,2.1345284,-122.35,0.0003445693323645971,-0.5638897644049199,0.0033522985866847863,-0.0027731995,0.4444444444444444,101.14949477953003,1.0,-14.651671477184559,-1.1033921675330847,58.44813103917644,180
0.39574313,0.036543173733745535,0.9999998964429729,2.1142879353730493e-05,0.0018008105,-205.49076460678899,-0.20549076460678897,-1.6670363,0.7258162287546449,0.26501948,2179,0.0,0.6749817446096701,0.9370393,3.05668,-158.9,1.3988937156539372e-05,-1.541038458168775,0.0175953731774612,-0.0047256006,0.4444444444444444,1292.5024077397477,1.0,-17.296216049769203,-9.954379586391221,1218.4016344447116,200
