_Episode,_min_discrew,_std_discrew,_min_adv,_mean_adv,_mean_act,_max_act,ExplainedVarOld,_std_act,_min_obs,_min_act,Beta,_mean_discrew,ExplainedVarNew,ValFuncLoss,_std_obs,_max_discrew,_max_obs,_MeanReward,_mean_obs,KL,PolicyLoss,_std_adv,_lr_multiplier,_max_adv,PolicyEntropy,Steps
20,-175.63738462317164,1959.1188468813868,-0.6913912274967282,-4.158429341575063e-16,-0.021989187,2.1844058,-0.009456121250293714,0.37709227,-10.414628177097224,-2.5687563,0.6666666666666666,-88.31294303031079,0.0008245295668862784,8942.490626400975,0.4875166875471305,-1.0,1.4658090522477956,-246.05,-0.03998782649616475,0.0014453498,-0.001799498,0.9999997880066266,1.0,3.539587692157136,0.92264533,4921
40,-143.73097055087416,1288.7793920714091,-0.9093848602861778,1.1888612422087566e-16,0.024258815,2.307576,0.04085642808421697,0.39288607,-0.4748245446376748,-2.0285528,0.4444444444444444,-69.72615379411863,0.00033989342652407384,5245.103446577898,0.053388506156097394,-1.0,0.7424508068279205,-179.3,0.021409271464577384,0.00014625913,-0.000510786,0.9999998042496749,1.0,3.2787970786544394,0.920743,3586
60,-153.95392101136292,1370.9605047049433,-0.8262139428689667,-9.690066157756415e-17,0.018393371,2.193145,0.0001690199909782919,0.35927835,-0.5157578144512772,-2.3918588,0.4444444444444444,-72.7452183341128,8.291614053312912e-05,5475.254242114975,0.05608058594558292,-1.0,0.7437294833965361,-190.65,0.013926072363474724,0.0018640548,-0.0008404467,0.9999998216922157,1.0,3.1490106205193023,0.91821504,3813
80,-151.58701656758961,1214.3934786971533,-0.9383873399408483,-3.0835704589712963e-16,0.06714919,2.4963648,0.00021938184743253153,0.38533753,-3.538310326358003,-1.9419848,0.6666666666666666,-65.06994800635916,0.00013437847763930755,4220.339120772814,0.08314826976042844,-1.0,0.7501835175957301,-161.3,0.012131065843176829,0.0065263086,-0.005341045,0.9999998320722819,1.0,2.928867983385529,0.91865236,3226
100,-151.09923140081273,1324.987771886433,-0.9020587353416559,-1.6024109174411754e-16,0.08633843,2.326682,0.00010492952070140227,0.38490704,-0.5445696386082343,-2.0217993,0.6666666666666666,-67.7761544928831,7.521852224567915e-05,4449.034247887882,0.06578949611674224,-1.0,0.7442607815350256,-168.5,0.020910073959249213,0.0047975946,-0.0030290913,0.9999998358882753,1.0,2.979629592591752,0.9219361,3370
120,-114.69907858033964,845.6853373973922,-1.0404082278884659,-7.338692955102473e-17,0.10317632,1.9928774,0.00017023613334721244,0.37219214,-3.7003839620792793,-2.9871404,0.6666666666666666,-55.73832048147943,0.0001409503284670599,2665.9448466801014,0.07767177944034179,-1.0,0.7505573731286229,-135.55,0.013520712810827448,0.0015759348,-0.001858177,0.9999998425336435,1.0,2.7361868977377797,0.9264344,2711
140,-132.60331782348305,990.1715205189005,-0.9977410325947814,-2.9765979471031226e-16,0.08811534,2.0821576,8.673499938760543e-05,0.3718416,-0.5272470812435035,-2.45342,0.6666666666666666,-60.054430220107875,7.852899973459504e-05,3084.5533110714127,0.052186561853914605,-1.0,0.7403554958431935,-148.0,0.01232128255984458,0.0016765984,-0.0007520956,0.9999998449957463,1.0,2.830371807484759,0.9300194,2960
160,-148.06756140557883,1355.4817194730956,-0.8170887688897303,-1.8063083814394246e-16,0.059108283,2.4264636,2.525592757063322e-05,0.4196635,-0.5756414327357575,-1.8644544,0.4444444444444444,-73.08770814469806,2.412982999322466e-05,4582.92770910547,0.06651546905102637,-1.0,0.7430973906110787,-192.75,0.015666336873740676,0.0007328938,-0.00080805377,0.9999998424147205,1.0,3.1636096343111646,0.93156016,3855
180,-190.83448118233943,678.1558712573604,-12.061235816397271,0.0,0.06891255,2.5129373,-2.695946395969706e-05,0.40485033,-3.9706889181061853,-2.114721,0.4444444444444444,-18.052464365812263,4.385194395273295e-06,678.6117716480122,0.08355494117194996,-0.19083448118233942,0.7524994526455652,-227.1,0.017348483337330148,0.0024805623,-0.0018361874,0.9999998603203494,1.0,1.2547546339455686,0.9310538,3543
200,-29.311432068080514,54.72534132978576,-0.8527796794440438,0.0,0.08135183,2.3560646,0.0001827110411086741,0.40935132,-0.5557775498289826,-1.9989614,0.4444444444444444,-14.181485253597359,0.00030244316334582244,65.03069959123054,0.07459060064868281,-0.20010268060717532,0.838297510767767,-181.2,0.015087165498668873,0.003798456,-0.0015719277,0.9999996377353911,1.0,3.0763468113933143,0.9292276,3624
220,-146.37909662777363,463.57685686205565,-10.759398941246202,1.8710802784992762e-17,0.11667272,2.0850298,4.738412891180932e-05,0.40108117,-4.142457037331474,-1.925439,0.2962962962962963,-13.389657716098798,0.031540099028019575,449.8118185978292,0.08955259897149478,-0.14637909662777362,1.0031008198528921,-201.85,0.00893486559196341,0.0012521312,-0.0008955006,0.9999998342281063,1.0,1.3612939858840252,0.9287405,3038
240,-18.81277857218271,21.397524589407816,-2.917635823197555,-2.718598293342992e-17,0.12718244,2.3941102,-0.3024275497880875,0.39611715,-0.5359063268976374,-2.0485508,0.4444444444444444,-8.861086156309256,0.8057849941543276,9.738470778322192,0.04872099047558594,-0.1512674743032068,0.7530746830258213,-143.75,0.02056140589831865,0.008736188,-0.004723144,0.9999995794753331,1.0,2.254732732297764,0.92785764,2875
260,-24.82367534176884,37.19216206545789,-1.9060538428342073,-3.097733997864197e-17,0.093433365,2.7430265,0.6031378574910558,0.411952,-4.2324927647596065,-2.3631175,0.6666666666666666,-11.433449381631549,0.9017332056167224,4.008213301651463,0.11182505767807907,-0.15718493863545555,1.2498750086661012,-183.5,0.029236741047803848,0.0062025576,-0.0026435163,0.9999987958514861,1.0,3.7575915016365022,0.93104976,3670
280,-20.159911037822017,27.15004873137038,-3.2514201926493804,2.2773805633336544e-18,0.12491339,2.343929,0.9657142649417302,0.40211347,-0.5510508536702496,-2.2440715,1.0,-10.103965392964094,0.9682005494936688,0.863375090657297,0.053598552274442234,-0.16209933121616796,0.7539234177369162,-156.0,0.013327862474713542,0.012661655,-0.02330605,0.9999975525661423,1.0,3.4949206790075475,0.9340714,3120
300,-16.80659836329858,19.0431664651703,-2.0235292459755043,-2.3744118154055143e-17,0.20484889,2.089511,0.9564765484318303,0.40700668,-4.2260285455636035,-2.026224,1.5,-8.330735575432167,0.9807487887897364,0.3962081111707245,0.09151117537249023,-0.1658225917496037,0.7529406273486134,-119.7,0.008892267725181644,0.013964348,-0.008158523,0.999997434753158,1.0,4.104512760272634,0.9371029,2394
320,-15.930450740538623,16.921333876615606,-1.8182270111964853,2.7781109723830966e-17,0.2633994,2.9422596,0.975100965636838,0.39938143,-0.426240691092493,-1.6401011,2.25,-7.832338894273887,0.9930384938725975,0.11780685020014614,0.040324139995450065,-0.16914613049272084,0.7473451012449356,-108.7,0.03669391568884886,0.0062104524,-0.00961934,0.9999966792066962,1.0,4.55074076812173,0.94708276,2174
340,-15.095113208080162,16.316559096840752,-2.18462188485493,1.2785677826777235e-17,0.28212985,2.500266,0.9901211651328995,0.39584497,-0.42761565074808694,-1.7094586,2.25,-7.6912123345994035,0.9956765458470009,0.07371701013377016,0.036631964971555436,-0.17227689593249143,0.7406321051033935,-104.2,0.03172134484087366,0.0024505004,-0.0048072026,0.9999947641150168,1.0,5.472221948556658,0.9473781,2084
360,-14.760503208440559,16.60241885326128,-3.114717872112804,-7.315423030475838e-18,0.28636727,2.7988691,0.9950274571009531,0.3973155,-0.4293005420785752,-1.5582192,1.5,-7.76086629967753,0.9978400278558107,0.03667429693273495,0.036170708659421555,-0.17532356378139358,0.7332658356424702,-103.2,0.036361555478247036,0.00097503565,-0.0015292477,0.9999924516904792,1.0,5.513798943038357,0.94765157,2064
380,-14.90454608540695,16.710414108753444,-2.9351692477191347,-5.608625442605626e-17,0.29763594,2.868274,0.9962391053810744,0.4123047,-0.4309301782421114,-1.8010559,1.5,-7.773995599919342,0.9981734152751742,0.03258007090137618,0.03511641709248822,-0.17826674808962503,0.727064450290374,-101.35,0.027660164693912453,0.0030428378,-0.00511599,0.9999909330595572,1.0,4.584691047094826,0.94685906,2027
400,-147.2480402035483,608.6440935931696,-9.937227504529355,-2.8636483053303785e-17,0.33768103,2.3599627,0.01758291671805856,0.40209576,-0.43270259345623846,-1.853933,1.0,-11.550729659170344,0.09394347699327732,559.2608318204873,0.033057265287947106,-0.14724804020354829,0.720864206936648,-149.2,0.034536629510057454,0.00020122681,-0.00041909722,0.9999998614863455,1.0,0.2560972048555279,0.9484544,1985
