_min_act,Beta,Steps,_std_obs,_min_adv,_lr_multiplier,_MeanReward,_max_act,_min_obs,_max_adv,_std_adv,_std_act,_mean_adv,_std_discrew,KL,ExplainedVarNew,ValFuncLoss,_mean_discrew,_max_obs,_max_discrew,_mean_obs,ExplainedVarOld,PolicyLoss,_min_discrew,_mean_act,_Episode,PolicyEntropy
-1.9604666,0.6666666666666666,1109,0.05344504434194597,-4.760814108922995,1.0,-60.4,2.1932971,-1.2372348836984526,1.3724786240582372,0.9999998760983575,0.39025354,0.0,704.1452319370736,0.00021129132,0.0007535707083867749,1639.5431986223396,-33.06672678088368,0.9103107215982051,-1.0,0.003228728889734441,0.001454670557080262,-0.0006532725,-153.0,0.1272829,20,0.9149355
-1.639483,0.6666666666666666,1138,0.030105501344993808,-4.681373181181078,1.0,-61.85,1.7933651,-0.7863147318442941,1.4352009397016736,0.999999876423112,0.36569184,1.2487570048507913e-16,689.0598033734761,0.003022181,0.0010110619339073201,1605.722396336463,-33.60456942003515,0.3872422727962541,-1.0,-0.02413570056184466,0.004445933919731693,-0.0013729655,-152.0,0.0743868,40,0.9154046
-1.6768073,0.6666666666666666,1154,0.027887144584348735,-4.603301167478384,1.0,-62.65,2.0408616,-0.6987185010622129,1.4653249855329529,0.9999998773974005,0.3331759,2.2165977891996193e-16,700.1726561819487,0.0032929957,0.0007450641100570365,1598.7385937253412,-34.03899480069324,0.4259943653195718,-1.0,-0.01734618929793529,0.002291796436422966,-0.001134986,-153.0,0.03761419,60,0.9149174
-2.0808969,0.4444444444444444,1338,0.033742154185915724,-3.600902823371761,1.0,-76.8,2.1333902,-0.661574324797376,1.4929037949966169,0.9999998973272274,0.36026928,2.5490322359106733e-16,1152.744063937653,0.001326998,0.0004956954239021538,2652.5379819810773,-43.742899850523166,0.45144410257745343,-1.0,-0.024849870710677784,0.00839989750778758,-0.0006631581,-162.0,-0.06913704,80,0.91575414
-1.7190437,0.4444444444444444,1171,0.028476473651325485,-3.5046446195462444,1.0,-68.45,1.6947361,-0.6486505910028249,1.3632787934390298,0.9999999016610661,0.36066917,4.854262925773528e-17,1091.4108942191783,0.0026211431,6.885653043653406e-05,2207.9686342896725,-39.18445772843723,0.4640615275092326,-1.0,-0.004930508592808565,0.00012727764768538652,-0.0008400993,-154.0,0.0032677301,100,0.91535795
-1.9923064,0.6666666666666666,1311,0.03818109832399997,-2.1294289718499178,1.0,-65.55,1.8797197,-0.678010398898525,1.9966239657166995,0.9999998380377692,0.36774138,2.1679412227615567e-17,605.6688409578982,0.007376166,5.4830913234327205e-05,1457.616539760372,-35.77879481311975,0.47575255358628454,-1.0,-0.01538472426742718,0.0013467888337359568,-0.0062548034,-135.0,-0.052971613,120,0.9151486
-2.0409884,0.6666666666666666,1221,0.03130100333119441,-4.2822339213784035,1.0,-66.0,1.9164771,-0.6295001842055592,1.553724177488023,0.9999998821055048,0.38298732,-6.983220990271255e-17,814.0401947625534,0.0044146855,2.2705079317231203e-05,1674.9013386062193,-36.54217854217854,0.48073730664776443,-1.0,-0.005892818554420962,3.2855105989160194e-05,-0.004344279,-160.0,-0.020604884,140,0.9175146
-2.235622,1.0,1171,0.028536541672013697,-1.528657517177425,1.0,-58.55,2.1246443,-0.6237762673923566,2.0363897769608466,0.9999998223691936,0.38715538,5.764437224356065e-17,288.42617745531237,0.009523032,4.150856467721731e-05,775.4759561621765,-29.822374039282664,0.48796851889497594,-1.0,0.001648692056363389,4.826923950917994e-05,-0.0056920983,-63.0,-0.019496419,160,0.9197576
-2.0148323,0.6666666666666666,1205,0.03083334261192743,-1.5213976143114494,1.0,-60.25,2.611171,-0.618536599863059,2.047027717641519,0.9999998266745009,0.37534043,-8.255268299287471e-17,306.36808319415985,0.0012373695,6.222001557054657e-05,809.982873364759,-30.69045643153527,0.49437242058024194,-1.0,-0.0006288910407097921,6.855361570912155e-05,-0.0007815828,-65.0,-0.03703,180,0.92069405
-2.0082886,0.4444444444444444,1142,0.029068699508305002,-1.6406150774122035,1.0,-57.1,2.032041,-0.6152759875665939,2.026318176424434,0.9999998234318231,0.40912268,-2.0221224966903026e-17,274.6012434019035,0.0013537611,4.232081090993489e-05,689.804648142582,-29.09982486865149,0.4975548699126187,-1.0,0.008655558597068425,4.582541310294008e-05,-0.00075868174,-65.0,0.026559012,200,0.92284405
