_lr_multiplier,KL,Beta,ExplainedVarOld,_std_discrew,ValFuncLoss,_min_adv,_mean_obs,_Episode,_std_act,_mean_adv,_max_obs,_MeanReward,_min_discrew,_mean_discrew,_min_obs,_max_discrew,_max_act,_max_adv,_min_act,PolicyLoss,_std_obs,Steps,_mean_act,ExplainedVarNew,PolicyEntropy,_std_adv
1.0,0.00027043265,0.6666666666666666,-5.595277952963329e-06,12782.047062438398,15722.211748815955,-6.898323615336652,5.712192945591094,20,0.38320994,0.0,32.44534800633915,-199.1,-483.6093693991084,-56.51625941892484,-0.949815921827269,-0.4836093693991084,2.6747403,0.44876969444402554,-1.8404567,-0.0006570425,7.708080340314659,1984,0.46425813,-9.03628198933859e-08,0.9227178,0.9999999695853548
1.0,0.0026763636,0.6666666666666666,-0.0010440350075113791,135.11131253427615,488.96091472958324,-1.1536683238885028,0.7304656026165273,40,0.36093318,-1.5244853472464836e-16,5.098536113916485,-107.2,-43.28461263248006,-22.16338758232863,-0.6025606131905816,-0.4847182748345657,2.257702,2.517235514849706,-1.4312253,-0.0016376914,0.2964718889564938,2144,0.32566288,-0.00010295165271645423,0.92415476,0.9999996283102872
1.0,0.0023319644,0.6666666666666666,-0.00014469568000907707,128.2209680282713,436.01387568268234,-1.161009517310038,0.5284381243413462,60,0.362453,-1.7171163261481397e-18,3.7287671591681817,-103.45,-41.73804160815395,-21.555134190529117,-0.6018004776088854,-0.4857861597836842,2.3484256,2.4887044864330585,-2.0921173,-0.003139837,0.15651242776263666,2069,0.40376687,-5.361461853414795e-05,0.92273307,0.9999996419474758
1.0,0.006199083,1.0,-9.247738921369653e-05,138.2758375114371,452.8626550156981,-1.1594095510595386,0.3903679444088687,80,0.39482602,-8.548871415901252e-17,3.075591567584568,-108.05,-44.54928175220064,-22.417236236698454,-0.6011527252365854,-0.4868988115436066,2.376086,2.5246400052081652,-2.5117133,-0.0052227783,0.1404949520835524,2161,0.33979195,-3.9730518883507315e-05,0.9246302,0.9999996527943775
1.0,0.0003519352,0.6666666666666666,-4.4043479512811956e-05,137.11620638576318,423.40377895081735,-1.1536649315059435,0.32849353436288586,100,0.35794434,2.4832574642128385e-16,2.687599107814617,-107.3,-43.84789104274887,-22.330035174714887,-0.6003525067390298,-0.4880012645178377,2.2726278,2.51906849907188,-1.5665663,-0.001021778,0.11013565675647674,2146,0.31471515,-2.2255997403242134e-05,0.9265636,0.999999661281469
1.0,0.001195271,0.4444444444444444,-1.9643777554811948e-05,137.9947797137373,401.2888517289169,-1.1673084973045373,0.28798073983302025,120,0.3841103,-4.302308134551142e-17,2.4181583037871457,-107.35,-44.750841042139314,-22.392971808840812,-0.5995851196251346,-0.48910174220526154,2.3655684,2.5193459314144526,-1.7261205,-0.0018871288,0.08503406613220736,2147,0.26815167,-1.1481645264321827e-05,0.92493075,0.999999670350148
1.0,0.00042846563,0.2962962962962963,-1.754070337689484e-05,152.85016241551568,432.01533715025795,-1.1010871450439614,0.22524850307423508,140,0.36383697,-5.58505207147677e-17,2.2186695732153385,-114.5,-45.388590986836896,-23.677044016403183,-0.5988846798420763,-0.4902724442452031,1.9862792,2.5757431983334125,-2.0303001,-0.00035571808,0.08947798786826043,2290,0.2324763,-1.0936570833841586e-05,0.92735827,0.9999996808678014
1.0,0.002032405,0.2962962962962963,-8.72284256425715e-06,148.2475384730093,387.5545345676244,-1.1286393325943522,0.21309478066559254,160,0.36787364,-2.829454294525679e-16,2.068218182058882,-111.75,-45.49413264909176,-23.265827228474105,-0.5979867376439624,-0.4914124701327305,2.369729,2.553931840332034,-2.080254,-0.0019153263,0.07256378860781974,2235,0.22629167,-5.572044739610149e-06,0.9288821,0.9999996892024944
1.0,0.003714069,0.2962962962962963,-7.436704881014222e-06,160.62318841683742,398.9177291553277,-1.1152829406065357,0.17954982711634027,180,0.35636425,-1.2056030095585891e-16,1.9447396128869137,-116.4,-47.93791434399542,-24.17564573883162,-0.5972216203268551,-0.49259689987196176,2.2891133,2.588696431914766,-1.9697325,-0.0022492195,0.07570454216658246,2328,0.19477431,-4.768905150553948e-06,0.93188804,0.9999996989413356
1.0,0.000763635,0.19753086419753085,-4.53120835808285e-06,159.89164193749096,365.31704682077947,-1.1783935880517253,0.17071330162143622,200,0.37912503,-2.257421049194008e-16,1.843362562676065,-114.1,-51.72292702189254,-23.910004011631315,-0.596335300491161,-0.4937552781716913,2.3179858,2.568484688787313,-1.9331139,-0.00079098815,0.07127212304676112,2282,0.24007764,-3.0893963050004913e-06,0.93366873,0.9999997081129476
