ExplainedVarOld,_MeanReward,PolicyEntropy,_std_act,_max_discrew,_max_adv,_mean_adv,PolicyLoss,_min_discrew,ExplainedVarNew,_Episode,_min_obs,_min_adv,Steps,ValFuncLoss,KL,_max_act,_lr_multiplier,_std_adv,_std_discrew,_mean_obs,_min_act,_max_obs,Beta,_mean_discrew,_std_obs,_mean_act
-0.9628953930859394,-157.8,0.91504997,0.39740652,-0.0050000000000000044,2.3040401131444193,-3.242020087118328e-16,-0.0017214462,-0.6385190696328236,0.8286590794693106,20,-3.2030775143531436,-1.886107076881007,3156,0.0047109515270425855,0.001653577,1.9575812,1.0,0.9999919125847357,0.027485514699676628,0.7044336828322522,-2.303911,13.131470749427985,1.0,-0.3182419791665285,3.6665387838206116,-0.16666968
-0.38934891634950675,-59.6,0.9187706,0.38566816,-0.0050000000000000044,1.27437524139324,-3.2504242258010075e-17,-0.0021630323,-0.6166519275673389,0.31386608823112927,40,-0.7113984773987155,-4.66677910722104,1093,0.009213689448309874,0.0024280467,2.473706,1.0,0.9999874987129365,0.013428115622375418,0.052276067577148505,-2.0917683,0.7603646120975083,1.0,-0.1490922135854187,0.04087068517758791,0.2659051
0.6430369593403489,-57.25,0.9231448,0.38083005,-0.0050000000000000044,2.335192141755922,-3.257947041694782e-17,-0.0007624189,-0.27078752962953856,0.920754310612915,60,-0.6579047540236409,-1.7993314065650141,1145,0.00042935785595041553,0.00088533043,2.1297598,1.0,0.9999589304090718,0.005194784842981256,0.010166846736079685,-1.808958,0.5875261764720893,0.6666666666666666,-0.13304578957108382,0.0364135121988536,0.16171116
0.9095439875854815,-56.4,0.9251537,0.38420156,-0.0050000000000000044,2.4378213387375682,-4.0944395234402934e-17,-0.00025681395,-0.2780614240214839,0.9560936049425125,80,-0.6274101426617154,-3.058017445850033,1128,0.0002378836184643413,0.0005567886,1.9791771,1.0,0.9999055897749355,0.005082411837210848,0.009577697469272976,-1.8944626,0.5880156928064539,0.4444444444444444,-0.13136216009991744,0.034942958147821356,0.17344503
0.1994673893555149,-68.0,0.92678773,0.4127892,-0.0050000000000000044,0.9464403461805967,-5.5033430480558535e-17,-0.002843007,-0.6147255553440591,0.20278492099845014,100,-0.6096100516486744,-5.6467847910784466,1162,0.01601589506927884,0.008981252,2.4506965,1.0,0.999977015175899,0.019628463437458946,0.003248485076570446,-1.8373326,0.5887331211478208,0.6666666666666666,-0.17468624677719488,0.03451758549378193,0.13100673
0.844648590594915,-61.2,0.93057525,0.38664284,-0.0050000000000000044,2.5748084599446197,-1.161017542091667e-17,-0.0028639445,-0.3133569068128001,0.8831087094337581,120,-0.5985658765859888,-2.4983489287915273,1224,0.0008572665677402052,0.0072987727,2.3597777,1.0,0.9999323167888344,0.006084807863473587,-0.002825900832006435,-2.4952524,0.5918656190748859,1.0,-0.14216664787452116,0.03437269009983815,0.13262022
0.9068222917210164,-57.5,0.93239903,0.38044462,-0.0050000000000000044,1.9079202243786928,0.0,-0.0022849129,-0.30990643900783926,0.9586816739605832,140,-0.5902717171669067,-3.5752602985927946,1150,0.00023664648370903975,0.004061621,1.9148667,1.0,0.9998957298009323,0.005446529524418207,0.006188999527337148,-1.5986624,0.5934741179337925,1.0,-0.13437006834915777,0.034693306360045806,0.19444749
0.9647502816959063,-55.75,0.93281555,0.38408712,-0.0050000000000000044,1.9663602880232849,2.5490322359106733e-17,-0.006699269,-0.26344034709177905,0.9861109022500264,160,-0.5837909695025127,-2.6128459453435653,1115,7.312440871098353e-05,0.008167743,2.7074537,1.0,0.99982385341435,0.0049676394155365065,0.01128438278719872,-1.4764794,0.5951277550937129,1.5,-0.12995763491924842,0.0339364009118567,0.21719602
0.10680620891999215,-73.9,0.93399584,0.399362,-0.0050000000000000044,0.6116950706227842,5.25355072650721e-17,-0.0010408764,-0.6166519275673389,0.12953754859633648,180,-0.578506158263095,-3.8237257127586854,1082,0.02958931927606999,0.0008031277,2.3807669,1.0,0.9999831675588198,0.0325234989585564,0.01316621076395091,-1.6802583,0.5924603568925171,1.0,-0.20961078346948858,0.03358466201870804,0.31383133
0.9828404444412958,-53.5,0.9365107,0.36163667,-0.0050000000000000044,1.5413588159709546,9.296820841720938e-17,-0.00029043248,-0.24852315647914122,0.9792332889414863,200,-0.5745624839340547,-2.8354555535912387,1070,0.0015223059563306389,0.000120941615,2.2909193,1.0,0.9998234964406125,0.004599691666308742,0.016509880459812925,-2.2422636,0.5935425727687572,0.6666666666666666,-0.12514219657952697,0.03288616211875127,0.29211357
