_min_obs,Beta,_std_obs,_MeanReward,_min_discrew,ValFuncLoss,_max_obs,_mean_discrew,KL,_mean_act,_mean_adv,_min_adv,_mean_obs,PolicyEntropy,_Episode,_min_act,_max_adv,_std_act,_max_discrew,PolicyLoss,_lr_multiplier,Steps,_max_act,_std_adv,ExplainedVarNew,_std_discrew,ExplainedVarOld
-4.5200999851821795,0.6666666666666666,2.5864710540626117,-351.85,-0.8993135609525267,0.0007835892945754044,7.952766752772912,-0.5320857464702946,0.0011533542,0.5420061,-7.068067571864007e-17,-1.7063325668700082,1.1262340616981963,0.92284924,20,-2.6840496,6.272859231198302,0.9329608,-0.0050000000000000044,-0.0013564184,1.0,7037,3.2821264,0.9999750182608953,0.9856798294662954,0.05463146581321763,-0.39774353003900553
-0.6146503714495972,0.4444444444444444,0.15127368216609274,-433.6,-0.8941379806372521,0.0002509026946002216,1.5836705041998396,-0.5933313594121226,0.0012816681,0.2001046,-1.966446685682934e-17,-3.76115886086002,0.19699240581125269,0.9274013,40,-2.949563,3.20916579400725,0.73589325,-0.0050000000000000044,-0.000874436,1.0,8672,2.939948,0.9999872798856064,0.9958820328374928,0.06054285055432963,-0.15215553953711614
-0.6438864050783558,0.4444444444444444,0.1413089435325051,-771.2,-10.000000000000009,0.21644277740415993,1.379064493362467,-0.8722806817871243,0.002170401,0.084270045,2.411940972135696e-17,-12.55332024739609,0.151309047219538,0.93268496,60,-2.876265,0.29516127902790135,0.683689,-0.0050000000000000044,-0.001562302,1.0,9427,2.8828454,0.9999972815798789,0.8733428412368236,1.6855980827671593,0.07100670772663453
-0.49904725057357663,0.4444444444444444,0.11876063628024953,-627.35,-0.969460339908161,0.03239224797938623,1.168360147491437,-0.696623871613188,0.0050601717,-0.0053170836,4.530439058006537e-18,-4.07845997065901,0.14622853248335344,0.9326136,80,-2.6994348,18.27474578024383,0.6421231,-0.0050000000000000044,-0.0049265623,1.0,12547,3.2364764,0.9999933747420857,0.5126558952669233,0.06586128234220887,-1.5174206153024614
-0.47119037067105374,0.2962962962962963,0.10734029760138242,-719.3,-0.9791350025630057,0.00032562124300146867,1.051916550607918,-0.7309546876422025,0.0003464215,-0.100376554,-9.878252964828307e-18,-0.6603450193092981,0.13460375317315876,0.9286792,100,-2.782566,40.054066575447614,0.6114788,-0.0050000000000000044,-0.00010848744,1.0,14386,2.637706,0.9999716812099649,0.9959149025978151,0.06548964161167115,0.8862909698092938
-0.47418382757968636,0.4444444444444444,0.10493566248385458,-795.85,-0.9907368773059368,0.00041005684713083944,1.012751216544032,-0.7547047114969831,0.013531559,-0.15379909,-2.4998676385352524e-17,-4.420862466906076,0.13740700399729536,0.9285884,120,-2.8972342,21.210332547165756,0.57829505,-0.0050000000000000044,-0.0050731534,1.0,15917,2.6491387,0.9998478780783995,0.9943892172110956,0.06449335427597258,0.9928931041248956
-0.47877005790452015,0.6666666666666666,0.09390051223064153,-813.15,-0.9893944245887905,0.000395551074709028,0.9060000000000007,-0.7595268350401606,0.012650229,-0.14898051,-2.6214452527581632e-18,-3.330169715329599,0.12170491930622772,0.92922133,140,-2.6409395,32.137144295916194,0.563284,-0.0050000000000000044,-0.0017865046,1.0,16263,2.536736,0.9998954945600238,0.9943656033311628,0.06419110323562016,0.9890566674000197
-0.4923962139729531,0.6666666666666666,0.08671726643205148,-753.25,-0.9834316198722112,0.0005065118026164235,0.9063928145298289,-0.7420002478257369,0.0058475113,-0.13128507,2.546917207503844e-17,-3.2339359274115145,0.0999590894758451,0.93187463,160,-3.001069,14.871415826249088,0.5781543,-0.0050000000000000044,-0.0054842755,1.0,15065,2.464239,0.9998980216104969,0.9927210366902863,0.06512386138483024,0.986672274086207
-0.509559833338292,1.0,0.08438187906473195,-720.45,-0.9776181899700059,0.0002460800082125639,0.9194024991050831,-0.73132208042564,0.0064212107,-0.16031669,-2.5642461142012082e-17,-4.4156611460612565,0.08880079049321267,0.9345243,180,-2.7296817,15.085583650634382,0.5760942,-0.0050000000000000044,-0.0048207156,1.0,14409,2.768367,0.999891584093184,0.9962669511175491,0.06546946405715319,0.9883873152484396
-0.5247663674295513,1.0,0.0813365895185282,-677.5,-0.9734594169142534,0.0002131414118972262,0.9255375847045264,-0.7161919788142511,0.0028597177,-0.20270233,6.292629394185389e-18,-5.310839876247893,0.07805549298135202,0.9362482,200,-3.2434416,14.409197463108708,0.5651453,-0.0050000000000000044,-0.0022893948,1.0,13550,2.5328248,0.9998801405062706,0.9968899853520895,0.06577878035258988,0.9903924047556097
