_min_obs,_mean_act,Steps,KL,_max_discrew,_mean_obs,_lr_multiplier,_max_obs,_std_obs,_mean_discrew,_min_adv,_std_discrew,PolicyLoss,_min_act,PolicyEntropy,_mean_adv,ExplainedVarNew,_max_act,_max_adv,Beta,_Episode,_min_discrew,ExplainedVarOld,_std_act,_MeanReward,ValFuncLoss,_std_adv
-0.5999806073581774,0.45840922,1127,0.0015373823,-7.5629122333341865,2.1374109070211107,1.0,9.906283668776268,0.11973874856338043,-8.855521222078567,-2.0988142488411823,0.42042547680739906,-0.0011922148,-1.3572733,0.92237115,1.0954463206594269e-16,-1.913276555964849e-05,2.1926289,1.5339534690755334,1.0,20,-10.000000000000009,-0.034507462957079404,0.3635214,-2055.35,40.05534474432006,0.9999991276345269
-0.5911276318878281,0.38109535,1136,0.0013646309,-7.5629122333341865,0.46423035138055313,1.0,2.9510674821125744,0.013263516986921839,-8.848180721711268,-2.1072944506292326,0.42362237808311254,-0.00094033615,-1.4733044,0.9261421,-2.7208282575320736e-16,0.001671062172902471,2.4690547,1.5138443228725704,0.6666666666666666,40,-10.000000000000009,0.005712048806740144,0.39403662,-2055.8,31.577625753859863,0.9999988268581843
-0.5826731019003263,0.35371298,1152,0.00034034485,-7.2420523104818875,0.2795960537699717,1.0,2.153676510190838,0.007887079476936005,-8.829079206074958,-2.1073183777461666,0.44397813517682416,-0.0004418098,-1.7290949,0.92203814,-1.4802973661668753e-16,0.000900049635324307,2.9168696,1.6837164011374894,0.4444444444444444,60,-10.000000000000009,0.002778001092896276,0.34952655,-2056.6,24.7954573980619,0.9999987464304753
-0.574630785813303,0.35063154,1172,0.0010912158,-7.304944128160287,0.18961874987696525,1.0,1.7758163983563855,0.006844319698347234,-8.809834662630346,-2.114554712138716,0.45786113140151424,-0.0011939311,-1.3943446,0.91864765,2.5008436732170764e-16,0.0005719010702198712,2.3743324,1.6123236884541898,0.2962962962962963,80,-10.000000000000009,0.0015136225234081424,0.37911192,-2057.6,19.32883428643359,0.9999986620995877
-0.5668729950897708,0.3445061,1187,0.00015811787,-7.368469612545428,0.14106503945717075,1.0,1.5467716187987857,0.005493210821080308,-8.797550231084518,-2.122656363970281,0.46339740852807504,-0.0001224881,-1.594964,0.92113197,4.040575793075549e-17,0.00026559946692372716,2.2304392,1.5530779735753208,0.19753086419753085,100,-10.000000000000009,0.000583011211695017,0.35486487,-2058.35,14.963433697777276,0.9999985687177669
-0.5594784680372664,0.26957905,1213,0.0044359127,-7.17978783868483,0.1046770386831309,1.0,1.3864548009043542,0.00506446315307462,-8.767884469074685,-2.1264365317797473,0.4938178046392051,-0.0027157464,-1.6899338,0.9281284,-1.7280305609994193e-16,0.0001514678738500086,2.352109,1.6088506953272301,0.19753086419753085,120,-10.000000000000009,0.00031489527921091387,0.36211938,-2059.65,11.380976847133557,0.9999984861625033
-0.5523691636665732,0.32810766,1199,0.003942516,-7.118144454993949,0.08104120486053648,1.0,1.2674833036200657,0.00447996150639171,-8.781101802464166,-2.120412994750758,0.4848425150846603,-0.0017652605,-1.5994793,0.9278913,-2.222297964220497e-16,0.00010121891940340078,2.1589262,1.664597600896369,0.19753086419753085,140,-10.000000000000009,0.0002087731788176228,0.35488844,-2058.95,8.755050920951593,0.9999983721009837
-0.5456326265874905,0.30291265,1234,0.0045640594,-7.273419407519485,0.06241500848050883,1.0,1.1753488291677565,0.004469200594121931,-8.751964390777129,-2.139801453443538,0.4995744813195203,-0.0006040201,-1.8343334,0.92904,4.030631402204782e-17,3.9349264018384567e-05,2.2068758,1.531993884975358,0.19753086419753085,160,-10.000000000000009,9.68572444125515e-05,0.37002945,-2060.7,6.502961452547407,0.9999982733305997
-0.5391150809574754,0.3298993,1201,0.001793297,-7.026830384235107,0.04930319756798924,1.0,1.0996218075741808,0.004041740124425831,-8.767512425549466,-2.106123601732676,0.513963428029359,-0.00038305006,-1.6116812,0.93363774,-1.1240892572391261e-16,1.8593608045236465e-05,2.4339635,1.6807002227993248,0.19753086419753085,180,-10.000000000000009,5.173080970810595e-05,0.38936645,-2059.05,4.958769853305587,0.9999981659712222
-0.5330264704200905,0.27050194,1297,0.0011314721,-6.534537593821562,0.03595750059553065,1.0,1.0379293635785674,0.004701267692794782,-8.6774193228062,-2.1480596080896164,0.5891288470389109,-0.00074003835,-2.0798864,0.9348491,-1.15045469938027e-16,-3.24791343198072e-06,2.1682441,1.7367841878038544,0.1316872427983539,200,-10.000000000000009,2.0241896767969614e-05,0.38909626,-2063.85,3.2475189377674116,0.9999981001813656
