_std_adv,_max_act,_mean_obs,_lr_multiplier,_max_obs,_mean_adv,_mean_act,_std_act,_mean_discrew,_max_discrew,_min_act,_std_discrew,_min_obs,ExplainedVarOld,_min_adv,_std_obs,PolicyLoss,_max_adv,ExplainedVarNew,Steps,PolicyEntropy,ValFuncLoss,_min_discrew,Beta,_MeanReward,_Episode,KL
0.9999993863926124,2.2391088,0.6775869325531428,1.0,5.937000000000317,-1.01567586698597e-15,-0.29082265,0.37494224,-2735.460501440816,-1.0,-3.7343812,2530675.4968476244,-0.6442662974324487,0.0006171678919434376,-0.5184455751792046,0.6969285315174678,-0.00028590817,14.68718390248277,1.1986911463424121e-10,108966,0.9226451,9632524.57173505,-5938.0,0.6666666666666666,-5448.3,20,0.00028900284
0.9999997638132923,2.43553,0.6068507627594896,1.0,5.5420000000001854,-1.8065109894109592e-15,-0.27346602,0.3733057,-2480.074147686941,-1.0,-2.9851832,2095888.2539379005,-0.7071669408511673,6.059585055950834e-10,-0.14315174061700428,0.5931336219186354,-0.00023729689,13.972678768314902,-3.638203072142687e-10,98614,0.9260324,7613452.217663821,-5543.0,0.4444444444444444,-4930.7,40,0.0003047088
0.9999998489266373,2.3832293,0.5582276491445242,1.0,5.169000000000061,3.6042529423183504e-17,-0.26294744,0.3775137,-2302.336470871186,-1.0,-2.8060932,1810438.0903665507,-0.7152669922443671,-2.8989943778867655e-10,-0.14874465871476403,0.5230060329035582,-0.0001770445,13.45727177014179,-4.995936997431727e-11,91473,0.9289266,6287322.3571085725,-5170.0,0.2962962962962963,-4573.65,60,0.00032817165
0.9999998905209296,2.2291906,0.49253845028335386,1.0,4.59699999999987,6.664510949594618e-17,-0.24534085,0.377663,-2056.153515467569,-1.0,-2.9595697,1432372.346775327,-0.7135824080522853,-6.394751395077947e-11,-0.1574195857413012,0.4271510234565959,-0.0004220317,12.73218604858696,-1.0176481879398125e-10,81881,0.93438375,4746813.095760508,-4598.0,0.19753086419753085,-4094.05,80,0.0011222549
0.9999999106074894,2.5269547,0.4656569182929928,1.0,4.6469999999998866,-6.919162782188731e-17,-0.2470142,0.38043696,-2011.1968276675577,-1.0,-2.9691963,1392093.5125771188,-0.7132285526644063,-9.701084380253633e-11,-0.15962489420776396,0.4164314018061408,-0.0022798148,12.560616089068647,-4.655165142253281e-12,79689,0.9392494,4376460.858513411,-4648.0,0.19753086419753085,-3984.45,100,0.005759749
0.9999999306864991,2.3353927,0.3422655881350697,1.0,3.7469999999996983,9.693833817618475e-17,-0.23971245,0.38636765,-1636.5724008665059,-1.0,-3.0402489,911679.217549216,-0.7038685835386082,-1.0500711411509656e-11,-0.17712894001447818,0.30283065806364123,-0.001318345,11.35194886054352,-1.4672707493446069e-12,65089,0.9447478,2639265.1446266444,-3748.0,0.19753086419753085,-3254.45,120,0.0057596867
0.9999999450522065,2.3119993,0.23033970276478563,1.0,3.8107138576823556,-1.1038431911305009e-16,-0.2339447,0.39282462,-1273.5396504577338,-1.0,-3.0760229,559526.7524107207,-0.6798487476777738,3.997757680451741e-11,-0.2020804986687128,0.2318171966019006,-0.00092059514,9.99611394714672,0.06859779226371021,50466,0.9474553,1408536.5363249872,-2950.0,0.19753086419753085,-2523.3,140,0.0044419095
0.9999999305144696,2.4766142,0.15065127412498283,1.0,6.062657474792138,5.904944558430367e-17,-0.22693568,0.40328908,-953.4926351117385,-1.0,-2.737979,320051.3794239568,-0.6528510664279833,0.09213329850217511,-1.208155576354619,0.21699864419664036,-0.0045255967,8.006389120468425,0.11898080384040977,37543,0.9502851,655463.8926033612,-2272.0,0.2962962962962963,-1877.15,160,0.008161005
0.9999999452104004,2.0662737,0.0933937587351695,1.0,7.296765129736016,1.5770533775922473e-16,-0.27463043,0.40610546,-808.0582149910656,-1.0,-2.9038837,227022.36079171012,-0.632378628175246,0.07919969840867358,-0.3579219452369968,0.30008801733261564,-0.002604296,6.6384681554625375,0.12762995961132706,31899,0.9524875,400460.44059125386,-1851.0,0.4444444444444444,-1594.95,180,0.0070022526
0.9999999590001591,2.4052215,0.051459850878102266,1.0,6.116078833812552,2.1396854603419004e-17,-0.27966127,0.42512974,-564.7498235543218,-1.0,-2.6215067,124334.93995256379,-0.6067898301589149,0.11732581410870668,-0.41556770223830775,0.4156343182827613,-0.0020414235,5.635207795542813,0.24450432573461534,21253,0.9514667,140614.12224193045,-1446.0,0.4444444444444444,-1062.65,200,0.005365292
0.9999999654957187,2.2649674,0.10523503350309069,1.0,5.052863196325114,1.614564065351487e-17,-0.1988328,0.4512076,-390.7447453133876,-1.0,-2.3525717,77791.31185697451,-0.5898730101138817,0.3389198246389009,-0.681296140904664,0.6178339553623816,-0.007131318,4.799231450834667,0.4497314992162673,10562,0.9526207,50074.199764070545,-1097.0,0.6666666666666666,-528.1,220,0.012229876
0.9999999728076411,2.8246057,0.3094731042798802,1.0,4.258691828603654,-1.310964457121956e-17,0.03572504,0.5031343,-205.19833948339485,-1.0,-2.2413406,38687.37855812829,-0.5828026776618781,0.5260136051652795,-2.2792281444444265,0.8385510898988093,-0.003340469,3.630845090971735,0.6400024204455814,4336,0.9545572,14188.005537123145,-766.0,1.0,-216.8,240,0.012152139
0.9999999743846216,2.3616753,0.581120871735462,1.0,3.6617695098629293,-1.2999598049851165e-16,0.38791355,0.42850426,-60.36805854498493,-1.0,-1.6097064,1378.7879078536537,-0.5805560944058951,-7.503707053174505,-0.604998785430776,0.35908210064510143,-0.007123151,2.956084900486188,-1.4560370872817714,2323,0.9645842,3916.132509657344,-183.0,1.5,-116.15,260,0.0095797
0.9999999370082776,2.659836,0.5570424798481581,1.0,3.2309226722301494,-4.628942903974594e-17,0.42164773,0.4181758,-54.384364820846905,-1.0,-1.8595624,980.1705512601118,-0.579948726899683,-0.3799254755207575,-0.6120956867896437,0.18775574654655433,-0.0014249041,7.234301119889796,0.9886132862627662,2149,0.9680686,12.128668297957129,-127.0,1.0,-107.45,280,0.00087861274
0.9999998889275552,2.6125097,0.4966193663355376,1.0,2.921750407856088,-2.6587193106084198e-17,0.4091764,0.4233275,-69.47427502338634,-1.0,-2.074973,2315.903220358413,-0.5795453027301438,0.4432095143806528,-5.0523646162148745,0.1612010599969916,-0.0004643142,1.2985319736056928,0.4456064535824902,2138,0.96568483,1324.5032602080892,-217.0,0.6666666666666666,-121.75,300,0.0002332758
0.9999992261796181,2.6277127,0.47060604366920084,1.0,2.6872697890120785,1.0302697956888837e-16,0.46165967,0.40916404,-52.263412276462056,-1.0,-1.4865394,895.7194008261614,-0.5791475685012838,0.9899951343961493,-4.473804579620905,0.12306269453236779,-0.014547208,4.31398845821307,0.9875016380632924,2069,0.9656581,38.788642059959464,-108.0,1.0,-103.45,320,0.009086199
0.9999998908011823,2.6973352,0.4573489965839506,1.0,2.4990647897694176,2.867982788133603e-17,0.52313083,0.3990056,-64.50151362260343,-1.0,-1.7686191,2000.6435395858384,-0.578818945499728,0.3859928837845198,-4.7990416095663315,0.09382127733285711,-0.00020193466,1.2822143066767828,0.3951800611511086,1982,0.9692348,1249.6353995522388,-197.0,0.6666666666666666,-113.95,340,0.0008477653
0.9999998840385333,2.5650918,0.4276207415032896,1.0,2.3423954588640092,-3.6400754905742835e-17,0.5594727,0.4094329,-63.15727459016394,-1.0,-1.5649232,1878.5290556868952,-0.5785746055480951,0.42948712786912346,-4.994366296948129,0.08296358188450055,-0.0026327483,0.9525723776148852,0.432585185616277,1952,0.9692365,1066.7371558574425,-193.0,0.6666666666666666,-112.45,360,0.0019951274
0.9999998600197748,2.4686642,0.3956841895323889,1.0,2.2121966241951725,0.0,0.50085574,0.4094496,-58.96236012207528,-1.0,-1.4753051,1582.8042800859785,-0.5783532180790885,0.5228044117256605,-6.080633568660162,0.07950189176696057,-0.0011933977,0.788429098026979,0.5221715210600804,1966,0.97190404,760.2124162076457,-194.0,0.6666666666666666,-108.2,380,0.0017926085
0.9999998861567913,2.5325842,0.36814519415376906,1.0,2.101993869768018,-1.4376180794336878e-17,0.48465556,0.41872594,-64.25442589782499,-1.0,-1.6864892,1973.3500373158288,-0.578125377723221,0.41646267436773876,-5.1546211505772375,0.07678186857141421,-0.0027403755,0.6259647072807081,0.4186706348765896,1977,0.9781982,1155.50286879369,-196.0,0.6666666666666666,-113.7,400,0.0018058771
0.9999998651129555,3.0671864,0.3475824874592106,1.0,2.0072868116328175,-2.1499023774889567e-17,0.5284252,0.4033626,-59.78164397377711,-1.0,-1.5105313,1665.1913524158576,-0.5778908084331922,0.49286425608912965,-6.218242066905414,0.07358108056188778,-0.0004538998,0.563635988363871,0.4936584101532039,1983,0.9807043,850.8767151576553,-197.0,0.4444444444444444,-109.05,420,0.0004230637
