_std_adv,_max_adv,_mean_obs,_std_discrew,_std_obs,_std_act,_mean_discrew,_Episode,_max_act,KL,ExplainedVarOld,_MeanReward,_lr_multiplier,_max_obs,PolicyLoss,PolicyEntropy,_mean_act,ExplainedVarNew,Beta,_min_adv,ValFuncLoss,_min_act,_mean_adv,_min_discrew,_min_obs,Steps,_max_discrew
0.9999998016936849,4.403873442890676,3.3265022966398776,185497.43423244974,67.53638627998701,0.38114092,-459.6374739039666,20,2.2233355,0.00054620765,0.00039635227704348797,-479.0,1.0,77.27420126889996,-0.0014465647,0.92056096,-0.13864273,3.853953364862939e-05,0.6666666666666666,-0.5339457758024578,388977.1115064986,-2.5995145,-2.1360783705522844e-16,-1893.0,-11.93527256949947,9580,-1.0
0.9999998090000611,2.7633673341218876,0.00800312122969217,4187.063522422589,0.04451857908275901,0.3690532,-106.02447381302007,40,2.1109154,0.0027428775,0.14277635849614456,-204.3,1.0,0.9700347096535809,-0.0009864822,0.92478037,-0.0035734475,0.0030701662453539447,0.6666666666666666,-1.268402143898948,13323.671293351803,-2.3439803,-4.512624569988888e-16,-278.0,-0.6298381759235329,4086,-1.0
0.9999998698756477,2.7377139458831525,0.02781310940527611,2652.567663184626,0.042320780745892204,0.3906334,-85.85774183887392,60,2.1704144,0.0015838131,0.005003290310795383,-166.95,1.0,0.8542087281785905,-0.0008056443,0.9242618,0.036951184,0.005721438039279048,0.6666666666666666,-1.0576063207670034,8259.040096371178,-2.349156,2.1280105892785272e-17,-211.0,-0.5613899165589773,3339,-1.0
0.9999998710255384,2.6364114068300073,0.032695659373798036,2249.6127167922295,0.04206607778027369,0.37048686,-78.583142013775,80,2.2095337,0.008628414,0.006177622905479296,-152.45,1.0,0.7618718512972443,-0.004462041,0.9292534,0.08222167,0.0178468566389981,1.0,-1.1503969141614374,6769.709288972257,-1.9101361,1.3516391824888754e-16,-213.0,-0.5383970272207704,3049,-1.0
0.9999998708494173,2.8535867483306454,0.002731176199346404,4810.96902714324,0.060459254859590875,0.3955241,-101.3360655737705,100,2.3029804,0.002007824,0.008582243800486444,-183.0,1.0,0.6953486689982251,-0.0012821441,0.9330245,0.08068716,0.00948671660676026,1.0,-1.0174577935231301,12807.334869628494,-2.0916476,7.765494379891805e-17,-335.0,-2.6893770593919295,3660,-1.0
0.9999998681372209,2.45477405203821,0.024128871330030284,1945.0674063215772,0.061751778026409763,0.39466512,-73.6815486571329,120,2.569976,0.0008605801,0.030324865067033357,-143.35,1.0,0.692691487155731,-0.0007433038,0.93630713,0.16041613,0.036036536569940436,0.6666666666666666,-1.248838612598882,5699.407583109067,-1.7853208,-1.251566381440009e-16,-205.0,-2.7791120477293427,2867,-1.0
0.9999998710701692,2.5360726457551275,0.01109786872896286,2594.813814695215,0.047984599370306275,0.42539513,-81.64908330652943,140,2.1624146,3.3140775e-05,0.021762699431901567,-155.45,1.0,0.6931306357314738,-0.00031116026,0.9378277,0.14245038,0.023843161333368168,0.4444444444444444,-1.164644482302034,7322.390569063599,-2.2513955,-4.456604486111918e-17,-228.0,-0.49673719763123864,3109,-1.0
0.9999998717110338,2.5324480833749785,0.017023991985742677,2588.326519505585,0.04722773077489144,0.43844202,-80.82991869918699,160,2.635034,0.005148868,0.023113016809816478,-153.75,1.0,0.6975910454142921,-0.0021087658,0.94212866,0.14930585,0.02912548339218768,0.4444444444444444,-1.1894169293328616,7129.921938485559,-2.434819,9.242832335090734e-18,-241.0,-0.4865251681653403,3075,-1.0
0.9999998723362491,2.601192529450287,0.012812227028806208,3243.8049851090936,0.04747152897780858,0.4349179,-84.9135410044501,180,2.7928607,0.001029845,0.023631241419310056,-157.3,1.0,0.6998850997745876,-0.00041342803,0.94266117,0.1704428,0.025688944991783424,0.2962962962962963,-1.1853009983110008,8267.59214927501,-2.269023,-2.303730421091234e-16,-287.0,-0.47861886694644434,3146,-1.0
0.99999987145298,3.1999875023225424,-0.04627890604517432,10216.458386492532,0.1272525461485976,0.46378788,-143.08532072368422,200,2.704576,0.0035916264,0.00537700950054254,-243.2,1.0,0.7038619022284142,-0.0010053174,0.94198537,0.024171537,0.010207627781439355,0.2962962962962963,-0.8094141591254805,26481.000879092073,-2.1139107,-9.349246523159212e-17,-439.0,-3.2017582824673427,4864,-1.0
