Beta,_std_act,_mean_act,_Episode,PolicyEntropy,_lr_multiplier,Steps,PolicyLoss,_mean_discrew,_max_discrew,_max_act,_max_obs,_max_adv,_std_discrew,_mean_obs,_min_act,_min_obs,_mean_adv,_std_adv,ExplainedVarOld,ExplainedVarNew,_min_discrew,_MeanReward,ValFuncLoss,KL,_std_obs,_min_adv
1.0,0.39546663,0.12782243,20,0.92282003,1.0,1095,-0.0067153526,-42.704109589041096,-1.0,2.3443928,0.5734661401988079,1.2048141270260218,1496.6412159879903,-0.015522774969318564,-2.0033636,-2.471517653058327,5.191179804640001e-17,0.9999999152837719,-0.0018687148084712835,0.011317908759484352,-154.0,-69.6,3109.7537618542424,0.0024958346,0.08564170369386247,-2.9831152410711463
0.6666666666666666,0.37113482,0.1122028,40,0.9223263,1.0,1107,-0.0019519775,-28.17976513098464,-1.0,2.2616303,0.5715517465387012,2.1266926023959685,255.48258964673357,0.012840014367598391,-1.6146488,-1.609595735415763,2.7279192655649735e-16,0.9999997893246444,0.061366769598185655,0.007136263135147924,-57.0,-55.35,857.5871703374612,0.0009824276,0.05832516214818532,-1.5129918018510258
0.6666666666666666,0.42475468,0.09373282,60,0.9203773,1.0,1118,-0.0015509012,-33.871198568872984,-1.0,1.8768694,0.6147074878545352,1.4228156364308195,794.3698144847207,-0.008727004258543366,-2.1131885,-4.880518103916081,-1.7795345797211812e-16,0.999999880883354,0.002329274893447586,0.00119945356642992,-160.0,-60.85,1667.8018082837252,0.0017735681,0.1188094040770706,-4.470117218978464
1.0,0.38019657,0.101904206,80,0.92564464,1.0,1115,-0.006819416,-28.382959641255606,-1.0,2.2208123,0.8465006596873434,2.0205012332916628,259.3717275633936,0.020633670107980635,-1.7439113,-1.7690341469319244,-2.1188830461007472e-16,0.9999998070279943,0.004182595210694973,0.00301772962748148,-58.0,-55.75,808.258214943193,0.00949081,0.05752383611408086,-1.4891686956368568
1.0,0.37990484,0.08277322,100,0.9304281,1.0,1117,-0.0021219323,-33.754700089525514,-1.0,2.124434,0.7910147293446723,1.4410326527762722,780.6631941132765,0.02601664838880495,-2.1150126,-3.8168620167474825,6.361170418622204e-17,0.9999998817216239,0.001277370448488413,0.0010148119840861503,-159.0,-60.8,1574.6383320700238,0.0036078384,0.08650964101892072,-4.411462781784624
1.0,0.42539236,0.099563725,120,0.93017435,1.0,1109,-0.010607509,-33.501352569882776,-1.0,1.7888069,0.5727708280304199,1.4437967497451045,768.9605482156403,0.02443391591599405,-2.2609828,-3.7395993010392186,6.407058032101895e-17,0.9999998821288631,0.0009968845956453976,0.0008135073101241952,-158.0,-60.4,1512.734431398303,0.0037145908,0.07762345684913015,-4.3886354886817704
0.6666666666666666,0.38024473,0.14516373,140,0.92753327,1.0,1106,-0.000868657,-33.0750452079566,-1.0,2.172955,0.5843167838143501,1.4588751300905767,716.5214929907229,0.0416532620872233,-1.910981,-3.61860858331261,2.5697748128755883e-17,0.9999998813831299,0.0007006829603115605,0.0007971272362999882,-154.0,-60.25,1403.3327486513074,0.0012937797,0.06448848849742944,-4.414364954277175
1.0,0.41056824,0.11901152,160,0.92755437,1.0,1113,-0.003986199,-28.328840970350406,-1.0,2.2287865,0.5748503721169792,2.020682579429674,258.2081259702173,0.03317231890295291,-2.1459963,-1.0427218251175276,-4.149620649093128e-17,0.9999998159845678,0.0019337074676972765,0.0018768838256381093,-57.0,-55.65,694.0250884330723,0.008694602,0.04829555956655378,-1.4587716671895303
0.6666666666666666,0.4027681,0.13560627,180,0.93010795,1.0,1121,-0.0009480091,-33.834968777876895,-1.0,2.1160889,0.761602800098056,1.478198731791535,779.6774926172233,0.023809536562635996,-1.7943652,-3.860686642239194,1.2676944438181984e-17,0.9999998836241278,0.0008780920400646153,0.0010378823752160704,-159.0,-61.0,1445.6136514903772,0.0012177215,0.10024295240584608,-4.280603135466406
0.6666666666666666,0.38341302,0.15779471,200,0.9335987,1.0,1116,-0.0076493667,-33.37007168458781,-1.0,2.2238722,1.0117075960657784,1.4908727647090492,727.6148390629616,0.04228103768205363,-1.7489823,-3.8473736831063077,1.0186992627384949e-16,0.9999998828860807,0.0010689792258222752,0.0020992230972074477,-155.0,-60.75,1339.1027131251624,0.0053259283,0.08166860537392434,-4.305358776069212
0.6666666666666666,0.41397798,0.11968179,220,0.9336721,1.0,1123,-0.0034393668,-39.08192341941229,-1.0,2.3507462,0.8444946857230865,1.3617860357198397,1227.3183108151507,0.016552046560883195,-1.6598847,-3.8401324498776703,-2.5308735022621555e-17,0.9999999059100786,0.0012540783872478922,0.03064960328492672,-160.0,-66.05,2111.8119598344674,0.0031369482,0.1145057973616412,-3.2931197695385857
0.6666666666666666,0.4272936,0.108146444,240,0.936304,1.0,1121,-0.0015013011,-33.742194469223904,-1.0,2.1556227,0.5748976813049387,1.4429981602918764,766.0914310451433,0.022499076267030956,-1.8456224,-3.6445620808427694,-1.521233332581838e-16,0.9999998808082768,0.04146315752032825,0.05093959626281941,-158.0,-61.0,1326.2454024091967,0.0016722793,0.08257160334448659,-4.330201063417827
0.6666666666666666,0.44642624,0.10352895,260,0.93512535,1.0,1128,-0.0025989928,-39.434397163120565,-1.0,2.387409,0.7811089962354778,1.089998418846032,1261.3698097429708,0.009189714309678675,-1.9604123,-3.7170629822882817,-7.558965274043619e-17,0.9999999040423495,0.03705918308988376,0.041470697709089066,-162.0,-66.3,2084.991829721113,0.0020508606,0.13322817603145046,-3.315565106529955
0.6666666666666666,0.46137014,0.13426143,280,0.9320555,1.0,1129,-0.0024751655,-38.91231178033658,-1.0,2.4282186,1.5776702133786193,1.0885062638796779,1185.5432408027045,0.03064704978221319,-2.57079,-3.493028546960741,2.5174233330738714e-17,0.9999999029424174,0.04399029046916669,0.0474799568480071,-158.0,-66.35,1939.5707505754017,0.002192836,0.12222787133745194,-3.3463616916158885
1.0,0.45620573,0.09942667,300,0.93269646,1.0,1146,-0.006132786,-50.11431064572426,-1.0,2.3610897,1.15056335378698,1.0875068424989205,1980.0052576836038,0.0011663101105097403,-2.535414,-3.819995079604487,-9.920317427715186e-17,0.9999999225807049,0.035727597567546066,0.03868140215907878,-166.0,-77.1,3417.7350253725986,0.0069560157,0.19715211998033205,-2.4112076852727395
0.6666666666666666,0.4033329,0.10838928,320,0.9351585,1.0,1126,-0.0005251386,-38.678507992895206,-1.0,2.8874178,0.7919789248372996,1.0563617390315487,1163.271420864501,0.025973861407806505,-1.7765169,-3.023378973739148,7.57239150010764e-17,0.9999999026004955,0.053700651535623534,0.059778212800778774,-157.0,-66.2,1819.5286202047046,0.0006339196,0.08185457978877066,-3.3310568768011772
0.6666666666666666,0.40208453,0.07278104,340,0.93503416,1.0,1134,-0.003243402,-34.101410934744266,-1.0,1.8558812,1.0632965376166013,1.1512358818379307,776.8689045348364,0.012445312362059214,-1.9982588,-3.0080772557697317,-1.5037941497568257e-16,0.9999998799626115,0.07861239670319409,0.08808309684258653,-159.0,-61.65,1190.3348290200295,0.0024871305,0.07589819665790644,-4.252768448524592
0.6666666666666666,0.4245099,0.08367188,360,0.93423355,1.0,1122,-0.0014330465,-28.55169340463458,-1.0,2.0862792,0.5778107016673931,1.4871785116103857,262.2794133534146,0.02485179051980386,-1.9562732,-0.9826923162959258,1.8365186574904551e-16,0.9999998056953135,0.21439549450775996,0.24018141991323483,-57.0,-56.1,460.9581751215222,0.0022272724,0.04785585934552565,-1.6179058015615777
0.6666666666666666,0.39712542,0.12256774,380,0.9322851,1.0,1127,-0.002035348,-28.678793256433007,-1.0,2.081184,0.8267805615387754,1.3961401706371366,264.7415467247815,0.039236023476939975,-1.8066928,-1.091866343741151,5.3590179715712967e-17,0.9999998024254698,0.24296810816415526,0.2538047578092424,-58.0,-56.35,454.26110537790265,0.005309723,0.055603847178323104,-1.660469940855566
0.6666666666666666,0.40702558,0.08323481,400,0.9298765,1.0,1129,-0.008811504,-33.55181576616475,-1.0,2.1073895,0.5776043950021218,1.0342226793832714,712.8620184036132,0.023592355144991004,-1.8333213,-3.089485918554791,7.552269999221614e-17,0.9999998763807889,0.11281184542197031,0.11759825968053395,-154.0,-61.4,1048.7662965990862,0.0043933154,0.06574549078268764,-4.34560236496292
1.0,0.41089466,0.077745475,420,0.9303976,1.0,1130,-0.0024946597,-28.75221238938053,-1.0,2.1320004,0.5787547866978704,1.4192289650979824,266.06249510533326,0.01584321200932725,-1.8395617,-1.0284203870565558,-1.4462374267683455e-16,0.9999998014808102,0.2657236474389745,0.27508021124390936,-57.0,-56.5,429.8511355784977,0.0066356314,0.04821481085862866,-1.6405006829758393
1.0,0.4016935,0.035780165,440,0.9346771,1.0,1126,-0.0014948051,-28.653641207815276,-1.0,2.317805,0.578939256455854,1.3657283188062936,264.2619183579467,0.010539481137827508,-2.275249,-0.853013339501563,9.307731218882307e-17,0.9999998017129833,0.271637791802141,0.2904082682059774,-57.0,-56.3,413.07902082869845,0.0025131686,0.0427666599461728,-1.6503877266755953
0.6666666666666666,0.41653144,0.051127452,460,0.93832123,1.0,1128,-0.00042184483,-28.704787234042552,-1.0,1.974182,0.5782341048567111,1.3075844171737818,265.26657282707106,0.012795829671821825,-1.8609114,-0.8479648681125884,1.5747844320924207e-16,0.9999998000992966,0.28707212966900664,0.3023121482460469,-58.0,-56.4,403.9456720753747,0.0004997816,0.04637909670624177,-1.6898966587565498
1.0,0.424072,0.011235827,480,0.93788743,1.0,1143,-0.004306206,-45.04811898512686,-1.0,2.0045795,0.6314168694940583,0.953443889136061,1664.2890231459476,-0.02947104312588149,-2.7431884,-3.8079928396006313,-7.459766254699214e-17,0.999999914423932,0.07512232480623549,0.07749395652935043,-162.0,-72.0,2454.9280990820766,0.007094398,0.14523796055110372,-2.697423562447089
1.0,0.4206911,0.1013963,500,0.93585855,1.0,1133,-0.0013010352,-28.82965578111209,-1.0,2.5553238,0.6957984786492838,1.3828931782055793,267.61705522131916,0.01849435207797866,-1.9126498,-1.1725404313612564,1.52079976541769e-16,0.9999997997049712,0.3091924906853686,0.3224846598404062,-58.0,-56.65,376.9008054061883,0.0017810453,0.06018031219599625,-1.703407724344846
1.0,0.394225,0.06839472,520,0.9329797,1.0,1126,-0.0017313745,-28.655417406749557,-1.0,1.9697385,0.7337942289936248,1.5170649543943981,264.3679413444217,0.018588502318514846,-2.0533063,-1.047666934903932,1.577581562522425e-18,0.999999798716566,0.32307291573934005,0.3504331233146627,-59.0,-56.3,357.827543270482,0.0020738055,0.05022968313614168,-1.7559734048069289
1.0,0.35669327,0.058681436,540,0.9313648,1.0,1135,-0.002556873,-39.45374449339207,-1.0,2.0464187,0.5788096219378425,0.9380650031636267,1243.3809000756855,-0.019821356848458392,-1.5511966,-3.4727929934665642,0.0,0.999999901486353,0.10333205617677976,0.10541180207549117,-162.0,-66.65,1673.8958909896314,0.002162978,0.10632110281919765,-3.224383429583734
1.0,0.41802824,0.1164502,560,0.9343397,1.0,1138,-0.001975305,-34.00527240773287,-1.0,2.3688388,0.920877865146708,1.0547388036579652,749.7855609539137,0.016481997585137794,-2.0237792,-3.342198469339502,2.4975140097015822e-17,0.9999998754522139,0.1545653973184592,0.1537795983909448,-157.0,-61.85,954.7160375568204,0.0026412667,0.09186460625131515,-4.252847889275701
0.6666666666666666,0.46138728,0.079402015,580,0.93749285,1.0,1140,-0.001310107,-44.3859649122807,-1.0,2.0907652,0.8715673829401761,1.0600909829393295,1587.2755924899968,-0.005701711115221308,-2.3906837,-3.4191517622136494,-7.47939721852737e-17,0.9999999134543823,0.09355443548629838,0.10035985321765029,-158.0,-71.85,2189.168787989896,0.0012532525,0.12709722830497303,-2.68568209281812
0.6666666666666666,0.39704064,0.09920088,600,0.93794525,1.0,1152,-0.0020114137,-29.419270833333332,-1.0,2.1288142,4.576222438349371,1.601434478652143,284.29556613498266,0.042636369991080544,-1.900544,-2.6596755231398017,-7.709882115452476e-18,0.9999997977203914,0.36320013072454815,0.3769638148886181,-73.0,-57.6,336.8566877086857,0.0045535904,0.24407007916766502,-2.085642383074313
0.4444444444444444,0.43966523,0.05977635,620,0.9345224,1.0,1185,-0.0010756842,-31.27426160337553,-1.0,2.1661708,3.6263058283000067,2.1101285159534835,395.873303779665,-0.03422732802008191,-2.1236415,-4.626340657000755,5.99614123004304e-18,0.9999998157989413,0.2910164570244316,0.2948053137588943,-110.0,-59.25,477.0665208699722,0.0014706805,0.33087770959218527,-2.8268226230531366
0.6666666666666666,0.39576554,0.062454697,640,0.9353525,1.0,1133,-0.007354054,-28.830538393645188,-1.0,2.0259948,0.5752159809681238,1.4338706028083756,267.66766405258596,0.019705236667280385,-1.773259,-0.9090928421821043,2.1949687335925426e-17,0.9999997927217432,0.40583512942969346,0.42872617232705135,-59.0,-56.65,288.89598015647607,0.01280492,0.044123483570113836,-1.8252718060224327
