_std_obs,PolicyEntropy,_std_discrew,Steps,_min_adv,_mean_obs,ExplainedVarOld,_std_adv,_mean_adv,Beta,ExplainedVarNew,_std_act,_mean_act,_max_obs,_MeanReward,PolicyLoss,ValFuncLoss,_min_act,KL,_max_discrew,_min_discrew,_lr_multiplier,_Episode,_mean_discrew,_max_act,_min_obs,_max_adv
0.02896004609404952,0.93320197,1175.9286415378695,1181,-3.40026247776723,0.004450680844527226,-7.130425328694123e-05,0.9999999032712874,9.626319874819308e-17,0.4444444444444444,-5.638926503870323e-05,0.429093,0.01752294,0.4527442123403436,-68.95,-0.00026129614,2278.679446175465,-1.8000176,0.0002219572,-1.0,-159.0,1.0,220,-40.01524132091448,2.0215685,-0.6476744341691869,1.3880757073360424
0.028641603791243784,0.9321284,1800.8595053299655,1154,-2.5105149210970987,0.00689966689455454,-5.265565504775083e-05,0.9999999224834715,-6.157216081110053e-17,0.6666666666666666,-4.191139946718714e-05,0.3869153,0.01642775,0.45789477523170524,-77.5,-0.00568981,3551.1846371961074,-2.0535896,0.010674696,-1.0,-157.0,1.0,240,-48.820623916811094,1.9326222,-0.6427493751338522,1.3266128334368708
0.031964522795451894,0.9313111,1054.4978929994616,1229,-3.475964991014191,0.0015205436358985552,1.7945690498066824e-06,0.9999999006368024,1.1562941184053705e-17,1.0,1.3778148727716655e-05,0.4123055,-0.043879483,0.4620379330519617,-71.35,-0.0061436146,2144.7762421334537,-1.866122,0.009259749,-1.0,-154.0,1.0,260,-40.193653376729046,2.2525442,-0.6378932195157047,1.4425045187770802
0.03376134261061743,0.92983747,819.3031112801756,1258,-4.247802220833111,0.0008134450431091325,2.3813924173055057e-05,0.9999998820694654,-1.129638689602703e-16,1.0,3.3578069325024273e-05,0.45093152,-0.04150475,0.46568635030665645,-67.85,-0.0015466642,1709.3343836749586,-2.287176,0.0027907104,-1.0,-163.0,1.0,280,-37.18203497615262,2.1911533,-0.6348848260820318,1.590300168008323
0.03281605574987703,0.9263259,1301.3467240826708,1244,-3.3390720266397445,0.0018173676647785801,-1.0619952784285402e-05,0.9999999034661577,6.854109991254986e-17,0.6666666666666666,-6.167049198868568e-06,0.43886396,-0.032182485,0.46688906964176413,-72.1,-0.00045066522,2505.6750480536575,-2.0843377,0.00031446063,-1.0,-170.0,1.0,300,-42.231511254019296,2.2646313,-0.6328784598403974,1.440145869667863
0.033235861746953185,0.92546177,1095.46083135992,1252,-3.435586022100989,0.000665680636043657,5.054680131044709e-05,0.9999999010096069,0.0,0.4444444444444444,5.24702331939908e-05,0.4611385,-0.047775697,0.4689742096108056,-72.5,-0.00027323398,2202.3872189821354,-2.5194778,0.00053852785,-1.0,-157.0,1.0,320,-40.9944089456869,1.9719453,-0.6309516598576755,1.4647407337559215
0.031283609847826445,0.9276538,311.5951834955148,1218,-1.5278453226731357,0.004678292996217526,-8.027126620735459e-06,0.9999998273278209,1.575094734443572e-16,0.2962962962962963,4.143017712565644e-06,0.4528982,-0.027168741,0.47166305102137873,-60.9,-0.00036377212,844.8632185882279,-2.3215961,0.0007865343,-1.0,-66.0,1.0,340,-30.992610837438423,2.1052754,-0.6294384787249647,2.052665079654018
0.03356871864208707,0.9324932,318.5464347777491,1226,-1.587037282520402,0.004848146977731648,0.0001235866104772887,0.9999998286907931,-5.650727303149247e-17,0.19753086419753085,0.00013453850564837389,0.49438196,-0.021863604,0.47382045751345225,-61.3,-0.00069563265,856.2267592648107,-2.179404,0.00059731066,-1.0,-69.0,1.0,360,-31.237357259380097,2.38256,-0.6275549720441561,2.0531682489202066
0.03394819213426156,0.9320997,1164.8309331410119,1235,-3.3734341977936846,0.003544739620608936,6.892491811827384e-05,0.9999999025307511,-2.301352990316114e-17,0.2962962962962963,7.152398776766322e-05,0.49064547,-0.024099626,0.47502462034445153,-71.65,-0.0035214345,2245.1367594958783,-2.2244089,0.007661076,-1.0,-160.0,1.0,380,-41.08906882591093,2.2446,-0.6260144466025624,1.4516196285121603
0.03492849074280246,0.9331906,912.1348164000826,1227,-4.119830595588787,0.004393755037915338,0.0007950580108537775,0.9999998851721713,-8.10725207876235e-17,0.4444444444444444,0.0008162140355223446,0.4197523,0.013125161,0.476498210368298,-66.3,-0.0074663204,1740.956029919689,-1.8801428,0.013125845,-1.0,-169.0,1.0,400,-37.20700896495517,2.1621528,-0.7284515886703588,1.565505595275144
0.028997688788100547,0.93288887,829.3653104051118,1146,-4.182332608210836,0.011975631982857223,-4.580551970767566e-05,0.9999998850937936,-3.720119035393195e-17,0.6666666666666666,-4.197067773503704e-05,0.43913957,0.08711437,0.4776119839958061,-62.25,-0.0016060314,1511.1367094433847,-2.1595407,0.0063638045,-1.0,-163.0,1.0,420,-34.72076788830716,2.0096488,-0.6233848574283933,1.5058469377156996
