_std_obs,PolicyEntropy,_std_discrew,Steps,_min_adv,_mean_obs,ExplainedVarOld,_std_adv,_mean_adv,Beta,ExplainedVarNew,_std_act,_mean_act,_max_obs,_MeanReward,PolicyLoss,ValFuncLoss,_min_act,KL,_max_discrew,_min_discrew,_lr_multiplier,_Episode,_mean_discrew,_max_act,_min_obs,_max_adv
0.4376701960967929,0.92280006,109410.07356986306,3726,-4.139410249135731,0.2689790385463191,0.0008275694181523185,0.9999998629266158,-1.8307059214430923e-16,1.0,-1.2174635408701562e-05,0.3922109,-0.2863047,3.2105641013597137,-191.25,-0.0022713721,191188.90419363262,-2.5386624,0.0016782822,-1.0,-1254.0,1.0,20,-290.9602791196994,2.0616033,-0.803708251598878,2.7634953261356423
0.036859416911896585,0.92024446,763.0346929238355,1173,-4.4039809908331184,0.043897858717130235,-0.005936063902425515,0.9999998808103026,1.0903469090947829e-16,0.6666666666666666,-0.0018105021026302293,0.36595935,0.010843574,0.751724043736786,-63.6,-0.0008774712,1626.8027278193485,-1.7108314,0.0010605967,-1.0,-158.0,1.0,40,-34.926683716965044,1.7446735,-0.8665225589343705,1.4959684730435743
0.030288309669058943,0.9238366,1431.2796269856822,1134,-2.9146027943567914,0.018588277237558834,-0.0018123040819881808,0.9999999148750901,1.4411360601836246e-16,0.6666666666666666,-0.0003415974690825774,0.41481736,0.07667498,0.5364665955315178,-71.55,-0.0015888737,2819.589462638902,-1.9142169,0.002066289,-1.0,-155.0,1.0,60,-43.02821869488536,2.1504467,-0.7881200473169804,1.29909562301993
0.030644122197665564,0.92812186,700.4363079095291,1177,-4.448283309500359,0.00749182238931638,-0.00100199405560919,0.9999998793602808,-3.6221379902808846e-17,0.4444444444444444,-0.0004922285879607191,0.39150515,0.024608485,0.4411054175089037,-63.8,-0.00083369383,1523.5847948869746,-1.804985,0.00031034058,-1.0,-153.0,1.0,80,-34.56329651656755,2.283321,-0.7424908503885562,1.5234079162076677
0.029410791330446193,0.93420124,714.4792204678001,1157,-4.426177897423383,0.0064206074480876165,-0.0005779708858657528,0.9999998802061718,-9.826001531686779e-17,0.4444444444444444,-0.00036068053664761734,0.42894095,0.06046183,0.4037350662423843,-62.8,-0.0013930178,1513.1027486885116,-1.7391094,0.0036564826,-1.0,-154.0,1.0,100,-34.232497839239414,2.006946,-0.7142114581039172,1.5036522964759478
0.029961054314698674,0.93984395,1744.2571883383293,1182,-2.557436572501495,0.0022962973108167964,-0.00017980086852475985,0.999999921343675,1.6831807615298482e-16,0.4444444444444444,-0.00011499786240865006,0.41213766,-0.0041045207,0.4153868094285869,-78.9,-0.001133793,3585.0982136573807,-2.1808133,0.0021170205,-1.0,-157.0,1.0,120,-49.001692047377325,2.126511,-0.6939776055311622,1.3361753883511989
0.030625558277992692,0.9390267,763.7224527543874,1218,-4.360254516938986,0.0011040632241486727,-0.00028102286014708433,0.999999880568224,1.400084208394286e-16,0.4444444444444444,-0.0001921954086960831,0.4276501,-0.003271771,0.42554449505541286,-65.85,-0.0014438301,1647.2710842205993,-1.8080307,0.005745163,-1.0,-158.0,1.0,140,-35.95894909688013,2.123877,-0.6793153314233141,1.5516644491659557
0.030765450782555128,0.93983674,1154.353537741318,1246,-3.4471752470078365,-0.0025909150633585875,-0.0001456094772331884,0.9999999013378178,-2.2810360698558593e-17,0.6666666666666666,-0.00010381193396113986,0.4312566,-0.06689267,0.4331723664860059,-72.2,-0.0021806634,2375.8479641943363,-2.000317,0.0061556655,-1.0,-161.0,1.0,160,-41.318619582664525,2.8217368,-0.669357132267744,1.4368114599916795
0.028443423362982393,0.9395681,1218.7921435745743,1204,-3.396290507387461,0.0005881471553505544,-0.00012494722760791888,0.9999999031151701,-2.3606070955485057e-17,0.6666666666666666,-9.585648881849096e-05,0.40015444,-0.029956326,0.4394924082753556,-70.1,-0.0007224188,2394.576447825684,-2.020552,0.0018894881,-1.0,-163.0,1.0,180,-40.80398671096346,1.8180244,-0.6610588457727007,1.3996438031079648
0.027923395101668417,0.93496203,792.2005556902978,1203,-4.314354937950086,0.0001644210888368256,-0.00019398567428452473,0.9999998817722638,-2.3625693624608485e-17,0.6666666666666666,-0.0001526806990006513,0.3958068,-0.03582342,0.445819067124067,-65.1,-0.0020825362,1636.856440647411,-1.8646958,0.004288747,-1.0,-161.0,1.0,200,-35.72236076475478,2.184271,-0.6539112248023744,1.5379636544050153
