_std_adv,ValFuncLoss,ExplainedVarNew,_std_act,Steps,ExplainedVarOld,_min_act,_mean_discrew,_max_adv,_mean_adv,_lr_multiplier,_Episode,_max_act,_MeanReward,_min_discrew,_mean_act,Beta,_std_discrew,KL,_mean_obs,_max_discrew,_std_obs,PolicyLoss,_max_obs,PolicyEntropy,_min_adv,_min_obs
0.9999998446252091,10868.278708526559,0.00020952214514746714,0.44417024,3659,-0.007746951423175608,-2.1751966,-93.0830828095108,2.840793439416226,1.2039805853273084e-16,1.0,20,2.1968322,-182.95,-239.0,-0.0068087615,0.6666666666666666,2990.07891304343,0.000606675,-0.006992821792064303,-1.0,0.31239081923801076,-0.0015830854,1.2911358964914437,0.91518706,-0.9962349286409666,-11.126264727386536
0.9999998551787836,10872.306260017102,4.068630172482379e-05,0.4461831,3726,6.860861305224564e-05,-2.3343077,-94.86634460547504,2.8518151737006114,3.051176535738487e-17,1.0,40,2.993032,-186.3,-215.0,-0.00013724003,0.6666666666666666,3089.5473536268187,0.0042027007,0.024347423492660048,-1.0,0.07351036915194548,-0.002602146,1.0573928774006893,0.91336375,-0.958051018441021,-0.6176428742843217
0.9999998611820115,10602.187783795473,3.342928925320621e-05,0.4489086,3742,3.810144734739396e-05,-2.9137697,-95.30785676109032,2.856653659795541,3.3039667563403912e-16,1.0,60,2.2917643,-187.1,-227.0,-0.013856751,0.4444444444444444,3128.867811066602,0.00089641346,0.017037412361464065,-1.0,0.11094683658296216,-0.0009871745,1.002072974165803,0.9098019,-0.9655179954337654,-4.572821767751907
0.9999998678080055,7703.812298706857,1.626544642951977e-05,0.41206902,3201,1.9530807467749156e-05,-2.1226516,-82.75570134333022,2.683321464837029,2.1087647578009847e-17,1.0,80,2.454321,-160.05,-199.0,0.025495902,0.6666666666666666,2500.536381896434,0.006316325,0.006656051366529505,-1.0,0.056764944729413645,-0.002392485,0.8021238341926952,0.9120908,-1.0709296896081228,-0.6123783343680947
0.9999998718034762,6573.48603397539,1.563045330532642e-05,0.44077614,2976,1.7828788655971373e-05,-2.8333735,-77.51209677419355,2.609389016680443,1.3370427823442746e-16,1.0,100,2.3220592,-148.8,-211.0,0.058018167,0.6666666666666666,2288.652407431495,0.005261901,-0.012635397434168149,-1.0,0.13800877824186047,-0.0033958051,0.7561250972404673,0.9182678,-1.1573429790212773,-4.465056454505985
0.9999998742292517,5563.432546351395,1.1182095835504668e-05,0.45129868,2834,1.2846760823137515e-05,-2.5692883,-73.1743119266055,2.568082386108933,-4.262253531376748e-17,1.0,120,2.2936826,-141.7,-209.0,0.11306257,0.4444444444444444,1991.0959385703095,0.0013378423,-0.01402180673671749,-1.0,0.10737278525983682,-0.0010027356,0.626081006297838,0.9207133,-1.2138145078445581,-3.591698174411713
0.9999998764691329,5020.168581905595,1.2814321216247926e-05,0.43226928,2801,1.4276155165138249e-05,-2.0383544,-71.43377365226705,2.562858224552755,-1.3444757227877655e-16,1.0,140,2.5092165,-140.05,-203.0,0.15780699,0.2962962962962963,1789.3195162486595,0.0006751077,0.0054254588173860835,-1.0,0.07693347789645455,-0.0008537203,0.6062705212180762,0.9201143,-1.2264922371934366,-3.200801137974841
0.9999998786150841,4794.455435404848,1.3230524541496536e-05,0.42139024,2807,1.4777077428362873e-05,-1.9304543,-71.18489490559315,2.5672138946259038,4.05011890707574e-17,1.0,160,2.6024883,-140.35,-188.0,0.15291509,0.4444444444444444,1725.0612894706082,0.0061093024,0.004692568207211184,-1.0,0.07393290750630219,-0.004535603,0.47934301989930445,0.92253023,-1.2041151670798336,-3.1626441482408745
0.9999998806189349,4433.061252748393,1.3844414544106343e-05,0.44669372,2762,1.5084973970624915e-05,-2.1371536,-69.85372918175236,2.554138899833172,1.8779731973384255e-16,1.0,180,2.5098288,-138.1,-173.0,0.16238679,0.4444444444444444,1635.8171276572875,0.0037462413,0.009044689218492883,-1.0,0.05406211063986597,-0.0027940203,0.560695409894892,0.92484045,-1.1930212996640983,-0.5683923190135448
0.9999998829477518,4461.271724824963,1.274192844924471e-05,0.46150368,2774,1.3616944356420468e-05,-2.352147,-70.52379235760634,2.5557596958949875,-1.4344049460189477e-16,1.0,200,2.4381933,-138.7,-196.0,0.15442121,0.2962962962962963,1718.306391385868,0.0006496627,0.004811216329604317,-1.0,0.07717643266475081,-0.00036156515,0.5855731754212986,0.92818815,-1.2297490161036493,-3.264157926726201
0.9999998850630593,4394.059562486396,1.0820742945560902e-05,0.47308856,2792,1.1464068511157777e-05,-2.5569067,-70.94878223495702,2.561564458588351,-6.489555788639884e-17,1.0,220,2.4089046,-139.6,-193.0,0.16736531,0.2962962962962963,1732.456187628796,0.0058268066,0.007548027560668491,-1.0,0.07984482350759634,-0.001026692,0.5205790722172271,0.9285697,-1.2176631756838259,-3.2243707835817776
0.9999998876066696,5031.362838623619,1.0692071267692782e-05,0.5207724,2963,1.133865658708988e-05,-2.4527187,-75.67364157948026,2.613532632255451,3.3572724605607165e-17,1.0,240,2.5475936,-148.15,-196.0,0.22902508,0.2962962962962963,2014.7166423919532,0.0058565144,-6.337386839582136e-05,-1.0,0.12848642494850077,-0.001907385,0.5804873844439647,0.9272733,-1.1531896574482676,-3.195261601918724
