KL,_std_discrew,_max_obs,_std_adv,Beta,PolicyEntropy,_min_obs,ExplainedVarOld,_max_discrew,Steps,_std_act,_mean_act,_lr_multiplier,_min_discrew,PolicyLoss,_std_obs,_max_adv,_max_act,_MeanReward,_mean_obs,_min_act,_Episode,_min_adv,ExplainedVarNew,ValFuncLoss,_mean_discrew,_mean_adv
0.00012907897,0.424809290965123,28.102801597515075,0.9999939738063518,0.6666666666666666,0.9191494,-0.6319184790391427,0.03518615215864451,-0.0050000000000000044,52228,0.44209415,-0.01987786,1.0,-10.000000000000009,-0.00012777401,2.4474840993715445,0.6125958632463859,2.505413,-2911.25,0.8195643440443495,-2.6011777,20,-29.559111978247305,0.14490165252119402,0.3634329842780759,-1.0129122055087736,-4.1358082191749725e-17
0.00039059288,1.0329148610581906,7.631428330976237,0.9999955167355208,0.4444444444444444,0.9228278,-0.6344481070285102,0.06251378531387908,-0.0050000000000000044,32494,0.41206494,-0.009392573,1.0,-10.000000000000009,-0.00017869947,0.23101218705130044,1.0463024719708753,2.5535038,-2024.5,0.3995408322523597,-2.622698,40,-20.173891761396757,0.09766350372435195,0.9368631441872446,-1.1160577183762024,-3.498702459580723e-18
0.00035362682,0.8663989277841149,6.226504617834558,0.9999949987932494,0.2962962962962963,0.9273049,-0.6318447605079816,0.10668528443852598,-0.0050000000000000044,29902,0.4052963,-0.009162601,1.0,-10.000000000000009,-0.000113924805,0.1685282559440357,0.5153898143728146,2.6598911,-1794.95,0.3475249996586054,-2.7919996,60,-22.171220741996592,0.1342036682805744,0.7585963380188481,-1.062994171683121,7.603962124380712e-18
0.00044748603,0.33168007913233666,5.724533359499829,0.9999920989416022,0.19753086419753085,0.9305268,-0.629949114590537,-0.03858066587077369,-0.0050000000000000044,27870,0.40420264,-0.008700154,1.0,-10.000000000000009,-0.00015574846,0.14676869685907373,1.0838113244077014,2.4885526,-1493.45,0.3278576942918882,-2.7123914,80,-35.049093198742725,0.1669439691442023,0.283733382451924,-0.912243798572682,-1.886622262154554e-17
0.001602101,1.0419173689220635,5.236577493162061,0.9999956910925601,0.19753086419753085,0.9352062,-0.6288349746414293,0.017104702201386934,-0.0050000000000000044,24843,0.40868995,-0.009602111,1.0,-10.000000000000009,-0.00052006094,0.12390111813550851,0.5620708226219273,2.5475566,-1542.0,0.2914687211135557,-2.863917,100,-20.19889222433962,0.27878270605729916,0.7581396482060717,-1.0755853821066155,2.002092802930685e-18
0.00257626,0.795304867931531,4.061977315494737,0.9999954755302103,0.19753086419753085,0.93614686,-0.6274891785037304,-0.2515686814048117,-0.0050000000000000044,22222,0.41258535,-0.009804671,1.0,-10.000000000000009,-0.0010285623,0.11305751300565513,2.8635218984809514,2.548538,-1311.0,0.28097321443057016,-2.5344343,120,-19.772779556471516,0.09645122237361181,0.719956478593101,-0.980732697424141,-1.5347876571183876e-17
0.002515217,1.608040092365393,3.803219842931581,0.9999965072279002,0.19753086419753085,0.94081366,-0.626115051552831,0.09359595343063065,-0.0050000000000000044,20640,0.4016995,-0.010497489,1.0,-10.000000000000009,-0.0003435359,0.11870681787292639,2.0093741120572193,2.7283046,-1431.8,0.2544400547960533,-2.3430371,140,-16.334440622709863,0.12440088404207039,1.410049572530124,-1.1689196581262185,1.3770208057366282e-17
0.0060359985,0.45235581352388954,3.6121454465851572,0.9999929011340756,0.2962962962962963,0.9477852,-0.6246380046607243,0.2401321512820902,-0.0050000000000000044,21429,0.40748847,-0.0108828815,1.0,-10.000000000000009,-0.0013925857,0.11654679383472685,2.3816443833347734,2.7965245,-1171.4,0.2413785469620966,-2.7997909,160,-30.717370382047548,0.2714859578194424,0.3345857186104097,-0.8991906224973293,-6.631599568436233e-18
0.0053732297,0.05829767231514958,3.344182883315714,0.9999634771866198,0.2962962962962963,0.9445443,-0.6226380426316683,0.8076168230885867,-0.0050000000000000044,21561,0.4095455,-0.013906408,1.0,-0.9962611759168017,-0.0032818317,0.1254272670264362,4.931043132488804,2.7804003,-1078.05,0.2162924636720168,-3.151518,180,-3.2307763100799964,0.9694040283614543,0.001870818207359433,-0.8162465177611318,-3.559139903626493e-17
0.007281037,0.05877830305943093,3.209415849868124,0.9999355744069345,0.4444444444444444,0.94696105,-0.6192316989876635,0.9488239248832756,-0.0050000000000000044,21165,0.41169763,-0.017594358,1.0,-0.9964970407823587,-0.0031201288,0.1452940782111958,7.056296130719304,2.6277976,-1058.25,0.19101618221244063,-2.6345954,200,-6.504970403384701,0.9898544422600215,0.000680721777165795,-0.8128990141395877,-5.371454652568676e-18
