Steps,_std_obs,_std_act,_mean_discrew,_max_discrew,_max_obs,_max_act,_mean_adv,_max_adv,_MeanReward,_min_act,_std_adv,_lr_multiplier,Beta,PolicyEntropy,PolicyLoss,_min_adv,KL,ExplainedVarOld,_mean_act,_min_discrew,ValFuncLoss,_std_discrew,_min_obs,_mean_obs,ExplainedVarNew,_Episode
2034,0.03145236461009637,0.36937255,-18.14479851992102,-0.41487029918978613,0.7269081191148825,2.7461264,2.0959962706787616e-17,7.042727286648535,-101.7,-1.5976622,0.9999995698288726,1.0,0.4444444444444444,0.91810226,-0.0058944835,-1.8007230131610266,0.007708022,0.5547652284687772,0.42979816,-34.92795976879074,46.9230840558553,91.0089632136255,-0.3829447904606776,0.030332824195646542,0.5502385496886808,580
2014,0.030444380624241235,0.3816387,-18.09168628131376,-0.4172052852709578,0.7230842910579903,2.9884343,-2.1168105335454823e-17,7.679288023304511,-100.7,-1.8053365,0.9999994849290506,1.0,0.4444444444444444,0.9167227,-0.001145132,-1.9254701719301164,0.0017721625,0.7186817163543182,0.44107208,-34.63772921657897,5.082669320646474,90.4928257577011,-0.3849626815174236,0.02700885407382105,0.9438705181231972,600
1988,0.03020538136573272,0.39210305,-17.993746877518618,-0.41947294998836576,0.7193116336278601,2.362274,-8.935396576460012e-18,3.761604029636625,-99.4,-1.9377426,0.9999990881257773,1.0,0.4444444444444444,0.9136869,-0.0016151492,-2.407999517699506,0.004601608,0.9335981080474594,0.46822456,-34.33160730744557,5.04097901679417,89.68696203820193,-0.3869539869550213,0.027850730614537755,0.9445309345759498,620
1916,0.027857590578475568,0.40723115,-40.64127089916588,-0.3710444174455258,0.7146987774786357,2.61378,5.1918571506479135e-17,0.37382328665275644,-195.7,-1.8289387,0.9999999605466274,1.0,0.2962962962962963,0.9131445,-0.00043213845,-6.91031757499953,0.0010507168,0.028551528777247315,0.50735426,-371.04441744552577,6857.011457371245,7103.081364684118,-0.38894732387562997,0.030009243837380576,0.07342274526429704,640
1961,0.028778153304626748,0.39271206,-28.522977938795826,-0.3563341965062241,0.7118568829672258,2.3977814,1.4493477526978077e-17,0.8094324533441736,-148.0,-1.4136211,0.9999999428010287,1.0,0.4444444444444444,0.91389954,-0.0036773426,-9.754250159946624,0.012196501,0.03735746724423772,0.5069726,-356.3341965062241,3541.1042722017587,3737.6273456371237,-0.39094877527498834,0.03307579413050283,0.06083444462305876,660
1976,0.04689671887499357,0.42574093,-28.44138778151136,-0.34460525650942997,0.7083766896889839,2.5340486,2.8766912378951425e-17,0.9854695795010998,-148.75,-1.9782058,0.9999999424539943,1.0,0.4444444444444444,0.91329956,-0.010892015,-9.143328357604418,0.0057822713,-0.028647402229228458,0.41513893,-344.6052565094299,3677.293715719614,3650.6042498534916,-5.007790240713722,0.02884249873640702,-0.005769435674715995,680
1953,0.0284450270485515,0.449621,-14.633719641773956,-0.34630082415567043,0.7041374511056016,2.630713,-7.276423305274963e-18,4.318503083952696,-97.65,-1.9002346,0.99999963442687,1.0,0.4444444444444444,0.9090724,-0.002936761,-1.6698046538251419,0.0040765787,0.3862182948291374,0.3975523,-27.722913258762887,52.72285510511306,59.43800507400075,-0.3947927997235025,0.033017434875695986,0.7327335732157193,700
1970,0.029349228792610545,0.4131359,-14.809840449906844,-0.34798600277581926,0.7004501032972217,2.7317681,8.295676610397108e-17,2.6872171047936857,-98.5,-1.9049499,0.9999994965818063,1.0,0.4444444444444444,0.91101956,-0.0010753032,-2.3212969912675576,0.0016628408,0.7612926459198811,0.44071773,-27.64807362912365,1.7449874111004922,60.76395746029804,-0.39670969973663384,0.031355967870181016,0.9733068908192575,720
1991,0.03032409429923773,0.42085022,-15.02155428616308,-0.3496642867226668,0.6977944410047494,2.8757856,2.6765798685086648e-17,11.349329768742274,-99.55,-1.7625415,0.9999988126822333,1.0,0.4444444444444444,0.9130055,-0.002177746,-2.3383148805914855,0.00283008,0.9471988256449795,0.3919052,-28.82471684166327,1.7464890125017183,62.55061144907464,-0.39848655588207454,0.02462724220162063,0.9722417976040284,740
1954,0.02976706599781409,0.42106795,-38.65395039687387,-0.3298945387458758,0.693694680281474,2.6507509,-2.9090797779328565e-17,0.6361059608176579,-197.6,-2.0951672,0.9999999561217128,1.0,0.4444444444444444,0.91079366,-0.006177375,-6.948103084469887,0.0056367205,3.360838669763666e-05,0.43905815,-329.8945387458758,6217.229876177025,6024.173155034446,-0.465863965918409,0.025975243567239268,0.007223379038408195,760
1962,0.028662007205403312,0.44483942,-14.059777007319873,-0.331405231746743,0.692489651514305,2.414546,1.2675329129257649e-16,2.1689509258216613,-98.1,-2.4353874,0.9999995520675882,1.0,0.4444444444444444,0.9097197,-0.0017594916,-1.8830238373968282,0.005825287,0.7602996073795368,0.40483475,-26.92696732450168,113.72086460980954,54.854776787538825,-0.40186661193920137,0.03395863690328449,0.7761635410089289,780
1971,0.028911379446025738,0.5277011,-14.180888027506768,-0.33290221032712936,0.6894130713681621,3.0847547,7.20997195088889e-18,4.368334457840239,-98.55,-2.005075,0.9999995004807932,1.0,0.4444444444444444,0.9110182,-0.0026280985,-2.0658242510650284,0.004563224,0.7492866670592203,0.36286545,-27.246257373803687,2.916059802352777,55.82239779677631,-0.4081154125639536,0.022519515778709413,0.948266114522322,800
1976,0.029484455622473666,0.45111054,-14.26898473633608,-0.33438291791550495,0.6855560323507369,3.152194,1.4383456189475712e-17,2.806748525123181,-98.8,-1.8854413,0.9999983495451915,1.0,0.2962962962962963,0.9054666,-0.0013529909,-3.2201858272643493,0.0010266515,0.9582085343242235,0.36106014,-26.969370888069434,1.445035747998603,56.41148248634578,-0.405309414803596,0.03130227008336938,0.9754705652258585,820
1984,0.028242225683953136,0.46507844,-14.382723849427155,-0.33584998594694787,0.6831366630828782,2.5846844,-1.0744093786695063e-17,2.5553944286942962,-99.2,-1.779424,0.9999978010052675,1.0,0.2962962962962963,0.9000421,-0.004835982,-3.2750176069955463,0.0049917274,0.9785951393551029,0.33712423,-27.48751697114564,0.8529432864663496,57.32365372284393,-0.4069043977601825,0.028429760128453396,0.9858303169155809,840
1942,0.040502358402383844,0.45035562,-37.53242524336574,-0.3207627779070228,0.6807210054515062,2.5396476,-5.854111108219157e-17,0.3215113242540258,-197.0,-1.5710202,0.9999999543795535,1.0,0.2962962962962963,0.89754623,-0.0010930331,-6.9397746480557725,0.004562474,0.020733137793939926,0.39869988,-320.7627779070228,5665.880818790849,5702.021244988542,-5.319405906323463,0.025289163883342472,0.0353964395671561,860
1959,0.028229679421225125,0.47130576,-25.730116689943422,-0.3151749158930742,0.678988778499206,2.5100396,1.4508274339154675e-17,0.697874633192557,-147.9,-1.7379366,0.9999999343849958,1.0,0.2962962962962963,0.8943375,-0.0006193974,-9.589481673465992,0.0021030004,0.05888452731718741,0.37200725,-315.1749158930742,2716.2386957371045,3024.0444195554105,-0.410013855644892,0.03028535221052321,0.10547524835097732,880
1945,0.028710011771411848,0.45032585,-35.93946604090876,-0.30449885670709675,0.6764518071745461,2.5755339,2.9225408154657075e-17,0.9741285175656011,-197.15,-1.7842624,0.9999999508837494,1.0,0.2962962962962963,0.89119875,-0.0048875064,-7.142541828414857,0.005153837,0.06482406160955101,0.41120106,-304.4988567070967,4959.838464354138,5190.503194044603,-0.41154606354137824,0.033362430016899716,0.08303638315602613,900
1970,0.028332889163344355,0.49228528,-13.014626155630218,-0.3057396551471616,0.6744305708778332,2.649943,3.967497509320356e-17,4.288905687567113,-98.5,-1.9076991,0.9999996997574191,1.0,0.4444444444444444,0.89364207,-0.006369327,-1.644186514105714,0.0074924296,-0.46651827216151553,0.3617469,-24.659172801817032,145.72055003036905,46.96621509805965,-0.41300073474069315,0.027995384118695933,-0.45998834461617477,920
1929,0.033842566879998905,0.44143566,-45.49922134252245,-0.2923948063956895,0.6719711524842488,2.659276,-7.366954232867809e-18,0.8600877452271418,-246.3,-2.3402321,0.9999999577025683,1.0,0.4444444444444444,0.89732933,-0.0013563171,-5.449315714989874,0.002903352,0.04895127907375607,0.41584465,-292.3948063956895,6776.644847635515,6797.918064022324,-5.436735481412733,0.027749103604221823,0.0605590707974234,940
1958,0.027975198798538176,0.4612686,-12.429328887512295,-0.29354216641479325,0.6695532817998122,2.5164661,1.2338331468765784e-16,3.5531546329160912,-97.9,-1.8449615,0.9999997514752913,1.0,0.4444444444444444,0.89811754,-0.001191386,-1.9414954952108945,0.0051955082,-1.2557701802053467,0.3630966,-23.32241919373146,303.43379438950404,42.841692240130335,-0.4158310939181897,0.021724553144407608,-1.059770580355519,960
1988,0.02863164453112955,0.47622955,-23.70290025539075,-0.29051319772033374,0.6685663090884392,2.2874007,-1.429663452233602e-17,1.2342054520172752,-149.35,-1.7105322,0.9999999282985114,1.0,0.4444444444444444,0.89990675,-0.00205268,-9.450655229420738,0.00528259,0.057120883181818516,0.29098594,-290.5131977203338,2302.840083616791,2531.8449977044593,-0.41718410668591516,0.02200288897592499,0.10672508774041956,980
2000,0.028054700022275468,0.49168453,-12.57543597097528,-0.29164141677860045,0.6664039895801503,2.6540723,7.105427357601002e-18,5.933785814146452,-100.0,-1.9189882,0.9999996586909485,1.0,0.2962962962962963,0.90123624,-0.00038278633,-2.4592364845016617,0.0010732515,-0.24212903173321432,0.25716168,-24.38358798470173,56.95685142400762,43.798839610590704,-0.41851251362778713,0.02790497204224954,-0.21853522131347325,1000
1986,0.02782187518151505,0.46988687,-12.545314906360533,-0.2927490480101549,0.6645617950585359,2.5967162,1.4311031938773418e-17,5.836019423386855,-99.3,-1.8415029,0.9999996633254141,1.0,0.2962962962962963,0.8973325,-0.0015421143,-2.1449592449948276,0.004430429,-0.3176496293063593,0.28234076,-23.611426391434726,5.026583310822679,43.575454159364156,-0.4198575033489077,0.026349756778804596,0.8849012698065294,1020
1994,0.0378648090792099,0.5366932,-23.91701324233972,-0.28990453235759406,0.6615258449138278,2.8443058,-7.126807780943833e-17,0.5253936217126574,-149.65,-2.603525,0.9999999299821867,1.0,0.2962962962962963,0.89218384,-0.0020495187,-9.426890527682875,0.004134908,0.019930905061392057,0.24551845,-289.90453235759406,2395.6370118864534,2560.32223615746,-5.602128465013812,0.02871904869272651,0.09829710107884815,1040
1971,0.03397929060914202,0.48110864,-32.85648669648909,-0.2837760459442477,0.6603542406451227,2.5697293,-4.325983170533334e-17,1.183176000307992,-198.45,-2.0109365,0.9999999454059528,1.0,0.2962962962962963,0.89281285,-0.0051928656,-6.872347222718608,0.0052831587,0.09214421339488232,0.26849753,-283.77604594424776,3978.740883926424,4367.767490314992,-5.616040106647277,0.014775458139472737,0.11268887190511778,1060
1997,0.027602634316725133,0.522122,-21.99575205118979,-0.28152021879155104,0.6582477753369238,2.5915265,-7.1161015098658e-18,1.3898647774567368,-149.8,-1.9759076,0.9999999256691573,1.0,0.2962962962962963,0.8876034,-0.002081185,-10.024203787881124,0.005903645,0.07830475107155677,0.22505194,-281.52021879155103,1977.2496861752045,2195.0612003222677,-0.42374653790868005,0.019968133205746533,0.10127814535467472,1080
2069,0.030959696385578134,0.50830066,-12.545176082972601,-0.2825693922984396,0.6563211255020289,2.6862936,1.3736930609185117e-17,2.91949221640292,-103.45,-1.791594,0.9999997725538432,1.0,0.2962962962962963,0.8861121,-0.0015884435,-2.8504372732368095,0.0055798707,-2.0123752789802114,0.17434005,-24.91785120464921,62.082771474677024,43.54468640809305,-0.4250597989637342,0.016566887064418927,-0.08698503361910226,1100
2006,0.030007766363014315,0.5083966,-22.181533282121258,-0.28044317554262427,0.6544395784386099,2.5062416,-1.4168349666203392e-17,1.2582652875600076,-150.25,-2.481962,0.9999999254662629,1.0,0.4444444444444444,0.8871745,-0.0027318676,-10.021365286507763,0.008314525,0.07984475498955523,0.2068276,-280.44317554262426,1942.407031300623,2216.4967386929097,-0.4263627642923465,0.01991993145787978,0.14465407823109033,1120
2045,0.04019128914947907,0.54931545,-31.308033107920863,-0.27564421631896735,0.6524806635782343,2.353982,6.949073210367727e-18,1.0450987654049284,-202.15,-2.1155853,0.9999999438201694,1.0,0.6666666666666666,0.8867505,-0.008410809,-7.1598584219780985,0.013091795,0.0672739895149932,0.19591658,-275.6442163189674,3827.335368393867,3933.8574228517728,-5.731965628943142,0.020545141733029317,0.06465766535554629,1140
2182,0.03337262534530723,0.61636424,-12.878297584678155,-0.2766807321396389,0.6504594093111351,2.9555495,2.6051062722643454e-17,6.5127894472078145,-109.1,-2.4182775,0.9999995243802392,1.0,0.6666666666666666,0.8857949,-0.0028931196,-5.200917213784918,0.0034160998,0.41915224713993793,0.110745154,-28.17885968988521,49.406119896974516,46.2053078816923,-0.5636157653814682,0.024932127018939085,0.46062435725322015,1160
