Steps,_max_obs,_lr_multiplier,ExplainedVarOld,PolicyEntropy,_std_act,_max_adv,ExplainedVarNew,_min_obs,_min_discrew,_min_adv,_std_obs,_mean_act,_MeanReward,Beta,_std_adv,PolicyLoss,_mean_discrew,_mean_obs,ValFuncLoss,_Episode,KL,_mean_adv,_std_discrew,_min_act,_max_act,_max_discrew
9974,3.1690975726630572,1.0,-1.3392427919629877,0.9150415,0.3799579,6.375109556144703,0.9821288734830101,-0.6612645077183018,-0.945920459356562,-3.023921835945109,0.10224381324888947,-0.0073096454,-498.7,1.0,0.9999671095684642,-0.0022007613,-0.6343519263423472,0.3020046756819729,0.0011440252946122707,20,0.002450997,-4.44534456701727e-16,0.06387505389025523,-2.7022614,2.623739,-0.0050000000000000044
5351,1.2314720636108132,1.0,0.00640524287141675,0.91461056,0.36425817,0.42812015712241613,0.11066167316766684,-0.6264803578496765,-25.00000000000002,-5.1919132258674505,0.038602065845311145,0.029704422,-2767.05,0.6666666666666666,0.9999995487217321,-0.0012620965,-6.438344336734551,0.12795540519387577,59.20171518693147,40,0.0008825804,-2.1245905012449268e-17,63.856642189898714,-2.429301,2.1781056,-0.0050000000000000044
4530,0.8638950140815392,1.0,0.055631644471414,0.91690457,0.3686082,1.0078731069826043,0.23834844130723087,-0.6075962498380707,-25.00000000000002,-4.772199470841343,0.03090626777358242,0.04415477,-3975.75,0.6666666666666666,0.9999995896163385,-0.0010443433,-10.561287000950404,0.06604938977069524,53.19740696277778,60,0.0017301489,-7.528929650438148e-17,68.94678338923542,-2.3267398,2.281118,-0.0050000000000000044
5535,0.7239647322692313,1.0,0.31368390982184513,0.92064697,0.38050333,1.6486068045763542,0.5193655948557412,-0.5917682202466314,-25.00000000000002,-5.950147218861087,0.03388664441282042,0.051792778,-3526.1,1.0,0.999999431864804,-0.0035157623,-8.744408483571469,0.05848736312081948,30.970921661802592,80,0.006355316,0.0,63.438412067569246,-2.5037289,2.5685432,-0.0050000000000000044
6669,0.6335331010190486,1.0,-0.5904194989894156,0.91898715,0.38190097,3.419513761055255,0.14286833751578776,-0.5818283681347596,-25.00000000000002,-5.393755702564575,0.0391156448008914,0.044260874,-833.35,1.0,0.9999992579695668,-0.0021651238,-1.6422649713594883,0.050293795814532055,15.241235210284305,100,0.0040872684,0.0,16.084081351329505,-2.3154469,2.3742425,-0.0050000000000000044
7817,0.6166461929836659,1.0,-60.929634377542826,0.91516453,0.3719385,7.075185812733463,-19.482026994888226,-0.574006632108167,-0.9102774023705346,-6.148524691195204,0.04612026097442285,0.051136117,-390.85,0.6666666666666666,0.9999982861879706,-0.00089696434,-0.5641129241890694,0.02144639528117995,1.249800313119105,120,0.0013483517,7.271769075196113e-18,0.05846639546436128,-2.2536302,2.666953,-0.0050000000000000044
8548,0.6251903639930021,1.0,-1.0513571055623583,0.9106051,0.37140477,10.931536094099306,0.47810816217473007,-0.5607414890861181,-0.9342443848588566,-10.209843115678494,0.04764423501665149,0.047903825,-427.4,0.4444444444444444,0.9999918656930803,-0.00084637897,-0.5905615124075695,0.01137311476860503,0.03195808959245488,140,0.00094262214,1.1637340080301126e-17,0.06102266513849483,-2.3130295,2.0764499,-0.0050000000000000044
9230,0.6353583029733654,1.0,0.4470526809952933,0.91236454,0.37599602,4.142958862677433,0.7760019838014882,-0.5482369278331233,-0.9368290379578799,-9.610502104508154,0.051568453436440065,0.047517814,-461.5,0.2962962962962963,0.9999812161228256,-0.00010506151,-0.6127096878425121,0.0029345597102045993,0.014256075620623105,160,0.00012351465,1.847565076732655e-17,0.0627067771148882,-2.688302,2.2962437,-0.0050000000000000044
9238,0.6466736931762266,1.0,0.7206133561500586,0.91264606,0.38128302,3.468379445390153,0.8438421320022633,-0.5339936194933262,-0.9387006350447384,-12.841393236569344,0.05201732677025385,0.048846927,-461.9,0.19753086419753085,0.9999776081675832,-0.00031215133,-0.6130843327020115,0.0064775659470081275,0.009825207707432476,180,0.0008643286,-7.691521279065818e-18,0.06279347898641102,-2.2112052,2.3289537,-0.0050000000000000044
8360,0.6558072768660439,1.0,0.7501816235511186,0.913821,0.37814507,3.24254655909845,0.8735112798925169,-0.5222173315211687,-0.911616523355479,-7.389019997939421,0.0486531140924083,0.05328876,-418.0,0.19753086419753085,0.9999773032980138,-0.00096875045,-0.5833277591826126,0.022754106892682993,0.007834811506105354,200,0.0019379178,-1.444883553579151e-17,0.060024377854597695,-2.2293894,2.3498223,-0.0050000000000000044
