Steps,_lr_multiplier,_Episode,_max_adv,_min_adv,_std_adv,_mean_discrew,PolicyEntropy,ValFuncLoss,_max_act,ExplainedVarOld,_min_obs,_std_obs,_max_obs,_max_discrew,_min_discrew,Beta,_min_act,PolicyLoss,_MeanReward,_mean_act,_std_act,KL,_std_discrew,ExplainedVarNew,_mean_adv,_mean_obs
3339,1.0,220,4.77208743583758,-2.459397921356488,0.9963760582232728,0.0,0.9357821,6.333521343671253e-07,2.126818,0.9999992718716864,-0.6455334598250183,0.05431935645988215,1.8435442067592054,0.0,0.0,0.2962962962962963,-2.026455,-0.0007781503,-166.95,-0.061596505,0.39721125,0.0017262647,0.0,0.9999993865182835,-5.107225414268465e-17,0.14453483325910293
3254,1.0,240,3.671572869904746,-2.8479577115713672,0.9973350303516907,0.0,0.9352579,5.32505053223452e-07,1.9834688,0.9999991294414374,-0.6416302299950517,0.04063695260447979,1.5784488099912157,0.0,0.0,0.4444444444444444,-2.0648112,-0.004431746,-162.7,-0.022527274,0.37552828,0.006308481,0.0,0.9999994776813828,1.7468782686173328e-17,0.1192090110145125
3752,1.0,260,9.959717694145008,-3.6003629779980826,0.9982235627157628,0.0,0.93161035,6.162948378935682e-07,1.9826176,0.9999981740603232,-1.5636582396457608,0.045289957378022,1.5383124815150861,0.0,0.0,0.2962962962962963,-2.1533043,-0.0048452527,-187.6,-0.034034684,0.37295142,0.0007817002,0.0,0.9999994199511876,7.57508247078998e-18,0.07762273625169316
3472,1.0,280,4.215384073532564,-2.495923968599828,0.9963566650075814,0.0,0.9281063,3.222195165683304e-07,2.3207564,0.9999995967225861,-0.6314802568289827,0.03948240904978377,1.4441480196996794,0.0,0.0,0.19753086419753085,-2.16134,-0.00026283303,-173.6,-0.03085649,0.3798383,0.00092705985,0.0,0.9999996780040122,-1.2278964327651502e-17,0.08781019340325036
3780,1.0,300,4.392758937337092,-2.6613862785099,0.9963113065453584,0.0,0.92504466,3.7190384866142984e-07,3.198783,0.9999996314581994,-0.6271848281502036,0.0355032364784511,1.3921130657072578,0.0,0.0,0.2962962962962963,-2.3796728,-0.0023763722,-189.0,-0.04314966,0.38302267,0.008420174,0.0,0.9999996533737671,1.6917684184764292e-17,0.07132289591150871
2949,1.0,320,4.421414137371829,-11.237379139771134,0.9974970836884586,0.0,0.9274037,6.31549720352358e-07,1.9029458,0.999999300970487,-1.6325618440930163,0.051330281972202164,1.3468555643978388,0.0,0.0,0.4444444444444444,-2.3622766,-0.0035174582,-147.45,0.02181143,0.37885195,0.00948501,0.0,0.9999994912000323,-6.023590503222281e-19,0.09810772093787865
2608,1.0,340,4.3870944301884,-2.819096140850817,0.9967172177549359,0.0,0.9326026,3.420621409113717e-07,2.2466657,0.9999995492786283,-0.6185515232851332,0.0450395070137992,1.2713218712109984,0.0,0.0,0.4444444444444444,-2.109274,-0.00087938167,-130.4,0.044628315,0.37531188,0.0033829066,0.0,0.9999997397261838,1.4984605240339536e-17,0.12087912367377011
2390,1.0,360,3.730338573805209,-2.1470283461193747,0.9958828507281701,0.0,0.938545,3.8040150081068563e-07,2.554331,0.9999996728572108,-0.6150792555444063,0.05173261060296247,1.19489181071259,0.0,0.0,0.6666666666666666,-2.1014907,-0.003167577,-119.5,0.11018649,0.39555869,0.007639913,0.0,0.9999997422712043,5.945964315984102e-18,0.1256464985969612
2193,1.0,380,3.636254981763135,-2.4294504797097307,0.9950817444080166,0.0,0.9404894,1.2336523862123946e-07,2.2999332,0.9999998258181652,-0.6114633055082226,0.04354478030885901,1.1194616317009056,0.0,0.0,0.4444444444444444,-1.9858785,-0.0007342994,-109.65,0.14397459,0.3845015,0.0008103716,0.0,0.9999998829551464,-2.2680342682720936e-17,0.1368768892211667
2126,1.0,400,5.404166640965758,-3.1240695487324857,0.9939576827254886,0.0,0.9424816,1.0559757823809111e-07,2.299422,0.9999998823483447,-0.6087382307581138,0.04106813925977673,1.051414443899349,0.0,0.0,0.2962962962962963,-2.3566093,-0.0007110044,-106.3,0.17368093,0.40545034,0.0011042962,0.0,0.9999999066473141,-8.355394352776343e-19,0.1381993069474085
2123,1.0,420,0.18201665695645272,-10.234436799115034,0.9999999443213609,-14.108849774191926,0.94198143,4096.467036810654,2.457107,-1.5663455643633029e-06,-1.7056802356727419,0.04173774019029196,0.9925853706595331,0.0,-374.15905709623445,0.2962962962962963,-2.0074909,-0.003861517,-156.1,0.17378633,0.40802044,0.0031433038,4033.9678052379054,1.9153839203589484e-07,0.0,0.12292931204783211
2180,1.0,440,2.5320964319270676,-1.135088180875122,0.9999984413623495,0.0,0.9420687,49.06993114006833,2.2155073,0.9999999363008247,-0.6039872710385579,0.03749385208216545,0.9429624437792536,0.0,0.0,0.4444444444444444,-2.3707442,-0.003362792,-109.0,0.12549593,0.41835055,0.01243883,0.0,0.9999999292426553,1.7274662841873996e-16,0.11255674368894678
2097,1.0,460,2.500094866227498,-1.1326169366751848,0.9999986137756299,0.0,0.94418156,11.93793693720967,2.3843274,0.9999999014542325,-0.6017418481565984,0.037655035797736984,0.9027013125143473,0.0,0.0,0.2962962962962963,-2.3695743,-0.00042051938,-104.85,0.22494224,0.41484737,0.0011776517,0.0,0.9999998653927157,1.2875834029033767e-16,0.11346350060953377
2054,1.0,480,0.25479187675549464,-10.024721349516323,0.9999999239833572,-11.008873544290086,0.9494341,2286.179458273254,3.1585748,1.1233114985964576e-06,-1.7438170492111063,0.04084147894049166,0.8650108929393161,0.0,-270.45493497978856,0.4444444444444444,-1.7104703,-0.0048532947,-152.65,0.25905824,0.38977054,0.008195128,2239.773455159941,9.933111350113322e-07,0.0,0.1111982000783829
2083,1.0,500,2.493893678410099,-1.1594490617262219,0.9999976851619504,0.0,0.95539963,22.490500743193074,2.6217062,0.9999998159656125,-0.597757306244313,0.03726206766891721,0.8308423991176167,0.0,0.0,0.4444444444444444,-1.8345859,-0.0016726309,-104.15,0.32689434,0.38614732,0.0037542775,0.0,0.9999998087589576,3.274704879163208e-16,0.10568302782824641
2034,1.0,520,0.29537391195894075,-9.963306382668177,0.9999999083626893,-8.477115896121344,0.95670104,1479.2430093697367,2.7690818,1.2409277894143145e-06,-1.7660305172591209,0.03673141767778529,0.8009326550171805,0.0,-223.89809122979986,0.4444444444444444,-1.6047974,-0.00377399,-151.65,0.3870869,0.40551847,0.005076472,1464.5739664457456,1.4357790317776065e-06,2.794661694238349e-17,0.1045196389559252
2019,1.0,540,2.4687136640479586,-1.168138579545793,0.9999979012890684,0.0,0.95593005,20.40052910063719,2.2861164,0.9999996544218575,-0.5939746500760726,0.03432984813379851,0.7733471877265653,0.0,0.0,0.4444444444444444,-1.8733616,-0.0010568289,-100.95,0.3344964,0.41211277,0.0036604642,0.0,0.9999994586035454,4.680643083511309e-16,0.10465396168896271
2067,1.0,560,2.4876620225138395,-1.1586604461435988,0.9999978471822857,0.0,0.9581181,6.017424953472582,2.6450243,0.999999546273667,-0.5923972897845532,0.03382230837910628,0.7483492957891379,0.0,0.0,0.6666666666666666,-1.6926485,-0.0038192715,-103.35,0.27600086,0.39119285,0.0066940207,0.0,0.9999924051688134,2.0625333403776493e-17,0.09339471688739728
2047,1.0,580,2.4772367589550495,-1.1756003732894746,0.9999960299930076,0.0,0.9608742,0.0002410693202232355,2.9366248,0.9999886732247342,-0.5907169514675459,0.03435941682250615,0.726824613112773,0.0,0.0,0.6666666666666666,-1.57618,-0.001956797,-102.35,0.32797486,0.39816418,0.0041758763,0.0,0.9999373365066088,5.3802698604208855e-17,0.08976988840405649
