_mean_adv,ValFuncLoss,_min_adv,_min_obs,PolicyEntropy,_max_adv,_Episode,_std_discrew,_MeanReward,Beta,_mean_obs,PolicyLoss,_max_act,_min_discrew,ExplainedVarOld,_max_discrew,Steps,ExplainedVarNew,_std_obs,_lr_multiplier,_mean_discrew,KL,_std_adv,_std_act,_max_obs,_min_act,_mean_act
-9.538820113686144e-17,164071.36876454903,-0.43401833153860314,-1.5336953423744695,0.9158164,5.343374820078566,20,43110.0277202518,-715.1,0.6666666666666666,0.08490835101402204,-0.0004220321,2.449719,-771.0,-0.0015569715297414355,-1.0,14302,-1.0919786153085198e-06,0.14541510312923234,1.0,-358.7554188225423,0.00036570957,0.9999997664217365,0.39058515,3.4868084778925543,-2.9429567,-0.059063267
-4.0640388250951524e-16,88635.42219277335,-0.47653358440969823,-1.5225132999852995,0.9191892,4.62217383197102,40,24717.870965665123,-535.0,0.4444444444444444,0.04865934545264825,-0.0005381064,2.2390451,-615.0,-3.5247280758543553e-06,-1.0,10700,-1.1404106643464473e-06,0.1142529616691887,1.0,-269.6281308411215,0.00048003215,0.999999829932633,0.39646623,2.5390399550786484,-2.5670779,-0.049467865
7.122855621355381e-17,66106.80607118411,-0.5172065371619791,-1.4813831060456448,0.9188048,4.333980292883233,60,19399.206610366975,-468.85,0.2962962962962963,0.036985370520897815,-0.00019618409,2.0900073,-539.0,-1.4808121657772233e-06,-1.0,9377,-6.055877808108789e-07,0.10204851472993695,1.0,-237.25434573957557,0.00046059795,0.9999998525652795,0.3954643,2.2084988238895855,-2.2439518,-0.030789128
-5.202203065978961e-16,49555.363041841236,-0.5565913770075309,-1.4413868779245893,0.9197848,4.099746413530265,80,15024.069916767852,-417.95,0.4444444444444444,0.03453861586382323,-0.0042408956,2.2985654,-473.0,-3.938955619453566e-07,-1.0,8359,-1.6015661974400075e-07,0.10095672482744011,1.0,-210.5870319416198,0.013837204,0.9999998672080772,0.39960426,2.238974098212629,-2.2794082,-0.02128564
-1.3753871251054078e-16,27867.47236374061,-0.6651384074588824,-1.4041436806253338,0.92110705,3.6138418978983897,100,9390.218939223287,-320.3,0.4444444444444444,0.05267587775015541,-0.0023018126,2.201877,-389.0,-6.606437590317427e-07,-1.0,6406,-4.234434429761791e-07,0.10110151626404698,1.0,-163.22713081486106,0.003684051,0.9999998839314926,0.39393017,2.2621015922893184,-2.5096815,0.002283906
1.9826794161425886e-17,21528.674008850165,-0.7200967184500507,-1.400452526026016,0.9224374,3.433753963280403,120,7713.374247006183,-286.7,0.2962962962962963,0.05856445111022336,-0.000902177,2.2722118,-388.0,-9.905637534668443e-07,-1.0,5734,-7.461869653280218e-07,0.09236988828139166,1.0,-146.72549703522847,0.00090684346,0.999999891068456,0.390402,2.001715234200572,-2.5531573,0.018597143
-5.818700981471135e-17,18631.359598740804,-0.7555850062034337,-1.4209268303972313,0.9216542,3.3338042329407345,140,7071.061423986848,-268.65,0.2962962962962963,0.05574991678844343,-0.0031031494,2.3131192,-401.0,-9.982476039116506e-07,-1.0,5373,-7.87344055952488e-07,0.08684697730180405,1.0,-138.35548110924995,0.004417723,0.9999998953622319,0.37976885,1.7923062089268287,-2.0485542,0.03025492
5.830579113578112e-17,11397.392226255472,-0.8531200515917674,-0.47633009078896227,0.9185288,3.087350980664482,160,4577.196049339433,-225.45,0.4444444444444444,0.0784795991766529,-0.0038049356,2.0828626,-283.0,-4.122523398208955e-07,-1.0,4509,-3.2954775441851325e-07,0.06595714995520816,1.0,-114.7096917276558,0.0070654866,0.9999999009542273,0.38081923,1.6314759803018124,-2.070273,0.053077236
-4.940996424060963e-17,17180.984377624332,-0.7770109980051275,-1.475344629947375,0.91740763,3.278468778589118,180,7018.858452653598,-258.85,0.4444444444444444,0.03883104542185466,-0.0017788319,2.6723826,-421.0,-8.25056520437073e-07,-1.0,5177,-6.650015047515723e-07,0.0796766704794756,1.0,-134.4971991500869,0.0029947937,0.9999998999985308,0.40204772,1.5102701731130113,-2.2128265,0.04643874
1.9536168277964685e-16,16767.629094972246,-0.7677686635326793,-1.4985619888096635,0.9161721,3.2831718980618483,200,6795.1233774316315,-260.05,0.4444444444444444,0.03083469988860157,-0.0015159275,2.0578687,-333.0,-8.949024061788435e-07,-1.0,5201,-6.780893575530911e-07,0.08836159454508084,1.0,-135.38434916362237,0.0018038637,0.9999999019008926,0.40040565,1.4128608904024564,-2.1942885,0.052932594
