_max_act,_mean_act,_std_obs,PolicyEntropy,_mean_adv,_Episode,_max_adv,_std_discrew,ExplainedVarNew,_std_adv,ExplainedVarOld,_min_act,Beta,ValFuncLoss,_max_obs,KL,_lr_multiplier,Steps,_mean_obs,_MeanReward,_min_obs,_min_adv,_std_act,_min_discrew,PolicyLoss,_mean_discrew,_max_discrew
2.02633,-0.0151863685,0.07390307752320856,0.92276585,-2.3610510968830917e-16,20,2.9698952179758873,1018.6953470404487,0.0004646652002320284,0.9999998039314935,-0.00931832953657974,-1.9317673,0.6666666666666666,4364.411732123242,1.2661079002865034,0.0010704648,1.0,3190,0.03541589563552427,-159.5,-1.5212945021941835,-0.9307529391712864,0.3690374,-121.66675909452431,-0.001600887,-62.90111539524133,-1.0
2.4326823,-0.019961076,0.0661215627998311,0.9213128,-4.8801012071435456e-18,40,2.8325046029816976,923.9529093395969,0.0002030774477037589,0.9999998209060146,0.0039629235000550045,-1.9826251,0.4444444444444444,3624.77015269279,1.050206898552966,0.0012172565,1.0,2912,0.0050413337173941695,-145.6,-1.0364268737818025,-1.0040419190174676,0.38226286,-126.60843565476654,-0.0009342725,-58.82304774027315,-1.0
1.9545742,-0.020580212,0.06596297677741843,0.92173976,3.820122235269356e-17,60,2.846794403735256,953.0981579743425,0.0001752594221453574,0.9999998269871119,0.001833138788184363,-2.4136825,0.6666666666666666,3590.6481357669395,0.7921791851827421,0.007484375,1.0,2976,0.017022699230032804,-148.8,-0.6458345072707529,-0.9783489004200203,0.38517588,-121.66675909452431,-0.0062799254,-59.87777326800244,-1.0
2.0703998,0.020806143,0.08316768733526272,0.9205142,3.365987372030903e-16,80,2.831849678029508,968.8650481530091,4.554674405554682e-05,0.999999831504579,0.006687927459968601,-1.9882822,0.4444444444444444,3358.3144434650935,1.244137816020001,0.00056691,1.0,2892,0.028839617623569746,-144.6,-0.7674949082221536,-1.019021945912863,0.36010844,-133.94117562090508,-0.00047857955,-59.034488954291135,-1.0
2.4130883,0.00520039,0.07877414768556977,0.91778296,1.8723441002350873e-16,100,2.8464590725411596,977.0387160633038,2.002201390916003e-05,0.9999998370477264,2.265671541001879e-05,-2.1839464,0.4444444444444444,3340.1844314689524,0.8950659319833814,0.005679026,1.0,2998,0.008080217082282412,-149.9,-0.7766200994088214,-0.9764176407291976,0.387576,-124.74580038139065,-0.001953033,-60.3770660141944,-1.0
2.395537,-0.0021707027,0.289935416767,0.92268896,2.077610338479825e-16,120,2.878543505823069,992.2211647099889,1.6631936335276265e-05,0.9999998408548764,1.9123653117514294e-05,-2.5813646,0.6666666666666666,3284.2365056253784,0.9282935186149345,0.007204897,1.0,3078,-0.015221505515305593,-153.9,-10.353615699767593,-0.9588145562585466,0.36672595,-125.86897871747334,-0.0036286782,-61.39964983517459,-1.0
2.2704527,-0.010213987,0.05070564705625512,0.92156476,3.1973193370997933e-16,140,2.809124945417835,879.0474761026022,4.416034862564366e-06,0.9999998458455488,4.044514756662565e-06,-2.181151,0.4444444444444444,2730.8099227624116,0.6349430694256459,0.001054638,1.0,2889,0.016168874092608244,-144.45,-0.6876374560564172,-0.9725061972402236,0.39242256,-110.31435930780454,-0.00055526267,-58.111011218865336,-1.0
2.058599,-0.007274153,0.05623069926077068,0.91896594,-2.327213141513917e-16,160,2.801524135420884,874.8456417576799,6.18663246421125e-06,0.9999998496694823,6.226373346018832e-06,-2.1447902,0.2962962962962963,2580.320210415519,0.6888051306798849,0.0014962502,1.0,2870,0.011867486196136886,-143.5,-0.811833645969326,-0.9813957562957386,0.37966403,-111.20897357370919,-0.00050691876,-57.8518507223544,-1.0
1.9540823,-0.0068966527,0.05871914116514285,0.92117476,2.2196920777565098e-16,180,2.8305802045290087,900.5973515747627,1.0375240600102309e-05,0.9999998527836167,1.1073800492700236e-05,-2.2045622,0.2962962962962963,2577.419984680705,0.6766856999107753,0.0037438471,1.0,2945,0.008600583824449151,-147.25,-0.6640336218188713,-0.9522130827140192,0.38581756,-109.41073135305122,-0.0013517092,-58.971769307174874,-1.0
2.2128756,-0.0014989641,0.05658679659202879,0.9250468,-1.0052536979352694e-16,200,2.81270153425289,881.092626426046,7.219519215118098e-06,0.9999998561521221,7.580196408230044e-06,-2.326247,0.19753086419753085,2382.931638777751,0.6894200820708191,0.0014071055,1.0,2898,0.0013277131547158143,-144.9,-0.7978043495611765,-0.9625185628345408,0.3947705,-108.49799889199892,-0.00022988857,-58.234476128954036,-1.0
2.6669843,0.016597679,0.06686705144737878,0.93063605,1.2593809566822053e-16,220,2.78329700628187,849.3086984591058,1.1795166190986528e-05,0.9999998594122358,1.2598838290855952e-05,-2.198807,0.2962962962962963,2154.519613946979,0.6886333146802407,0.006786897,1.0,2821,0.019477208798322335,-141.05,-0.794435180361948,-0.9740191169947725,0.38238895,-105.70425251566277,-0.0043517025,-57.01847494909688,-1.0
2.083254,0.031662967,0.06693373251889148,0.93353224,1.2900194912129634e-17,240,2.757800505472312,819.6123046998547,7.512387752872662e-06,0.9999998623629511,7.868368296248818e-06,-2.4997888,0.4444444444444444,1962.622026889631,0.6748318461266669,0.008530972,1.0,2754,0.011592888542720834,-137.7,-0.7036035800984548,-0.9817320163278166,0.39149696,-102.82520725273639,-0.0021388778,-55.926215392427956,-1.0
