_mean_adv,_min_discrew,_std_act,_std_discrew,_max_act,_mean_act,_max_obs,ExplainedVarNew,_Episode,_min_act,_std_adv,_lr_multiplier,KL,_min_obs,_max_adv,PolicyEntropy,PolicyLoss,Steps,_min_adv,_mean_discrew,Beta,_std_obs,_mean_obs,ExplainedVarOld,ValFuncLoss,_MeanReward,_max_discrew
4.2231366167019325e-17,-318.49611948397825,0.3796091,2996.3662539458724,2.3653328,0.40525717,18.136554326677434,-6.326208021878443e-07,20,-1.4548763,0.9999999355224258,1.0,0.0004764912,-0.6074855664766798,0.44516297541599575,0.9224396,-0.0004241496,2019,-9.812525750477914,-25.976581573188803,0.6666666666666666,2.49417184298425,3.0701330954659762,-4.394113250549836e-05,3550.795149126767,-150.9,-0.31849611948397827
-1.714493665888799e-16,-26.89193557321157,0.36740598,53.68969604236112,2.5324724,0.5512356,2.4402067559074707,-0.0002383198335835779,40,-1.4510705,0.9999994644765032,1.0,0.002377907,-0.6047132316283625,2.4616669053520894,0.9194854,-0.0012126495,2010,-1.1939814130655715,-13.927395155017367,0.6666666666666666,0.07747798018893932,0.2861967455356258,-0.0036694774685279707,164.18831822981582,-100.5,-0.3216426637216325
2.002277534685569e-16,-27.3408229517684,0.385858,54.62038431316297,2.7265072,0.512302,1.7471822941289974,-8.852739501796769e-05,60,-1.7054276,0.9999994950455713,1.0,0.0019463658,-0.6020175658421851,2.4628924760364668,0.9147747,-0.0010374275,2005,-1.1830097402105622,-14.036701710548277,0.6666666666666666,0.05226557745209709,0.16921296459485763,-0.00031049150981687923,153.5757485287579,-100.25,-0.3247511584753479
2.9001744316738786e-17,-163.8477269595647,0.35454077,2123.8119675202315,2.5065644,0.5328022,1.4350241568051996,8.245980115395568e-07,80,-1.5597103,0.9999999253480036,1.0,0.008058248,-0.5995546816540385,0.5649690670756687,0.9122189,-0.004727617,1960,-5.544694686700709,-25.559263057947437,1.0,0.041379867798333525,0.11950314401347567,1.841043227313044e-06,2543.9988619865558,-247.85,-0.1638477269595647
0.0,-135.00480685004462,0.38224238,1007.2507604356616,2.5698233,0.44727018,1.2476320619313521,7.388587687229276e-07,100,-1.660089,0.9999998908780646,1.0,0.000159382,-0.5974452779760022,0.5893618688201528,0.9118426,-0.00011401044,1971,-6.769263732739898,-15.862215765286177,0.6666666666666666,0.03785480584711442,0.09230394200779025,1.28067652482855e-06,1102.9197602784986,-198.45,-0.1350048068500446
-8.917454013053466e-18,-11.06889762048032,0.389399,9.478124238718038,2.4977286,0.4352107,1.1194831797987363,-3.4700457887781866e-05,120,-1.932636,0.9999992338034304,1.0,0.0016800272,-0.5954323809655007,2.4587002745087574,0.909774,-0.0024142005,1992,-1.1563436763202577,-5.852536299157443,0.6666666666666666,0.036671527979287494,0.06872740209083661,-4.6041167357735446e-05,9.909437356839963,-99.6,-0.13623110753205234
-2.881065324926914e-17,-11.08471402519237,0.39164957,9.51060816258658,2.8593287,0.47527763,1.0246267180471285,-1.8695969836279858e-05,140,-1.5073988,0.9999992610457642,1.0,0.0018801094,-0.5933938619535427,2.4510155841060652,0.9110086,-0.0012917703,1973,-1.1610692155445204,-5.857579125521937,0.6666666666666666,0.03465850954942763,0.0581568892504437,-2.727825803816586e-05,9.934390222617484,-98.65,-0.13743513096341523
1.4398029093416418e-17,-11.1810278610826,0.39491904,9.686199393077686,2.3878155,0.46307945,0.9503696736756585,-8.74021990560081e-07,160,-2.0724363,0.999999264327077,1.0,0.0022961316,-0.5915610863038613,2.45138670525218,0.91631514,-0.0009620469,1974,-1.1603986849078463,-5.911188721613322,0.6666666666666666,0.03309307536971018,0.04522297820547235,-1.4043671937580271e-05,9.983734307672083,-98.7,-0.13862928938907068
-1.417541617476509e-17,-129.46116772023603,0.38151878,498.52540767581525,2.3837423,0.4734401,0.8906725913620389,1.3063982907679517e-06,180,-1.3692651,0.9999998423004635,1.0,0.0003420175,-0.5898377129847632,0.6958735400456646,0.92421824,-0.0006039462,2005,-9.50189955641394,-10.560308222365032,0.4444444444444444,0.03402584356781567,0.03372299985332543,1.1617679011033388e-06,514.2486855571932,-150.2,-0.12946116772023605
5.650439250577337e-17,-122.13775849462431,0.38627118,436.5776226843636,2.4647272,0.4557436,0.8416923265352341,9.40613732902662e-07,200,-1.8799039,0.9999998325907942,1.0,0.0006621711,-2.189886315794478,0.7175279229243299,0.93149203,-0.0015832533,2012,-9.49570333263477,-9.88931658486132,0.2962962962962963,0.033894906010999724,0.02773339438230129,1.0588499891328595e-06,445.22127474822634,-150.55,-0.1221377584946243
0.0,-116.12671513439211,0.38873002,395.6312558398184,2.5521023,0.47225067,0.8003662975705855,1.1297933573128915e-06,220,-1.528139,0.9999998238104264,1.0,0.006833374,-0.5860344608106555,0.7489528017041506,0.93772745,-0.0020240834,2020,-9.470981706271472,-9.437133879862014,0.4444444444444444,0.03299871504243189,0.018333461887373424,1.1845582507108432e-06,400.55621285097124,-150.95,-0.11612671513439211
