_min_obs,_mean_obs,ExplainedVarOld,PolicyEntropy,_max_obs,ValFuncLoss,_max_act,Steps,_min_act,Beta,PolicyLoss,_min_discrew,_max_discrew,_std_discrew,_max_adv,_lr_multiplier,_std_adv,_mean_adv,ExplainedVarNew,_std_act,_std_obs,_Episode,_min_adv,KL,_mean_act,_mean_discrew,_MeanReward
-0.7866165553339175,0.024468904562724412,-0.003441436778633733,0.91922307,0.7251349563702937,3913.596349200561,1.840879,1273,-2.0871954,1.0,-0.0026768665,-165.0,-1.0,1604.876948206419,1.3621924442757374,1.0,0.9999999146913353,2.2326558861275734e-17,0.008046170499125926,0.3853973,0.07068029074280895,20,-2.900655670112824,0.0034216326,-0.06188132,-50.658287509819324,-83.45
-0.6516248942006422,0.003359325222799131,0.0024000251461042676,0.9209864,0.5392134248304518,6360.916343894773,1.7169743,1054,-1.9878918,1.0,-0.0018076748,-164.0,-1.0,2385.5552751063087,1.4349212363617034,1.0,0.9999999364594656,-6.741392179887099e-18,4.006258755084868e-05,0.3620813,0.0331796774904717,40,-1.735213318344285,0.003618339,0.011837088,-66.8292220113852,-97.25
-0.6131677965858695,0.0012967366506495387,0.0004847363552344941,0.91622967,0.5595354823729166,2029.7524188326677,2.0196617,1188,-1.7247661,1.0,-0.0026914773,-146.0,-1.0,898.6495482320397,1.384432723885121,1.0,0.9999998970773086,0.0,0.00038993931305697505,0.34050167,0.033613719211808016,60,-3.7098862265643855,0.002415383,-0.032089993,-38.16498316498316,-69.3
-0.6029339681450883,0.0057833703006576935,0.0009485631032344344,0.91409785,0.563800992429418,968.1047840506444,1.7596712,1201,-1.861838,0.6666666666666666,-0.0005076834,-72.0,-1.0,310.9765633828596,2.0436852174193247,1.0,0.9999998165610843,-2.0780860610802264e-16,0.001017388486843851,0.34533003,0.03455517932814931,80,-1.692934274055997,0.0009401102,-0.047682084,-30.69442131557036,-60.05
-0.5978298394223136,0.002139728797118788,0.0018382186791945365,0.9189789,0.5617296932783414,3403.5373528432888,1.7954583,1185,-2.0511882,0.6666666666666666,-0.0032085893,-163.0,-1.0,1612.7250803824172,1.3326190554105615,1.0,0.9999999195465582,-1.678919544412051e-16,0.0009517371360912019,0.36386183,0.03749510274660829,100,-2.6509646656696875,0.0043200566,-0.03835456,-47.913924050632914,-79.05
-0.5946601328155638,0.001044907856423675,0.0034794829290670792,0.9239086,0.5624942337524345,1264.8025547586756,2.069902,1211,-1.8019501,0.6666666666666666,-0.003604148,-130.0,-1.0,498.7375141576561,1.6463871994420676,1.0,0.9999998677708171,-1.9949176726542863e-16,0.0019202132007333228,0.36833572,0.03581063806010783,120,-4.898794934152756,0.0043194084,-0.044778604,-33.85383980181668,-65.5
-0.5922125305977027,0.0019195724800432968,5.8676687509029435e-05,0.9215552,0.5639719208839451,1703.5795408892543,1.9775915,1229,-2.3398662,0.4444444444444444,-0.0011376,-163.0,-1.0,816.4153727288917,1.552630055891753,1.0,0.9999998815340461,6.937764710432223e-17,4.741363265758913e-05,0.37209645,0.03461767510070611,140,-4.311606715993667,0.0010921693,-0.045390684,-36.475183075671275,-66.4
-0.5910468790325922,0.004462375874239336,0.0001729803084419279,0.91723067,0.5649478357534743,2260.88532636215,1.9173514,1209,-2.1899338,0.6666666666666666,-0.005058052,-160.0,-1.0,1157.2373616404675,1.4125644427116268,1.0,0.9999999023688736,4.7016889049468995e-17,0.00013898587547722663,0.35256082,0.033260905448959564,160,-3.420551074587751,0.008126837,-0.03636177,-40.45657568238214,-70.35
-0.5895885749857713,0.0050607347380713956,3.9292865787521336e-05,0.9178387,0.5633719441778942,865.5817720889582,1.9117613,1227,-2.0994,0.4444444444444444,-0.0008016021,-65.0,-1.0,315.6928853579041,2.0565122970496157,1.0,0.9999998263705319,-4.777487832127813e-17,4.4225534148956136e-05,0.37779263,0.03320805382257709,180,-1.485309633326032,0.0006389157,-0.011999415,-31.209453952730236,-61.35
-0.5874607963381557,0.00897253912000095,2.19448142324552e-05,0.921871,0.568978194439811,1517.0359636827586,2.1584954,1204,-2.5567243,0.4444444444444444,-0.0019572964,-159.0,-1.0,768.3912291255061,1.5596453946336295,1.0,0.9999998822983763,9.442428382194023e-17,2.2900903650646676e-05,0.3699167,0.03522027444632886,200,-4.266582138687359,0.0019371167,0.0025626058,-35.59966777408638,-65.15
-0.5857960710438511,0.011004965884987403,-1.2901083473515484e-05,0.92464817,0.5694438080639568,768.6154319435484,1.9409523,1193,-2.0928144,0.4444444444444444,-0.0026876042,-65.0,-1.0,299.2158420627733,2.044167801516506,1.0,0.999999827176264,1.5783220869775906e-16,-2.925281491705789e-06,0.3809566,0.035366311474269926,220,-1.5439159674637075,0.0036620128,0.0063758073,-30.37133277451802,-59.65
-0.5839951911493165,0.011749003877127424,3.371016867492749e-05,0.9319226,0.5723542055192095,1705.0676777361427,2.1038253,1155,-1.8017852,0.4444444444444444,-0.006449128,-150.0,-1.0,907.9396293172915,1.425872847977771,1.0,0.999999900056858,1.9686032505907538e-16,3.077839463283549e-05,0.39086762,0.03747244442185727,240,-3.5213075572286416,0.0041886745,0.024834815,-37.425108225108225,-67.65
-0.582197184084812,0.01068317163877337,1.2154248667961554e-05,0.93797195,0.5740950451758826,702.8856712635508,2.495993,1177,-2.1842532,0.2962962962962963,-0.0020341843,-63.0,-1.0,291.2081216808426,2.0386984405962036,1.0,0.9999998288674277,7.093353564300065e-17,1.5741018744797053e-05,0.40140992,0.034865032450595544,260,-1.5175132080608125,0.0011320406,0.0039054623,-29.970263381478336,-58.85
-0.5810881602080307,0.013937657269050632,7.931713458697587e-06,0.94113994,0.5759081130163826,2251.6823563268,1.9546869,1123,-2.2599769,0.4444444444444444,-0.007395827,-157.0,-1.0,1273.445794997974,1.3538060428261307,1.0,0.9999999139699539,-8.858057257917545e-17,7.661100071776339e-06,0.4130173,0.03389832224205068,280,-2.9046958207174356,0.009093248,0.014954638,-41.46838824577026,-71.0
-0.5799460487751026,0.013529261714613326,-6.272436855470076e-06,0.94591963,0.577146394860478,1302.6407774387515,2.0216515,1170,-2.168963,0.2962962962962963,-0.0011058054,-156.0,-1.0,733.5828942946893,1.5665848389037098,1.0,0.9999998840539259,-2.4292059342225647e-17,-4.47369594280822e-06,0.39324528,0.03625219590628972,300,-4.172754993943255,0.0011623758,0.017496686,-34.603418803418805,-63.45
