_std_adv,PolicyEntropy,_min_adv,Beta,_max_discrew,_std_act,_max_act,ExplainedVarNew,_max_adv,_max_obs,_mean_discrew,_mean_adv,_std_discrew,_Episode,KL,_std_obs,_min_obs,Steps,_min_discrew,_lr_multiplier,_mean_obs,_MeanReward,_min_act,ValFuncLoss,PolicyLoss,ExplainedVarOld,_mean_act
0.9999918416272042,0.91585064,-2.6962395455280443,0.6666666666666666,0.0,0.3763514,1.9284911,0.9999573925196653,1.6355669588103434,1.3655949589792316,0.0,4.229421046191072e-17,0.0,20,0.0012522647,0.10690923060519494,-1.0086730174295722,3024,0.0,1.0,0.00029738293741238763,-151.2,-1.888396,4.313567412829261e-05,-0.0015693309,0.8851759743403828,0.07714418
0.9998577853220099,0.9181207,-3.513792601931585,0.6666666666666666,0.0,0.37853247,2.3533335,0.9999724785064165,10.679924015819093,0.8882571253555449,0.0,9.092037565708255e-18,0.0,40,0.0019444254,0.3957102610079235,-12.587191592575182,3126,0.0,1.0,-0.02996811660259658,-156.3,-2.45692,3.003794909924767e-05,-0.0017539414,0.9996760131382891,0.045777295
0.9995765060938977,0.9231714,-5.668233566200725,0.6666666666666666,0.0,0.36929268,2.1155512,0.9999944390098162,2.1765099647379804,0.7092082079726741,0.0,5.037523826728821e-18,0.0,60,0.0044895587,0.05729567565930971,-0.5825575893937234,2821,0.0,1.0,0.015983956968496235,-141.05,-2.2835703,5.6187713066911266e-06,-0.002545352,0.9999602568207925,0.06541274
0.9999998162137238,0.92955303,-10.850316773458978,0.6666666666666666,0.0,0.35612023,2.0609326,0.039491390378628144,0.178204906132879,0.7005873684390891,-4.6692215548246265,7.123235446216543e-17,409.31395698290214,80,0.0015121365,0.10679030721154512,-4.902872370827808,2394,-120.04582487284209,1.0,-0.009514797150420324,-169.65,-2.539328,404.0724010079962,-0.0046371957,0.00019334415129945715,0.10333987
0.9999997563272772,0.9334989,-10.555998823875772,0.4444444444444444,0.0,0.38783246,2.1089551,0.09570089414062777,0.502822884410923,0.6853374031066145,-3.5112608762226376,5.950944185595478e-17,236.46880563925407,100,0.00055017625,0.0862731320163713,-4.104633372374839,2388,-91.64218341617074,1.0,-0.01604658393797418,-169.35,-1.8754041,214.74017806073067,-0.0019559863,0.0038335247708981557,0.10817699
0.9999988829282868,0.9344369,-1.8631349565195685,0.4444444444444444,0.0,0.37137866,2.3088121,-1.5043357778755624,2.268647554567449,0.6758993643142707,0.0,7.716838400067921e-17,0.0,120,0.0037192223,0.045012548241792634,-0.5541497191983241,2394,0.0,1.0,-0.00022774973031684684,-119.7,-2.0075793,4.544753703187317,-0.002044888,-4.411609553551799,0.111748666
0.9999997325057137,0.92768824,-10.133876523070334,0.2962962962962963,0.0,0.41275463,2.6620965,0.14468293994750514,1.0198182720382507,0.6680245131606528,-3.452573709708612,2.5085356955343344e-17,212.88072864832125,140,0.0011255911,0.08684478605316678,-4.011217457933542,2266,-84.5071875050699,1.0,-0.011046253241625097,-163.25,-2.026689,187.18514681201805,-0.0017131893,0.09066414603011685,0.14708175
0.9999984426639751,0.9237825,-2.0403694453843073,0.4444444444444444,0.0,0.38247716,2.299685,-2.711895703200742,5.796045058443307,0.6615992417178761,0.0,-3.2312084391091413e-18,0.0,160,0.009500514,0.041954373886181714,-0.557102793836548,2199,0.0,1.0,0.0029004486276631254,-109.95,-2.1122408,4.848327633879121,-0.0041853627,-1.4881822273477026,0.17517625
0.9999989781597161,0.92103624,-2.019768468713047,0.4444444444444444,0.0,0.3718039,2.6135585,0.7386488403139233,4.1044905074730025,0.6538826553689335,0.0,4.893545012121902e-17,0.0,180,0.0024168664,0.04200996985417122,-0.5370786942958751,2178,0.0,1.0,-0.0002795005400327268,-108.9,-1.7703971,0.3597897634196725,-0.00089579204,-4.345538254596033,0.2636007
0.9999848129146622,0.9186012,-6.848679255782627,0.2962962962962963,0.0,0.37914935,2.4322743,0.9950200015741305,11.011316301057441,0.6520424570132061,0.0,6.7929515847045904e-18,0.0,200,0.0012756159,0.038009392985009445,-0.5458675237839036,2092,0.0,1.0,-0.00310870638673234,-104.6,-1.8038992,0.012501668038940109,-0.0010538317,0.9808999350493389,0.24399205
0.9999884766727222,0.91638494,-8.100282975337487,0.19753086419753085,0.0,0.37701914,2.3140192,0.9860720798842353,9.285772834294768,0.6446991401624519,0.0,-1.0218735413616014e-17,0.0,220,0.0011483808,0.03753857134511711,-0.5716093356213323,2086,0.0,1.0,0.0051296018677760855,-104.3,-1.6843996,0.014347144253587596,-0.00095838745,0.9675344215793172,0.24512626
0.9999997590467224,0.91476166,-9.539004592452535,0.2962962962962963,0.0,0.38265944,2.3661263,0.1323325736499914,0.4056024196576692,0.6428544258872725,-3.642123920836813,1.354059525031158e-17,244.01358883419024,240,0.008071331,0.07002690538086226,-4.4310661131131575,2099,-89.57517734485727,1.0,-0.008186885063480457,-154.9,-1.8802428,214.56284980913446,-0.0037278978,0.047875870693712796,0.2293258
0.9999986840696804,0.91923165,-1.8239981785342294,0.2962962962962963,0.0,0.36930016,2.3455088,-2.2416700766638695,4.093368361135313,0.639373428496369,0.0,-3.9880789659126294e-17,0.0,260,0.0018426524,0.042948151388960264,-0.6502452737282874,2138,0.0,1.0,0.0005280670213548571,-106.9,-1.6326507,5.608533313824529,-0.0013995084,-2.0802434025610683,0.26899123
