_Episode,PolicyEntropy,ValFuncLoss,Beta,_std_act,_std_adv,_lr_multiplier,_min_adv,_mean_adv,_max_adv,_max_act,ExplainedVarOld,_min_obs,ExplainedVarNew,_std_obs,_mean_act,_max_obs,_MeanReward,_min_discrew,_min_act,_mean_obs,_max_discrew,_mean_discrew,_std_discrew,PolicyLoss,KL,Steps
220,0.9083041,21121.90316578656,0.6666666666666666,0.44399706,0.9999998880006586,1.0,-1.068062180424405,1.305619726920655e-16,2.2570351734533443,2.5445395,0.02150635751365715,-2.035303161734386,0.027582924847706747,0.06868517902683444,0.17980246,0.7072734688492662,-174.15,-457.0,-2.116306,-0.014531393708393224,-1.0,-122.07809359747344,11762.239666535026,-0.0012527648,0.0028350663,3483
240,0.9059663,4831.141337181675,0.4444444444444444,0.40146917,0.9999998946693649,1.0,-2.5717406786480095,4.738926124285787e-17,1.5665293804756217,2.8786888,0.0986717326613612,-2.0243635735726992,0.09557647857187423,0.052482695568548635,0.36229026,0.7121721415657782,-129.85,-235.0,-2.1680293,0.022744656447709035,-1.0,-73.50187578157566,2570.89776638557,-0.0003876511,0.0006114709,2399
260,0.90451586,13256.261886791548,0.4444444444444444,0.3842806,0.9999998876798621,1.0,-1.3188454506173497,9.923781225699723e-17,1.7767281126166976,2.3474047,0.03842953020298956,-2.03671244541445,0.04231865414207836,0.06189144582721876,0.25695232,0.7085887849176745,-143.2,-401.0,-2.5082536,0.005382033151153395,-1.0,-96.78491620111731,8256.607370244375,-0.0015179305,0.0043305103,2864
280,0.9043541,2104.017251232434,0.4444444444444444,0.38035437,0.9999998699546365,1.0,-1.6634788901742572,1.4724651049702252e-16,1.5561172549046598,2.3795567,0.2020220048034761,-0.4558853857123607,0.20895097104276694,0.034791548212128924,0.3439854,0.7080629675857653,-113.4,-155.0,-1.8754996,0.04329298008914557,-1.0,-57.74867724867725,1143.459764564262,-0.00070189877,0.0017906633,2268
300,0.90258664,3316.6849957491836,0.6666666666666666,0.37792802,0.9999998931260756,1.0,-3.3791279591870627,-1.548163927212202e-16,1.3638645426892795,2.8954751,0.13513987321967014,-2.083432445801023,0.12808244850279493,0.04169758292757508,0.3925329,0.7051204733273978,-120.05,-206.0,-1.6025522,0.03810908304297865,-1.0,-65.18293236495688,1821.2252738342816,-0.0016781773,0.0061397906,2203
320,0.89853007,3247.823017541692,0.6666666666666666,0.38055006,0.9999998777189688,1.0,-1.7044484904972659,-8.198570028001156e-17,1.6449711654090193,2.5950441,0.12135071861851565,-0.45569195654474665,0.12323221586099886,0.036729355846151515,0.4035198,0.7013463303976454,-117.0,-248.0,-1.5421594,0.03665590697859218,-1.0,-63.18974358974359,1930.4768178829715,-0.0016039133,0.0019555541,2340
340,0.89769304,4269.811334684578,0.4444444444444444,0.3796099,0.9999999016381906,1.0,-3.0184115087265475,1.2808341338622806e-16,1.5905960911903287,2.325491,0.10462398677109175,-2.1503260333247374,0.09546629516411498,0.05026855360311745,0.4477887,0.697592974159109,-125.8,-212.0,-1.5662599,0.031808778746101184,-1.0,-71.20865254619198,2291.3214934074417,-9.274158e-05,0.00018690628,2219
360,0.89598215,4243.2827109320715,0.2962962962962963,0.3596479,0.9999998974378553,1.0,-3.1744979862142477,8.116920531530143e-17,1.562620479283708,2.279994,0.09285807448894257,-2.1588248613024628,0.08130327149588368,0.04832602280048636,0.42252904,0.694641732172584,-123.7,-229.0,-1.612611,0.03271974992267721,-1.0,-70.02372583479789,2389.9871348000534,-0.0020973303,0.0008166639,2276
380,0.8915066,1672.4425428406123,0.19753086419753085,0.3786974,0.9999998762909993,1.0,-1.517318316734038,8.65297945187944e-17,1.7820671587778831,2.5243025,0.16839339623355465,-0.4552475995795221,0.204213075478483,0.03303909685747985,0.48490205,0.6928579373987057,-106.75,-126.0,-1.5541885,0.04229577886352139,-1.0,-54.10819672131147,975.8370054132913,-0.00022934568,0.00047270834,2135
400,0.88843703,2522.44995745944,0.2962962962962963,0.36556745,0.9999998866712171,1.0,-3.346031165560896,-3.909451090839616e-17,1.5219174796207067,2.4489212,0.14456499881447216,-2.2092038273293464,0.17089283116701803,0.03900916022854213,0.4694019,0.6892519960825214,-114.0,-206.0,-2.211999,0.033262169917731586,-1.0,-60.10912425492893,1461.9092289900627,-0.0029507491,0.006274883,2181
